Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume LTC
2019-07-03 10-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 09-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 08-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 07-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 06-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 05-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 04-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 03-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 02-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 01-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-03 12-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 11-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 10-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 09-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 08-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 07-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 06-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 05-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 04-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 03-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 02-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 01-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 12-PM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 11-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 10-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 09-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 08-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 07-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 06-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 05-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 04-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 03-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 02-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02 01-AM,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
