Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume BTC
2019-08-07,NEOBTC,0.000987,0.00099,0.000978,0.000978,46925.51,46.18
2019-08-06,NEOBTC,0.001015,0.001024,0.000977,0.000987,356072.31,354.97
2019-08-05,NEOBTC,0.001087,0.00109,0.001012,0.001015,460603.04,479.67
2019-08-04,NEOBTC,0.00112,0.00113,0.001084,0.001087,269215.78,297.87
2019-08-03,NEOBTC,0.001108,0.001128,0.001088,0.00112,205962.43,227.15
2019-08-02,NEOBTC,0.001143,0.001143,0.001102,0.001108,259721.98,291.29
2019-08-01,NEOBTC,0.001164,0.001164,0.001115,0.001143,230198.28,263.95
2019-07-31,NEOBTC,0.001174,0.00123,0.001148,0.001164,404865.72,477.88
2019-07-30,NEOBTC,0.001184,0.001185,0.001161,0.001174,273577.22,320.81
2019-07-29,NEOBTC,0.001178,0.001197,0.001166,0.001184,298606.15,352.91
2019-07-28,NEOBTC,0.0012,0.001208,0.001154,0.001178,324398.51,387.12
2019-07-27,NEOBTC,0.001219,0.001222,0.00118,0.0012,359904.51,430.31
2019-07-26,NEOBTC,0.001209,0.001229,0.001202,0.001219,287257.42,349.0
2019-07-25,NEOBTC,0.001206,0.001228,0.001195,0.001209,431676.96,521.38
2019-07-24,NEOBTC,0.001139,0.001216,0.001127,0.001206,458535.71,539.64
2019-07-23,NEOBTC,0.001167,0.001173,0.001118,0.001139,357438.33,409.18
2019-07-22,NEOBTC,0.001223,0.001233,0.001146,0.001167,462446.98,552.53
2019-07-21,NEOBTC,0.001242,0.001262,0.001204,0.001223,494442.93,609.16
2019-07-20,NEOBTC,0.001235,0.001293,0.001225,0.001242,433613.71,541.37
2019-07-19,NEOBTC,0.001223,0.001248,0.001177,0.001235,511024.13,618.29
2019-07-18,NEOBTC,0.001113,0.001124,0.001101,0.001124,32026.25,35.46
2019-07-17,NEOBTC,0.001081,0.001145,0.001067,0.001113,665374.14,729.31
2019-07-16,NEOBTC,0.001134,0.001146,0.001071,0.001081,790584.67,876.97
2019-07-15,NEOBTC,0.001181,0.001185,0.00111,0.001134,517233.1,594.85
2019-07-14,NEOBTC,0.001244,0.001251,0.001169,0.001181,1074896.21,1311.88
2019-07-13,NEOBTC,0.001304,0.001307,0.001243,0.001244,257068.42,329.91
2019-07-12,NEOBTC,0.00129,0.001332,0.001279,0.001304,1363679.87,1793.16
2019-07-11,NEOBTC,0.001338,0.001347,0.001281,0.00129,568669.21,748.1
2019-07-10,NEOBTC,0.001375,0.001377,0.001254,0.001338,889964.28,1184.65
2019-07-09,NEOBTC,0.001431,0.001432,0.001369,0.001375,606533.01,849.79
2019-07-08,NEOBTC,0.001506,0.001509,0.00141,0.001431,838814.81,1219.32
2019-07-07,NEOBTC,0.001496,0.001512,0.00147,0.001506,490213.35,729.88
2019-07-06,NEOBTC,0.001553,0.001554,0.001481,0.001496,797311.81,1200.04
2019-07-05,NEOBTC,0.001524,0.001565,0.001506,0.001553,550516.5,845.16
2019-07-04,NEOBTC,0.001501,0.001547,0.001483,0.001524,606133.78,913.37
2019-07-03,NEOBTC,0.001657,0.001657,0.001487,0.001501,722738.38,1130.19
2019-07-02,NEOBTC,0.001595,0.00172,0.001594,0.001657,572052.7,943.34
2019-07-01,NEOBTC,0.001543,0.001616,0.001506,0.001607,601387.96,929.22
2019-06-30,NEOBTC,0.001551,0.001584,0.001503,0.001543,553380.01,848.19
2019-06-29,NEOBTC,0.001468,0.001559,0.001467,0.001551,767895.36,1161.84
2019-06-28,NEOBTC,0.001522,0.00158,0.00146,0.001468,1007021.66,1550.13
2019-06-27,NEOBTC,0.00148,0.001605,0.001463,0.001522,754634.9,1136.73
2019-06-26,NEOBTC,0.001659,0.001754,0.001327,0.00148,1577444.5,2411.58
2019-06-25,NEOBTC,0.001624,0.001723,0.00155,0.001659,671533.62,1085.33
2019-06-24,NEOBTC,0.001546,0.001696,0.001536,0.001624,560671.77,906.06
2019-06-23,NEOBTC,0.00163,0.001738,0.001532,0.001546,681476.08,1103.9
2019-06-22,NEOBTC,0.001385,0.001727,0.001334,0.00163,1104566.04,1646.96
2019-06-21,NEOBTC,0.001425,0.001434,0.001379,0.001385,504953.78,712.29
2019-06-20,NEOBTC,0.001483,0.001487,0.001393,0.001425,603994.02,870.94
2019-06-19,NEOBTC,0.001506,0.001527,0.00148,0.001483,439612.0,661.61
2019-06-18,NEOBTC,0.001525,0.001525,0.001468,0.001506,536071.24,802.69
2019-06-17,NEOBTC,0.001563,0.00162,0.001492,0.001525,502385.32,779.59
2019-06-16,NEOBTC,0.001583,0.001585,0.001521,0.001563,274771.22,426.6
2019-06-15,NEOBTC,0.001554,0.001649,0.001548,0.001583,33939251.15,53888.59
2019-06-14,NEOBTC,0.001588,0.001604,0.0015,0.001554,915155.81,1423.1
2019-06-13,NEOBTC,0.00159,0.001677,0.001571,0.001588,937679.6,1514.8
2019-06-12,NEOBTC,0.001555,0.001598,0.001528,0.00159,1219539.88,1903.95
2019-06-11,NEOBTC,0.001539,0.001573,0.001516,0.001555,493470.33,760.35
2019-06-10,NEOBTC,0.001501,0.001628,0.001501,0.00159,361897.95,564.59
2019-06-09,NEOBTC,0.001517,0.001529,0.001481,0.001501,777285.41,1169.25
2019-06-08,NEOBTC,0.001526,0.001557,0.001513,0.001517,190970.0,292.83
2019-06-07,NEOBTC,0.001493,0.001551,0.001476,0.001526,637511.45,970.07
