Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume ETH
2019-08-07,ZECETH,0.2751,0.2756,0.2751,0.2756,0.1012,0.02789
2019-08-06,ZECETH,0.287,0.2905,0.2741,0.2751,428.26,120.22
2019-08-05,ZECETH,0.2987,0.2987,0.285,0.287,145.35,42.42
2019-08-04,ZECETH,0.2945,0.2945,0.2945,0.2945,0.0,0.0
2019-08-03,ZECETH,0.3081,0.3081,0.291,0.2945,122.78,36.63
2019-08-02,ZECETH,0.3121,0.3121,0.3121,0.3121,0.0,0.0
2019-08-01,ZECETH,0.3121,0.3121,0.3121,0.3121,0.0,0.0
2019-07-31,ZECETH,0.3181,0.3181,0.31,0.3121,264.04,82.75
2019-07-30,ZECETH,0.3241,0.3241,0.3241,0.3241,0.0,0.0
2019-07-29,ZECETH,0.3241,0.3241,0.3241,0.3241,0.0,0.0
2019-07-28,ZECETH,0.334,0.334,0.324,0.3241,6.626,2.176
2019-07-27,ZECETH,0.32,0.32,0.32,0.32,0.0,0.0
2019-07-26,ZECETH,0.32,0.32,0.32,0.32,0.0,0.0
2019-07-25,ZECETH,0.327,0.327,0.32,0.32,2.781,0.8998
2019-07-24,ZECETH,0.3334,0.3401,0.325,0.327,83.29,27.35
2019-07-23,ZECETH,0.3372,0.3381,0.3321,0.3342,19.57,6.559
2019-07-22,ZECETH,0.3342,0.3373,0.3328,0.3372,299.33,100.06
2019-07-21,ZECETH,0.3428,0.3437,0.333,0.3342,170.83,57.97
2019-07-20,ZECETH,0.3398,0.3428,0.3354,0.3428,59.94,20.33
2019-07-19,ZECETH,0.3498,0.357,0.3324,0.3398,257.06,88.31
2019-07-18,ZECETH,0.3517,0.3518,0.3485,0.3485,4.319,1.516
2019-07-17,ZECETH,0.3392,0.357,0.3372,0.3517,157.7,55.21
2019-07-16,ZECETH,0.3505,0.356,0.3313,0.3392,1032.77,353.28
2019-07-15,ZECETH,0.3636,0.377,0.3378,0.3505,517.92,184.59
2019-07-14,ZECETH,0.3322,0.3636,0.3307,0.3636,901.33,310.99
