Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume SGD
2019-07-03,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-01,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-30,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-29,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-28,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-27,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-26,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-25,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-24,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-23,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-22,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-21,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-20,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-19,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-18,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-17,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-16,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-15,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-14,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-13,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-12,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-11,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-10,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-09,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-08,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-07,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-06,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-05,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-04,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-03,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-02,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-06-01,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-31,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-30,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-29,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-28,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-27,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-26,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-25,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-24,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-23,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-22,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-21,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-20,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-19,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-18,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-17,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-16,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-15,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-14,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-13,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-12,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-11,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-10,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-09,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-08,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-07,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-06,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-05,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-04,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-03,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-02,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-05-01,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-30,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-29,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-28,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-27,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-26,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-25,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-24,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-23,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-22,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-21,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-20,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-19,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-18,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-17,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-16,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-15,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-14,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-13,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-12,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-11,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-10,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-09,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-08,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-07,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-06,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-05,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-04,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-03,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-02,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-04-01,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-31,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-30,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-29,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-28,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-27,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-26,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-25,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-24,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-23,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-22,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-21,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-20,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-19,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-18,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-17,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-16,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-15,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-14,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-03-13,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
