Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETN,Volume BTC
2019-07-03,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-07-02,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-07-01,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-30,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-29,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-28,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-27,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-26,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-25,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-24,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-23,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-22,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-21,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-20,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-19,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-18,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-17,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-16,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-15,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-14,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-13,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-12,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-11,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-10,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-09,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-08,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-07,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-06,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-05,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-04,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-03,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-02,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-06-01,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-31,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-30,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-29,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-28,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-27,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-26,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-25,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-24,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-23,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-22,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-21,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-20,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-19,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-18,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-17,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-16,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-15,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-14,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-13,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-12,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-11,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-10,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-09,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-08,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-07,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-06,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-05,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-04,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-03,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-02,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-05-01,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-30,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-29,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-28,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-27,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-26,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-25,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-24,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-23,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-22,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-21,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-20,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-19,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-18,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-17,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-16,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-15,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-14,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-13,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-12,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-11,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-10,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-09,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
2019-04-08,ETNBTC,1.74e-06,1.74e-06,1.74e-06,1.74e-06,0.0,0.0
