Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume LTC
2019-07-03 10-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 09-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 08-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 07-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 06-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 05-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 04-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 03-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 02-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 01-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-03 12-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 11-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 10-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 09-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 08-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 07-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 06-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 05-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 04-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 03-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 02-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 01-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 12-PM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 11-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 10-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 09-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 08-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 07-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 06-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 05-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 04-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 03-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 02-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
2019-07-02 01-AM,ETHLTC,3.76,3.76,3.76,3.76,0.0,0.0
