Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume CAD
2019-04-24 11-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 10-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 09-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 08-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 07-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 06-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 05-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 04-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 03-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 02-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 01-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24 12-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 11-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 10-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 09-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 08-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 07-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 06-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 05-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 04-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 03-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 02-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 01-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 12-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 11-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 10-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 09-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 08-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 07-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23 06-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
