Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume AUD
2019-07-03,ETHAUD,417.76,430.09,412.89,417.47,754.99,319016.94
2019-07-02,ETHAUD,420.91,423.99,384,417.76,2605.06,1044001.1
2019-07-01,ETHAUD,413.94,427.56,400.8,420.91,2235.11,933353.52
2019-06-30,ETHAUD,451.35,457.85,406,413.94,1878.95,810475.99
2019-06-29,ETHAUD,445.19,458.52,421.16,451.35,2107.46,922115.24
2019-06-28,ETHAUD,416.1,446.99,413,445.19,2646.97,1147570.21
2019-06-27,ETHAUD,481.69,494.83,389.08,416.1,7209.55,3166276.23
2019-06-26,ETHAUD,457.22,517.96,450,481.69,6465.33,3109890.75
2019-06-25,ETHAUD,446.77,458,443,457.22,1864.83,840296.82
2019-06-24,ETHAUD,441.78,449.82,425,446.77,1791.57,782976.91
2019-06-23,ETHAUD,441.5,456.6,438,441.78,1861.59,832248.7
2019-06-22,ETHAUD,428.56,453.31,425.07,441.5,5239.05,2306938.66
2019-06-21,ETHAUD,394.86,428.7,394.86,428.56,2764.26,1147530.24
2019-06-20,ETHAUD,392.01,396.85,386.19,394.86,781.02,305460.45
2019-06-19,ETHAUD,385.28,393.44,383.78,392.01,1055.38,411121.09
2019-06-18,ETHAUD,397,398.59,381,385.28,1029.75,402857.92
2019-06-17,ETHAUD,387.87,399.57,382.07,397,1814.74,712654.26
2019-06-16,ETHAUD,389.72,400,380.47,387.87,2394.9,939427.4
2019-06-15,ETHAUD,384.29,392.95,380.09,389.72,1110.62,429127.34
2019-06-14,ETHAUD,370.27,385.71,365.67,384.29,959.46,358347.03
2019-06-13,ETHAUD,380,380.96,365.01,370.27,1455.0,544002.38
2019-06-12,ETHAUD,353.38,380,349.58,380,2510.3,909651.5
2019-06-11,ETHAUD,355,357.79,343.92,353.38,1355.73,478209.67
2019-06-10,ETHAUD,333,356.66,328,355,1381.77,478264.64
2019-06-09,ETHAUD,352.83,352.83,327.01,333,1285.31,435438.23
2019-06-08,ETHAUD,360.52,360.63,349.37,352.83,467.3,166329.05
2019-06-07,ETHAUD,362.73,364.33,352.36,360.52,1551.28,556026.78
2019-06-06,ETHAUD,355,362.73,340.68,362.73,1992.92,697023.83
