Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume CAD
2019-04-27,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-26,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-25,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-24,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-23,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-22,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-21,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-20,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-19,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-18,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-17,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-16,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-15,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-14,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-13,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-12,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-11,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-10,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-09,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-08,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-07,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-06,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-05,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-04,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-03,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-02,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-04-01,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-31,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-30,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-29,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-28,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-27,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-26,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-25,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-24,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-23,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-22,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-21,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-20,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-19,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-18,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-17,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-16,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-15,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-14,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
2019-03-13,BTGCAD,15.4,15.4,15.4,15.4,0.0,0.0
