Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume ETH
2018-06-15,XEMETH,0.000394,0.000401,0.000391,0.000399,15960.0,6.34
2018-06-14,XEMETH,0.000396,0.000414,0.000387,0.000394,98290.0,39.92
2018-06-13,XEMETH,0.000415,0.000426,0.000394,0.000396,136330.0,55.42
2018-06-12,XEMETH,0.000416,0.000422,0.000409,0.000415,26430.0,10.95
2018-06-11,XEMETH,0.000408,0.000429,0.000406,0.000416,182490.0,75.67
2018-06-10,XEMETH,0.000411,0.000419,0.000403,0.000408,79900.0,33.11
2018-06-09,XEMETH,0.00042,0.000432,0.000409,0.000411,80250.0,33.97
2018-06-08,XEMETH,0.000422,0.000424,0.000416,0.00042,107260.0,45.01
2018-06-07,XEMETH,0.000414,0.000452,0.000414,0.000422,185520.0,80.69
2018-06-06,XEMETH,0.000414,0.000415,0.000407,0.000414,24240.0,9.96
2018-06-05,XEMETH,0.000421,0.000422,0.000407,0.000414,39880.0,16.64
2018-06-04,XEMETH,0.000426,0.000428,0.000413,0.000421,83730.0,35.1
2018-06-03,XEMETH,0.000447,0.000457,0.000425,0.000426,100550.0,44.17
2018-06-02,XEMETH,0.000436,0.000447,0.000434,0.000447,34180.0,15.04
2018-06-01,XEMETH,0.000425,0.000449,0.000421,0.000436,89210.0,38.81
2018-05-31,XEMETH,0.000432,0.000434,0.00042,0.000425,57090.0,24.35
2018-05-30,XEMETH,0.000423,0.000436,0.00042,0.000432,59920.0,25.68
2018-05-29,XEMETH,0.000443,0.000451,0.000422,0.000423,90220.0,39.13
2018-05-28,XEMETH,0.000445,0.000469,0.000439,0.000443,102450.0,45.97
2018-05-27,XEMETH,0.000439,0.000452,0.000434,0.000445,69520.0,30.75
2018-05-26,XEMETH,0.000448,0.000451,0.000435,0.000439,53850.0,23.76
2018-05-25,XEMETH,0.00045,0.000456,0.000434,0.000448,62950.0,28.06
2018-05-24,XEMETH,0.000449,0.000461,0.00044,0.00045,89450.0,40.25
2018-05-23,XEMETH,0.000445,0.000462,0.000431,0.000449,88780.0,39.33
2018-05-22,XEMETH,0.000443,0.000449,0.000429,0.000445,34270.0,15.04
