Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2018-06-08 05-AM,ETHUSD,603.78,605.37,603.67,604.69,153.11,92549.41
2018-06-08 04-AM,ETHUSD,603.23,604.02,601.29,603.78,828.73,499089.71
2018-06-08 03-AM,ETHUSD,606.57,607.08,603.23,603.23,356.37,215554.34
2018-06-08 02-AM,ETHUSD,606.73,607.33,605.58,606.57,179.32,108787.05
2018-06-08 01-AM,ETHUSD,607.92,608.35,605.47,606.73,245.25,148857.82
2018-06-08 12-AM,ETHUSD,606.28,609.5,605.69,607.92,191.79,116567.0
2018-06-07 11-PM,ETHUSD,604.37,606.65,602.74,606.28,376.68,227886.83
2018-06-07 10-PM,ETHUSD,605,605.26,603.02,604.37,229.8,138786.38
2018-06-07 09-PM,ETHUSD,605.44,606.25,601.84,605,261.85,158134.28
2018-06-07 08-PM,ETHUSD,608.45,608.89,601.76,605.44,873.53,528915.02
2018-06-07 07-PM,ETHUSD,608.54,608.93,607.5,608.45,259.94,158095.73
2018-06-07 06-PM,ETHUSD,608.74,609.7,607.74,608.54,197.08,119982.41
2018-06-07 05-PM,ETHUSD,610.75,612.13,607.05,608.74,492.71,299880.13
2018-06-07 04-PM,ETHUSD,606.68,610.75,605.89,610.75,399.72,242875.47
2018-06-07 03-PM,ETHUSD,606.75,608.69,604.8,606.68,600.62,364329.27
2018-06-07 02-PM,ETHUSD,608.45,609.33,603.63,606.75,897.63,545118.55
2018-06-07 01-PM,ETHUSD,609.4,610.43,607.79,608.45,532.32,324214.35
2018-06-07 12-PM,ETHUSD,607.3,610.64,607,609.4,328.08,199662.7
2018-06-07 11-AM,ETHUSD,608.18,609.03,607.18,607.3,514.12,312477.11
2018-06-07 10-AM,ETHUSD,610,610.21,606.69,608.18,269.91,164201.8
2018-06-07 09-AM,ETHUSD,608.87,610.44,607.22,610,412.11,250818.87
2018-06-07 08-AM,ETHUSD,609.69,611.72,608.44,608.87,703.12,428738.87
2018-06-07 07-AM,ETHUSD,607.31,609.94,606.9,609.69,292.64,178099.81
2018-06-07 06-AM,ETHUSD,610.17,610.83,605,607.31,815.2,495237.82
2018-06-07 05-AM,ETHUSD,610.64,612.29,608.19,610.17,442.93,270390.66
2018-06-07 04-AM,ETHUSD,614.42,614.42,610.14,610.64,528.03,323258.38
2018-06-07 03-AM,ETHUSD,612.48,614.88,612.4,614.42,250.03,153432.88
2018-06-07 02-AM,ETHUSD,613.36,615.61,612.17,612.48,220.11,135118.59
2018-06-07 01-AM,ETHUSD,614.5,616.48,611.33,613.36,837.57,514241.75
2018-06-07 12-AM,ETHUSD,606.4,614.69,606.4,614.5,340.69,207813.68
2018-06-06 11-PM,ETHUSD,606.73,607.06,604.79,606.4,184.99,112059.46
2018-06-06 10-PM,ETHUSD,606.78,608.67,604.63,606.73,330.17,200290.43
2018-06-06 09-PM,ETHUSD,604.97,608.98,603.9,606.78,729.63,441954.16
2018-06-06 08-PM,ETHUSD,598.4,605.22,595.09,604.97,572.87,344413.78
2018-06-06 07-PM,ETHUSD,597.84,599.04,597.77,598.4,247.88,148354.82
2018-06-06 06-PM,ETHUSD,598.17,598.34,594.99,597.84,452.78,269920.12
2018-06-06 05-PM,ETHUSD,596.57,599,596.25,598.17,652.96,390206.98
2018-06-06 04-PM,ETHUSD,610.64,611.07,594.7,596.57,1330.6,799049.72
2018-06-06 03-PM,ETHUSD,608.48,611.4,607.77,610.64,446.84,272486.09
2018-06-06 02-PM,ETHUSD,609.39,609.62,607.95,608.48,466.04,283744.8
2018-06-06 01-PM,ETHUSD,610.69,610.76,608.79,609.39,453.12,276158.7
2018-06-06 12-PM,ETHUSD,606.26,611.32,604.13,610.69,583.91,354248.55
2018-06-06 11-AM,ETHUSD,604.32,607.66,603.97,606.26,811.21,491913.43
2018-06-06 10-AM,ETHUSD,601.11,604.44,600.4,604.32,382.73,230766.99
2018-06-06 09-AM,ETHUSD,603.55,603.85,600.3,601.11,444.23,267606.41
2018-06-06 08-AM,ETHUSD,607.1,607.32,602.08,603.55,534.74,322902.1
2018-06-06 07-AM,ETHUSD,608.28,611.45,606.7,607.1,388.26,236581.66
2018-06-06 06-AM,ETHUSD,604.83,609.09,604.32,608.28,466.1,283234.28
2018-06-06 05-AM,ETHUSD,602.01,604.99,598.91,604.83,570.55,343435.08
2018-06-06 04-AM,ETHUSD,606.82,607.81,601.62,602.01,697.39,421491.43
2018-06-06 03-AM,ETHUSD,607.67,609.11,606.82,606.82,152.1,92530.46
2018-06-06 02-AM,ETHUSD,608.87,608.9,606.07,607.67,262.08,159099.87
