Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DBTC
2018-04-03,MAIDBTC,3.559e-05,3.741e-05,3.55e-05,3.692e-05,2522033.0,92.1
2018-04-02,MAIDBTC,3.431e-05,3.651e-05,3.413e-05,3.559e-05,2423896.0,85.36
2018-04-01,MAIDBTC,3.293e-05,3.441e-05,3.278e-05,3.431e-05,1346808.0,44.83
2018-03-31,MAIDBTC,3.159e-05,5.0e-05,3.121e-05,3.293e-05,1926278.0,62.86
2018-03-30,MAIDBTC,3.293e-05,3.342e-05,3.065e-05,3.159e-05,2092442.0,68.79
2018-03-29,MAIDBTC,3.246e-05,3.352e-05,3.18e-05,3.293e-05,2645061.0,86.78
2018-03-28,MAIDBTC,3.26e-05,3.32e-05,3.16e-05,3.246e-05,2658305.0,85.76
2018-03-27,MAIDBTC,3.252e-05,3.46e-05,3.02e-05,3.26e-05,2305994.0,75.23
2018-03-26,MAIDBTC,3.372e-05,3.384e-05,3.211e-05,3.252e-05,2020700.0,66.48
2018-03-25,MAIDBTC,3.364e-05,3.445e-05,3.033e-05,3.372e-05,2572648.0,84.59
2018-03-24,MAIDBTC,3.444e-05,3.549e-05,3.356e-05,3.364e-05,2870396.0,99.67
2018-03-23,MAIDBTC,3.543e-05,3.644e-05,3.352e-05,3.444e-05,2137197.0,73.96
2018-03-22,MAIDBTC,3.361e-05,3.7e-05,3.326e-05,3.543e-05,2757624.0,94.73
2018-03-21,MAIDBTC,3.756e-05,3.797e-05,2.701e-05,3.361e-05,3947369.0,137.72
2018-03-20,MAIDBTC,3.428e-05,3.819e-05,3.409e-05,3.756e-05,2181472.0,78.73
2018-03-19,MAIDBTC,3.383e-05,3.593e-05,3.289e-05,3.428e-05,2885163.0,98.19
2018-03-18,MAIDBTC,3.446e-05,3.462e-05,3.25e-05,3.383e-05,2626293.0,87.66
2018-03-17,MAIDBTC,3.469e-05,3.615e-05,3.416e-05,3.446e-05,2192725.0,76.76
2018-03-16,MAIDBTC,3.522e-05,3.539e-05,3.391e-05,3.469e-05,2531053.0,88.07
2018-03-15,MAIDBTC,3.506e-05,3.58e-05,3.296e-05,3.522e-05,2595093.0,89.46
2018-03-14,MAIDBTC,3.56e-05,3.62e-05,3.484e-05,3.506e-05,2297456.0,81.5
2018-03-13,MAIDBTC,3.483e-05,3.596e-05,3.307e-05,3.56e-05,2731312.0,94.63
2018-03-12,MAIDBTC,3.379e-05,3.6e-05,3.338e-05,3.483e-05,2388368.0,81.77
2018-03-11,MAIDBTC,3.241e-05,3.45e-05,3.162e-05,3.379e-05,2974852.0,98.03
2018-03-10,MAIDBTC,3.324e-05,3.441e-05,3.225e-05,3.241e-05,2509199.0,83.35
2018-03-09,MAIDBTC,3.141e-05,3.355e-05,3.115e-05,3.324e-05,2495013.0,80.7
2018-03-08,MAIDBTC,3.427e-05,3.45e-05,3.1e-05,3.141e-05,2766629.0,92.35
2018-03-07,MAIDBTC,3.39e-05,3.653e-05,3.2e-05,3.427e-05,2718554.0,92.82
2018-03-06,MAIDBTC,3.433e-05,3.629e-05,3.307e-05,3.39e-05,2835251.0,96.69
2018-03-05,MAIDBTC,3.56e-05,3.721e-05,3.4e-05,3.433e-05,2173806.0,76.02
2018-03-04,MAIDBTC,3.562e-05,3.645e-05,3.364e-05,3.56e-05,2868305.0,99.62
2018-03-03,MAIDBTC,3.647e-05,3.8e-05,3.454e-05,3.562e-05,2459765.0,88.32
2018-03-02,MAIDBTC,3.617e-05,3.8e-05,3.305e-05,3.647e-05,2676665.0,93.76
2018-03-01,MAIDBTC,3.809e-05,3.817e-05,3.321e-05,3.617e-05,2678846.0,95.0
2018-02-28,MAIDBTC,3.36e-05,3.919e-05,3.322e-05,3.809e-05,2830191.0,102.2
2018-02-27,MAIDBTC,3.463e-05,3.529e-05,3.167e-05,3.36e-05,3102540.0,103.97
2018-02-26,MAIDBTC,3.585e-05,3.662e-05,3.361e-05,3.463e-05,2514665.0,89.41
2018-02-25,MAIDBTC,3.675e-05,3.696e-05,3.346e-05,3.585e-05,2654636.0,95.78
2018-02-24,MAIDBTC,3.67e-05,3.8e-05,3.644e-05,3.675e-05,1985929.0,73.58
2018-02-23,MAIDBTC,4.04e-05,4.263e-05,3.65e-05,3.67e-05,2584363.0,104.37
2018-02-22,MAIDBTC,4.024e-05,4.198e-05,3.784e-05,4.04e-05,2092580.0,83.85
2018-02-21,MAIDBTC,3.847e-05,4.328e-05,3.763e-05,4.024e-05,2810194.0,114.22
2018-02-20,MAIDBTC,4.155e-05,4.305e-05,3.782e-05,3.847e-05,2185290.0,88.63
2018-02-19,MAIDBTC,4.271e-05,4.445e-05,4.015e-05,4.155e-05,2667141.0,113.72
2018-02-18,MAIDBTC,4.714e-05,4.773e-05,3.488e-05,4.271e-05,3207535.0,132.49
2018-02-17,MAIDBTC,4.761e-05,5.18e-05,4.461e-05,4.714e-05,1895198.0,90.51
2018-02-16,MAIDBTC,4.975e-05,5.154e-05,4.669e-05,4.761e-05,2236108.0,109.36
2018-02-15,MAIDBTC,5.075e-05,5.108e-05,4.771e-05,4.975e-05,1918409.0,94.53
2018-02-14,MAIDBTC,4.785e-05,5.106e-05,3.963e-05,5.075e-05,2003442.0,97.04
2018-02-13,MAIDBTC,4.897e-05,4.999e-05,4.7e-05,4.785e-05,2360832.0,114.91
2018-02-12,MAIDBTC,4.848e-05,5.3e-05,4.793e-05,4.897e-05,1792318.0,90.62
2018-02-11,MAIDBTC,4.839e-05,5.085e-05,4.657e-05,4.848e-05,2051543.0,99.73
2018-02-10,MAIDBTC,5.065e-05,5.274e-05,4.7e-05,4.839e-05,1948861.0,97.6
2018-02-09,MAIDBTC,4.853e-05,5.2e-05,4.8e-05,5.065e-05,2193299.0,108.53
2018-02-08,MAIDBTC,5.115e-05,5.29e-05,4.826e-05,4.853e-05,2510018.0,126.37
2018-02-07,MAIDBTC,4.956e-05,5.413e-05,4.812e-05,5.115e-05,2576889.0,130.49
2018-02-06,MAIDBTC,4.785e-05,5.172e-05,4.465e-05,4.956e-05,2198331.0,106.01
2018-02-05,MAIDBTC,4.769e-05,4.986e-05,4.55e-05,4.785e-05,2616363.0,122.58
2018-02-04,MAIDBTC,5.232e-05,5.32e-05,4.532e-05,4.769e-05,3348209.0,166.93
2018-02-03,MAIDBTC,4.912e-05,5.3e-05,4.72e-05,5.232e-05,2534525.0,126.84
2018-02-02,MAIDBTC,5.241e-05,5.267e-05,4.242e-05,4.912e-05,3373039.0,161.39
2018-02-01,MAIDBTC,5.745e-05,5.761e-05,5.011e-05,5.241e-05,3123991.0,167.96
2018-01-31,MAIDBTC,5.755e-05,5.864e-05,5.435e-05,5.745e-05,3674558.0,208.18
2018-01-30,MAIDBTC,5.834e-05,6.007e-05,5.489e-05,5.755e-05,3114270.0,182.22
2018-01-29,MAIDBTC,5.898e-05,6.069e-05,5.776e-05,5.834e-05,3011603.0,179.24
2018-01-28,MAIDBTC,6.023e-05,6.091e-05,5.669e-05,5.898e-05,3507241.0,206.89
2018-01-27,MAIDBTC,5.871e-05,6.09e-05,5.699e-05,6.023e-05,2891321.0,170.28
2018-01-26,MAIDBTC,5.646e-05,6.019e-05,5.38e-05,5.871e-05,3006138.0,172.58
2018-01-25,MAIDBTC,5.833e-05,6.104e-05,5.231e-05,5.646e-05,1420455.0,82.05
2018-01-24,MAIDBTC,6.105e-05,6.195e-05,5.516e-05,5.833e-05,3256713.0,194.32
2018-01-23,MAIDBTC,6.575e-05,6.588e-05,6.01e-05,6.105e-05,2719536.0,171.63
2018-01-22,MAIDBTC,5.819e-05,6.9e-05,5.433e-05,6.575e-05,3938640.0,238.93
2018-01-21,MAIDBTC,5.837e-05,5.989e-05,5.56e-05,5.819e-05,3062941.0,176.25
2018-01-20,MAIDBTC,6.039e-05,6.226e-05,5.68e-05,5.837e-05,3086215.0,183.78
2018-01-19,MAIDBTC,5.835e-05,6.399e-05,5.706e-05,6.039e-05,3159705.0,189.97
2018-01-18,MAIDBTC,5.998e-05,6.238e-05,4.3e-05,5.835e-05,3181741.0,183.95
2018-01-17,MAIDBTC,5.816e-05,6.298e-05,5.415e-05,5.998e-05,2929372.0,174.16
2018-01-16,MAIDBTC,7.099e-05,7.289e-05,5.401e-05,5.816e-05,3283806.0,210.35
2018-01-15,MAIDBTC,6.743e-05,7.484e-05,6.231e-05,7.099e-05,2536156.0,170.43
2018-01-14,MAIDBTC,7.332e-05,7.411e-05,6.101e-05,6.743e-05,3408753.0,230.57
2018-01-13,MAIDBTC,6.503e-05,7.425e-05,5.5e-05,7.332e-05,1894471.0,128.02
2018-01-12,MAIDBTC,5.981e-05,7.272e-05,5.645e-05,6.503e-05,1782939.0,108.03
2018-01-11,MAIDBTC,7.008e-05,7.391e-05,5.978e-05,5.981e-05,2047832.0,133.56
2018-01-10,MAIDBTC,7.454e-05,7.484e-05,6.753e-05,7.008e-05,1789638.0,128.48
2018-01-09,MAIDBTC,6.863e-05,7.903e-05,5.5e-05,7.454e-05,1912352.0,131.14
2018-01-08,MAIDBTC,6.966e-05,7.0e-05,5.811e-05,6.863e-05,1955080.0,129.3
2018-01-07,MAIDBTC,5.835e-05,6.973e-05,5.68e-05,6.966e-05,2174382.0,138.39
2018-01-06,MAIDBTC,6.116e-05,6.618e-05,5.783e-05,5.835e-05,2260933.0,139.2
2018-01-05,MAIDBTC,7.034e-05,7.055e-05,5.686e-05,6.116e-05,2246958.0,143.67
2018-01-04,MAIDBTC,7.67e-05,7.834e-05,6.706e-05,7.034e-05,1754993.0,125.79
