Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume RUR
2019-07-03,BTCRUR,695002,733500,695002,702665,12.2,8771784.73
2019-07-02,BTCRUR,670000,718698,610119.05,695002,50.83,33987624.52
2019-07-01,BTCRUR,709210,719800,650000,670000,28.77,19647712.37
2019-06-30,BTCRUR,762000,772002.1,696019,709200,19.07,13999344.11
2019-06-29,BTCRUR,790003.4,790003.4,747480,762000,20.98,16007835.88
2019-06-28,BTCRUR,689988,794063.08,679868,790003.4,29.79,22421591.81
2019-06-27,BTCRUR,799999,828897,655000,689988,52.65,38391303.83
2019-06-26,BTCRUR,737802.01,894000,734928.51,799999,63.14,52123827.43
2019-06-25,BTCRUR,692801.84,741491.02,692801.84,737802.01,30.51,21693457.31
2019-06-24,BTCRUR,686000,695800,671000,692801.84,21.87,15098010.94
2019-06-23,BTCRUR,681935.6,700000,660000,686000,23.87,16182972.35
2019-06-22,BTCRUR,635501,700000,627714,681935.6,52.6,35434762.92
2019-06-21,BTCRUR,599000.6,635501,598559,635501,28.08,17301628.25
2019-06-20,BTCRUR,587000,602010,582000,599000.6,24.05,14230780.81
2019-06-19,BTCRUR,582800,588000,574009,587000,16.98,9846627.88
2019-06-18,BTCRUR,596000,596000,571146.51,582800,15.87,9254093.63
2019-06-17,BTCRUR,575002,596000,568000,596000,26.79,15669249.88
2019-06-16,BTCRUR,560000,597750,560000,575002,30.18,17587173.69
2019-06-15,BTCRUR,553365.74,566200,545200,560000,26.29,14663430.6
2019-06-14,BTCRUR,532333.11,554204.5,527000,553365.74,27.12,14603639.04
2019-06-13,BTCRUR,531000,536630.5,522000,532333.11,22.03,11649926.32
2019-06-12,BTCRUR,519532,534448.95,518804,531000,21.02,11082494.68
2019-06-11,BTCRUR,524000,527199,507119.2,519532,25.59,13272744.04
2019-06-10,BTCRUR,515217,530007,510757.18,524000,17.61,9188318.1
2019-06-09,BTCRUR,530000,531601.08,512820,515217,15.98,8330913.68
2019-06-08,BTCRUR,529880,532000,520061.26,530000,15.44,8116713.45
2019-06-07,BTCRUR,507130,531705,506300,529880,22.89,11918998.33
2019-06-06,BTCRUR,515509.74,515999,498000,507130,23.8,12121158.2
2019-06-05,BTCRUR,508999.89,518141.98,505000,515509.74,23.34,11945990.48
2019-06-04,BTCRUR,542153.98,544999.05,502703,508999.89,31.51,16354082.65
2019-06-03,BTCRUR,562003,565972,542153.98,542153.98,18.64,10353356.49
2019-06-02,BTCRUR,560868.94,569747.06,553083.83,562003,25.6,14384961.39
2019-06-01,BTCRUR,559038.53,564632.58,550550,560868.94,26.41,14718482.29
2019-05-31,BTCRUR,541945.87,560000,530010,559038.53,28.68,15667699.11
2019-05-30,BTCRUR,559936,570001,527401.79,541945.87,34.82,19287696.21
2019-05-29,BTCRUR,558073.5,573291.43,553342,559936,31.08,17463360.05
2019-05-28,BTCRUR,552410,562500,545740,558073.5,33.15,18357790.11
2019-05-27,BTCRUR,550000,565000,541000,552410,45.03,24884419.84
2019-05-26,BTCRUR,515000,551999,507502,550000,42.37,22354690.36
2019-05-25,BTCRUR,513292,518000,507500,515000,20.43,10494859.0
2019-05-24,BTCRUR,506311,519767.42,506300,514186.16,25.55,13113794.44
2019-05-23,BTCRUR,504140,512534,492129.6,506311,33.07,16588419.45
2019-05-22,BTCRUR,509106,514980,499817.41,504140,22.42,11384605.39
2019-05-21,BTCRUR,515081.52,516883.12,500118.83,509106,37.73,19222933.78
2019-05-20,BTCRUR,523100,525771.67,495492.48,515081.52,26.78,13569581.04
2019-05-19,BTCRUR,484887.8,526848,480753,523100,46.96,24014928.28
2019-05-18,BTCRUR,478005.27,485611.42,474000,484887.8,24.78,11921862.24
2019-05-17,BTCRUR,502222,507481,456101.82,474159,49.97,23731564.15
2019-05-16,BTCRUR,518206,540000,496620.6,502222,42.23,21693438.09
2019-05-15,BTCRUR,514857.19,539990,504896.29,518206,39.63,20682037.93
2019-05-14,BTCRUR,514100,548000,496827.45,514857.19,62.71,33011469.75
2019-05-13,BTCRUR,454509.45,519770,453560,514100,55.73,27086043.44
2019-05-12,BTCRUR,448308.57,481989.69,444179.8,454509.45,90.5,41692127.66
2019-05-11,BTCRUR,426098.24,448308.57,425950.18,448308.57,82.07,35981912.79
2019-05-10,BTCRUR,410203,426098.24,407524,426098.24,38.31,16063568.91
2019-05-09,BTCRUR,390100,410203.23,390001,410203,21.24,8571743.52
2019-05-08,BTCRUR,382001,395397,376377,390100,28.05,10903036.24
2019-05-07,BTCRUR,371606,384051.13,369200,382115,12.71,4813515.92
2019-05-06,BTCRUR,375520,377598,367893.58,371606,24.56,9156260.27
2019-05-05,BTCRUR,374732.94,380000,372400,375520,20.01,7531101.71
2019-05-04,BTCRUR,372463,379106,365687.2,374732.94,26.81,10000199.01
2019-05-03,BTCRUR,355979,372900,353860,372463,41.2,15020218.17
2019-05-02,BTCRUR,352500,356000,350022,355979,20.92,7399434.48
2019-05-01,BTCRUR,351450,355799.11,350000,352500,24.41,8580820.06
2019-04-30,BTCRUR,352287,354000,350000,350151,29.49,10336392.27
2019-04-29,BTCRUR,351680,355225,350000,352287,23.07,8112679.28
2019-04-28,BTCRUR,354146,356869.98,350001,350001,18.88,6666779.66
2019-04-27,BTCRUR,354003,356816.16,351001,355900,15.25,5384832.24
2019-04-26,BTCRUR,353051,360865.01,351020.03,354003,19.51,6939362.99
2019-04-25,BTCRUR,360470,369000,351010,353051,21.15,7657109.51
2019-04-24,BTCRUR,362518,369000,353000,360470,30.14,10911984.33
2019-04-23,BTCRUR,357799,377878.8,356054,362518,29.25,10711399.17
