Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2018-06-11,XEMUSD,0.2183,0.2301,0.2153,0.2188,726405.0,161404.05
2018-06-10,XEMUSD,0.2437,0.2439,0.2114,0.2183,2541686.0,584436.78
2018-06-09,XEMUSD,0.2515,0.2615,0.2429,0.2437,2358469.0,595364.97
2018-06-08,XEMUSD,0.2556,0.2564,0.2483,0.2515,1718542.0,433499.88
2018-06-07,XEMUSD,0.2508,0.278,0.2503,0.2556,2184609.0,575037.19
2018-06-06,XEMUSD,0.2527,0.2535,0.2453,0.2508,2172958.0,541994.49
2018-06-05,XEMUSD,0.2501,0.2562,0.2395,0.2527,2499137.0,616144.79
2018-06-04,XEMUSD,0.2641,0.2669,0.2432,0.2501,2359479.0,593841.79
2018-06-03,XEMUSD,0.2643,0.2749,0.2617,0.2641,2205092.0,589747.48
2018-06-02,XEMUSD,0.2542,0.2644,0.2523,0.2643,2203921.0,572185.08
2018-06-01,XEMUSD,0.2447,0.2622,0.2441,0.2542,2301122.0,579448.79
2018-05-31,XEMUSD,0.2422,0.2489,0.2388,0.2447,2162041.0,527532.47
2018-05-30,XEMUSD,0.24,0.2498,0.2346,0.2422,2253132.0,544013.41
2018-05-29,XEMUSD,0.2285,0.2511,0.2281,0.24,2258771.0,537852.44
2018-05-28,XEMUSD,0.2554,0.2566,0.2281,0.2285,2338868.0,561724.89
2018-05-27,XEMUSD,0.2571,0.2588,0.2526,0.2554,1926469.0,492797.74
2018-05-26,XEMUSD,0.2634,0.2692,0.2552,0.2571,1971792.0,520454.26
2018-05-25,XEMUSD,0.2705,0.2775,0.2591,0.2634,768596.0,202188.65
2018-05-24,XEMUSD,0.2613,0.2715,0.2538,0.2705,1850036.0,486189.69
2018-05-23,XEMUSD,0.2864,0.2878,0.2551,0.2613,2046558.0,559241.26
2018-05-22,XEMUSD,0.3105,0.3117,0.2861,0.2864,1746007.0,522533.79
2018-05-21,XEMUSD,0.3221,0.3252,0.3055,0.3105,1771589.0,558946.85
2018-05-20,XEMUSD,0.3064,0.3246,0.3037,0.3221,1802668.0,567441.52
2018-05-19,XEMUSD,0.3107,0.3167,0.3023,0.3064,1734403.0,536161.74
2018-05-18,XEMUSD,0.3022,0.3136,0.2914,0.3107,1371277.0,416209.27
2018-05-17,XEMUSD,0.3241,0.3296,0.2991,0.3022,1110804.0,351946.41
2018-05-16,XEMUSD,0.3327,0.3361,0.3053,0.3241,1021032.0,327837.17
2018-05-15,XEMUSD,0.3661,0.3712,0.3315,0.3327,1060381.0,376401.41
2018-05-14,XEMUSD,0.3564,0.3845,0.3319,0.3661,1186936.0,429847.61
2018-05-13,XEMUSD,0.3325,0.3591,0.3266,0.3564,1170615.0,399758.59
2018-05-12,XEMUSD,0.3247,0.3431,0.3051,0.3325,1137897.0,369672.0
2018-05-11,XEMUSD,0.3516,0.3538,0.303,0.3247,1202471.0,393197.35
2018-05-10,XEMUSD,0.3804,0.3847,0.3513,0.3516,932842.0,347586.13
2018-05-09,XEMUSD,0.3801,0.3899,0.3566,0.3804,963328.0,360282.49
