Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume PLN
2019-07-03 10-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 09-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 08-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 07-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 06-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 05-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 04-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 03-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 02-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 01-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-03 12-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 11-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 10-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 09-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 08-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 07-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 06-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 05-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 04-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 03-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 02-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 01-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 12-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 11-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 10-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 09-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 08-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 07-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 06-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 05-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 04-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 03-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 02-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 01-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02 12-AM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 11-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 10-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 09-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 08-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 07-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 06-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 05-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01 04-PM,ETHPLN,2500,2500,2500,2500,0.0,0.0
