Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume ETH
2018-06-15,TRXETH,8.7e-05,9.06e-05,8.7e-05,8.88e-05,2999000.0,265.39
2018-06-14,TRXETH,8.67e-05,9.15e-05,8.51e-05,8.7e-05,12673000.0,1107.13
2018-06-13,TRXETH,8.79e-05,8.84e-05,8.39e-05,8.67e-05,4880000.0,420.27
2018-06-12,TRXETH,9.08e-05,9.14e-05,8.67e-05,8.79e-05,4912000.0,437.92
2018-06-11,TRXETH,8.94e-05,9.16e-05,8.73e-05,9.08e-05,5626000.0,501.36
2018-06-10,TRXETH,9.61e-05,9.74e-05,8.76e-05,8.94e-05,6433000.0,602.61
2018-06-09,TRXETH,9.58e-05,9.76e-05,9.55e-05,9.61e-05,7875000.0,760.42
2018-06-08,TRXETH,9.69e-05,9.73e-05,9.42e-05,9.58e-05,6518000.0,624.44
2018-06-07,TRXETH,9.75e-05,9.86e-05,9.67e-05,9.69e-05,3305000.0,322.37
2018-06-06,TRXETH,9.92e-05,9.92e-05,9.73e-05,9.75e-05,3107000.0,304.45
2018-06-05,TRXETH,9.97e-05,9.98e-05,9.81e-05,9.92e-05,1381000.0,136.81
2018-06-04,TRXETH,9.97e-05,0.0001034,9.76e-05,9.97e-05,8813000.0,871.54
2018-06-03,TRXETH,0.0001024,0.0001038,9.9e-05,9.97e-05,18766000.0,1898.68
2018-06-02,TRXETH,0.0001006,0.0001075,9.85e-05,0.0001024,15507000.0,1585.31
2018-06-01,TRXETH,0.000104,0.0001061,9.83e-05,0.0001006,13514000.0,1368.15
2018-05-31,TRXETH,0.0001102,0.0001129,0.0001032,0.000104,11506000.0,1224.43
2018-05-30,TRXETH,0.0001134,0.0001155,0.0001067,0.0001102,13370000.0,1488.77
2018-05-29,TRXETH,0.0001167,0.0001194,0.0001084,0.0001134,13063000.0,1482.59
2018-05-28,TRXETH,0.0001226,0.0001237,0.0001157,0.0001167,14686000.0,1766.52
2018-05-27,TRXETH,0.0001236,0.0001263,0.0001216,0.0001226,38503000.0,4756.54
2018-05-26,TRXETH,0.0001203,0.0001265,0.0001192,0.0001236,47310000.0,5750.1
2018-05-25,TRXETH,0.0001202,0.0001219,0.0001159,0.0001203,47604000.0,5640.03
2018-05-24,TRXETH,0.0001175,0.0001234,0.0001172,0.0001202,49864000.0,6022.54
2018-05-23,TRXETH,0.0001141,0.0001185,0.0001123,0.0001175,51813000.0,5971.97
2018-05-22,TRXETH,0.0001162,0.0001171,0.0001121,0.0001141,56294000.0,6454.72
2018-05-21,TRXETH,0.0001076,0.000117,0.0001073,0.0001162,52127000.0,5899.94
2018-05-20,TRXETH,9.86e-05,0.0001085,9.85e-05,0.0001076,41300000.0,4253.15
2018-05-19,TRXETH,9.92e-05,9.93e-05,9.71e-05,9.86e-05,41355000.0,4063.38
2018-05-18,TRXETH,9.94e-05,0.0001001,9.72e-05,9.92e-05,27347000.0,2704.15
2018-05-17,TRXETH,0.0001006,0.000103,9.66e-05,9.94e-05,10534000.0,1046.02
