Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-07-01,NEOUSDT,16.75,17.34,15.5,16.96,846773.12,13950601.92
2019-06-30,NEOUSDT,18.43,18.6,16.73,16.75,611203.09,10757495.21
2019-06-29,NEOUSDT,18.23,19.1,17.4,18.43,827452.67,14936988.07
2019-06-28,NEOUSDT,17.2,18.76,17.01,18.23,927636.51,16729875.63
2019-06-27,NEOUSDT,19.37,20.27,16.2,17.2,1417770.67,25374076.59
2019-06-26,NEOUSDT,19.61,20.99,17.02,19.37,2277205.83,44713335.42
2019-06-25,NEOUSDT,17.97,19.74,17.53,19.61,1520771.98,28190172.5
2019-06-24,NEOUSDT,16.86,18.45,16.38,17.97,986887.41,17385530.14
2019-06-23,NEOUSDT,17.48,18.89,16.71,16.86,1530392.97,27054331.22
2019-06-22,NEOUSDT,14.01,19.05,13.8,17.48,2817358.35,47148268.89
2019-06-21,NEOUSDT,13.54,14.05,13.54,14.01,434079.82,5994801.1
2019-06-20,NEOUSDT,13.72,13.76,13.17,13.54,311908.16,4189409.93
2019-06-19,NEOUSDT,13.67,13.98,13.48,13.72,307874.54,4235635.98
2019-06-18,NEOUSDT,14.2,14.22,13.22,13.67,667663.31,9122585.81
2019-06-17,NEOUSDT,13.99,14.72,13.89,14.2,824446.44,11777790.16
2019-06-16,NEOUSDT,13.95,14.48,13.76,13.99,737239.95,10367211.79
2019-06-15,NEOUSDT,13.44,14.42,13.44,13.95,1023174.52,14255018.54
2019-06-14,NEOUSDT,13.04,13.51,12.48,13.44,759890.59,9826186.85
2019-06-13,NEOUSDT,12.9,13.56,12.62,13.04,843507.18,11113022.88
2019-06-12,NEOUSDT,12.27,12.99,12.06,12.9,747162.54,9388834.28
2019-06-11,NEOUSDT,12.29,12.42,11.69,12.27,538835.95,6508645.37
2019-06-10,NEOUSDT,11.48,12.46,11.34,12.29,744677.38,9017929.49
2019-06-09,NEOUSDT,11.97,12.07,11.22,11.48,358708.47,4168767.5
2019-06-08,NEOUSDT,12.17,12.44,11.68,11.97,401628.21,4860392.68
2019-06-07,NEOUSDT,11.63,12.53,11.44,12.17,780353.55,9384700.95
2019-06-06,NEOUSDT,11.58,11.84,11.02,11.63,512725.05,5881258.55
2019-06-05,NEOUSDT,11.48,11.84,11.17,11.58,587391.3,6776312.42
2019-06-04,NEOUSDT,12.42,12.49,11.02,11.48,1083819.31,12877868.46
2019-06-03,NEOUSDT,14.11,14.14,12.4,12.42,771995.61,10218277.78
2019-06-02,NEOUSDT,13.71,14.16,13.6,14.11,534084.63,7427618.07
2019-06-01,NEOUSDT,13.54,14.37,13.25,13.71,1160288.63,16056482.14
2019-05-31,NEOUSDT,12.58,13.64,12.15,13.54,953389.05,12274413.88
2019-05-30,NEOUSDT,13.63,14.96,12.13,12.58,2032891.32,27961186.26
2019-05-29,NEOUSDT,12.66,14.47,11.74,13.63,1849983.94,24755538.0
2019-05-28,NEOUSDT,12.36,12.83,11.94,12.66,791886.12,9754303.41
2019-05-27,NEOUSDT,11.84,12.8,11.81,12.36,894877.45,10847060.33
2019-05-26,NEOUSDT,11.42,12.1,11.12,11.84,538262.95,6210030.86
2019-05-25,NEOUSDT,11.52,11.68,11.31,11.42,317625.26,3648061.79
2019-05-24,NEOUSDT,11.41,11.93,11.07,11.52,547346.15,6326858.88
2019-05-23,NEOUSDT,11.15,11.47,10.7,11.41,595566.68,6633366.64
2019-05-22,NEOUSDT,12.08,12.31,11.05,11.15,746632.42,8754379.39
2019-05-21,NEOUSDT,12,12.57,11.67,12.08,985262.68,11908803.67
2019-05-20,NEOUSDT,11.66,12.46,10.73,12,1432129.35,16757298.47
2019-05-19,NEOUSDT,10.7,11.95,10.66,11.66,1177879.91,13441619.19
2019-05-18,NEOUSDT,11.27,11.46,10.52,10.7,822976.52,9037615.67
2019-05-17,NEOUSDT,12.09,12.28,10.47,11.27,1449135.52,16050259.83
2019-05-16,NEOUSDT,12.85,13.87,11.34,12.09,2041508.28,25650220.86
2019-05-15,NEOUSDT,11.05,12.96,10.9,12.85,900103.55,10782917.15
2019-05-14,NEOUSDT,9.71,11.14,9.66,11.05,1262226.85,13307034.47
2019-05-13,NEOUSDT,9.32,10,9.25,9.71,616272.2,5982539.95
2019-05-12,NEOUSDT,9.64,10.07,8.98,9.32,794228.05,7551145.83
2019-05-11,NEOUSDT,8.78,10.23,8.77,9.64,966212.78,9272482.38
2019-05-10,NEOUSDT,8.66,9.09,8.33,8.78,516140.44,4521193.1
2019-05-09,NEOUSDT,9.04,9.31,8.5,8.66,451579.06,3970269.85
