Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2018-08-22 11-PM,XEMUSD,0.1178,0.1178,0.1178,0.1178,0.0,0.0
2018-08-22 10-PM,XEMUSD,0.1178,0.1178,0.1178,0.1178,0.0,0.0
2018-08-22 09-PM,XEMUSD,0.1133,0.1178,0.1133,0.1178,13.0,1.53
2018-08-22 08-PM,XEMUSD,0.1132,0.1179,0.1132,0.1133,33.92,3.92
2018-08-22 07-PM,XEMUSD,0.1132,0.1132,0.1132,0.1132,0.0,0.0
2018-08-22 06-PM,XEMUSD,0.1132,0.1132,0.1132,0.1132,0.0,0.0
2018-08-22 05-PM,XEMUSD,0.1129,0.1132,0.1129,0.1132,36.34,4.11
2018-08-22 04-PM,XEMUSD,0.1129,0.1129,0.1129,0.1129,0.0,0.0
2018-08-22 03-PM,XEMUSD,0.1129,0.1129,0.1129,0.1129,0.0,0.0
2018-08-22 02-PM,XEMUSD,0.1129,0.1129,0.1129,0.1129,0.0,0.0
2018-08-22 01-PM,XEMUSD,0.1161,0.1224,0.1129,0.1129,200.0,23.53
2018-08-22 12-PM,XEMUSD,0.1161,0.1161,0.1161,0.1161,0.0,0.0
2018-08-22 11-AM,XEMUSD,0.1161,0.1161,0.1161,0.1161,0.0,0.0
2018-08-22 10-AM,XEMUSD,0.1161,0.1161,0.1161,0.1161,0.0,0.0
2018-08-22 09-AM,XEMUSD,0.1162,0.1162,0.1161,0.1161,126.82,14.72
2018-08-22 08-AM,XEMUSD,0.1227,0.1227,0.1162,0.1162,73.12,8.5
2018-08-22 07-AM,XEMUSD,0.1162,0.1227,0.1162,0.1227,400.7,48.05
2018-08-22 06-AM,XEMUSD,0.1162,0.1162,0.1162,0.1162,3.2,0.3719
2018-08-22 05-AM,XEMUSD,0.1162,0.1162,0.1162,0.1162,28.0,3.25
2018-08-22 04-AM,XEMUSD,0.1162,0.1162,0.1162,0.1162,26.11,3.03
2018-08-22 03-AM,XEMUSD,0.1162,0.1162,0.1162,0.1162,10.0,1.16
2018-08-22 02-AM,XEMUSD,0.1162,0.1162,0.1162,0.1162,0.0,0.0
2018-08-22 01-AM,XEMUSD,0.1162,0.1162,0.1162,0.1162,0.0,0.0
