Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume HVN,Volume BTC
2018-06-15,HVNBTC,7.59e-06,7.76e-06,7.27e-06,7.27e-06,79270.0,0.5859
2018-06-14,HVNBTC,7.15e-06,8.0e-06,7.14e-06,7.59e-06,595910.0,4.44
2018-06-13,HVNBTC,6.96e-06,7.47e-06,6.3e-06,7.15e-06,554920.0,3.79
2018-06-12,HVNBTC,6.95e-06,7.4e-06,6.2e-06,6.96e-06,5464560.0,38.41
2018-06-11,HVNBTC,7.75e-06,7.75e-06,6.95e-06,6.95e-06,915550.0,6.59
2018-06-10,HVNBTC,8.69e-06,8.77e-06,7.52e-06,7.75e-06,957090.0,7.57
2018-06-09,HVNBTC,8.59e-06,8.83e-06,7.57e-06,8.69e-06,11912170.0,102.59
2018-06-08,HVNBTC,7.94e-06,8.91e-06,7.64e-06,8.59e-06,1236590.0,10.36
2018-06-07,HVNBTC,7.6e-06,8.5e-06,7.17e-06,7.94e-06,1035450.0,8.24
2018-06-06,HVNBTC,7.53e-06,8.0e-06,6.6e-06,7.6e-06,811530.0,5.95
2018-06-05,HVNBTC,7.43e-06,8.2e-06,7.4e-06,7.53e-06,778090.0,5.93
2018-06-04,HVNBTC,8.01e-06,8.21e-06,6.67e-06,7.43e-06,1477960.0,11.51
2018-06-03,HVNBTC,7.61e-06,8.11e-06,6.97e-06,8.01e-06,1217700.0,9.1
2018-06-02,HVNBTC,6.81e-06,7.93e-06,6.3e-06,7.61e-06,9458840.0,67.82
2018-06-01,HVNBTC,6.62e-06,7.0e-06,6.4e-06,6.81e-06,393780.0,2.66
2018-05-31,HVNBTC,6.8e-06,7.13e-06,6.43e-06,6.62e-06,818170.0,5.5
2018-05-30,HVNBTC,6.56e-06,7.22e-06,6.32e-06,6.8e-06,14472680.0,98.42
2018-05-29,HVNBTC,6.68e-06,6.99e-06,6.38e-06,6.56e-06,404710.0,2.67
2018-05-28,HVNBTC,7.51e-06,7.51e-06,6.5e-06,6.68e-06,653390.0,4.56
2018-05-27,HVNBTC,7.49e-06,8.1e-06,7.22e-06,7.51e-06,450010.0,3.36
2018-05-26,HVNBTC,7.22e-06,8.2e-06,7.05e-06,7.49e-06,694810.0,5.32
2018-05-25,HVNBTC,7.48e-06,7.68e-06,7.01e-06,7.22e-06,362550.0,2.65
2018-05-24,HVNBTC,7.08e-06,7.6e-06,6.83e-06,7.48e-06,6147070.0,43.98
2018-05-23,HVNBTC,6.85e-06,7.3e-06,6.6e-06,7.08e-06,825420.0,5.69
2018-05-22,HVNBTC,7.05e-06,7.38e-06,6.52e-06,6.85e-06,742010.0,5.11
2018-05-21,HVNBTC,6.13e-06,7.79e-06,5.95e-06,7.05e-06,3098610.0,21.12
2018-05-20,HVNBTC,5.85e-06,6.41e-06,5.6e-06,6.13e-06,1893530.0,11.47
2018-05-19,HVNBTC,6.99e-06,7.14e-06,5.55e-06,5.85e-06,2448570.0,15.69
2018-05-18,HVNBTC,8.0e-06,8.0e-06,6.77e-06,6.99e-06,14931510.0,104.94
2018-05-17,HVNBTC,8.09e-06,8.43e-06,7.78e-06,8.0e-06,375420.0,3.03
2018-05-16,HVNBTC,8.3e-06,8.5e-06,8.05e-06,8.09e-06,7890350.0,64.64
2018-05-15,HVNBTC,8.52e-06,8.9e-06,7.77e-06,8.3e-06,20356730.0,164.09
2018-05-14,HVNBTC,8.34e-06,1.0e-05,6.91e-06,8.52e-06,23025440.0,185.53
2018-05-13,HVNBTC,7.83e-06,8.69e-06,7.69e-06,8.34e-06,5536330.0,45.63
2018-05-12,HVNBTC,7.45e-06,8.28e-06,7.36e-06,7.83e-06,70832880.0,542.37
2018-05-11,HVNBTC,8.05e-06,8.79e-06,7.45e-06,7.45e-06,12091350.0,100.16
2018-05-10,HVNBTC,7.55e-06,8.66e-06,7.22e-06,8.05e-06,20404430.0,169.9
2018-05-09,HVNBTC,6.3e-06,8.93e-06,6.26e-06,7.55e-06,68629250.0,508.6
2018-05-08,HVNBTC,5.8e-06,6.49e-06,5.76e-06,6.3e-06,9138810.0,54.78
2018-05-07,HVNBTC,5.82e-06,6.15e-06,5.76e-06,5.8e-06,728900.0,4.27
2018-05-06,HVNBTC,5.99e-06,6.15e-06,5.76e-06,5.82e-06,606700.0,3.6
2018-05-05,HVNBTC,6.29e-06,6.3e-06,5.75e-06,5.99e-06,1673300.0,9.83
2018-05-04,HVNBTC,6.51e-06,6.53e-06,6.16e-06,6.29e-06,542100.0,3.41
2018-05-03,HVNBTC,6.64e-06,6.64e-06,6.11e-06,6.51e-06,904970.0,5.82
2018-05-02,HVNBTC,6.52e-06,6.98e-06,6.4e-06,6.64e-06,544160.0,3.59
2018-05-01,HVNBTC,6.33e-06,7.0e-06,6.16e-06,6.52e-06,996190.0,6.56
2018-04-30,HVNBTC,5.98e-06,6.58e-06,5.5e-06,6.33e-06,1265370.0,7.57
2018-04-29,HVNBTC,5.85e-06,5.98e-06,5.48e-06,5.98e-06,303810.0,1.75
2018-04-28,HVNBTC,5.58e-06,6.16e-06,5.39e-06,5.85e-06,400680.0,2.33
2018-04-27,HVNBTC,5.81e-06,5.99e-06,5.27e-06,5.58e-06,748760.0,4.22
2018-04-26,HVNBTC,5.91e-06,6.26e-06,5.65e-06,5.81e-06,572280.0,3.38
2018-04-25,HVNBTC,6.68e-06,6.76e-06,5.64e-06,5.91e-06,486580.0,2.96
2018-04-24,HVNBTC,6.83e-06,7.0e-06,6.35e-06,6.68e-06,823260.0,5.54
2018-04-23,HVNBTC,6.74e-06,6.87e-06,6.15e-06,6.83e-06,486880.0,3.14
2018-04-22,HVNBTC,6.53e-06,6.9e-06,6.35e-06,6.74e-06,191650.0,1.27
2018-04-21,HVNBTC,7.1e-06,7.1e-06,6.43e-06,6.53e-06,443570.0,2.97
2018-04-20,HVNBTC,6.91e-06,7.24e-06,6.45e-06,7.1e-06,258130.0,1.76
2018-04-19,HVNBTC,6.92e-06,7.2e-06,6.79e-06,6.91e-06,957300.0,6.69
2018-04-18,HVNBTC,6.14e-06,6.92e-06,6.14e-06,6.92e-06,783010.0,5.16
2018-04-17,HVNBTC,5.7e-06,7.09e-06,5.32e-06,6.14e-06,1416140.0,8.73
2018-04-16,HVNBTC,5.45e-06,5.9e-06,5.35e-06,5.7e-06,673380.0,3.79
2018-04-15,HVNBTC,5.35e-06,5.8e-06,5.35e-06,5.45e-06,349880.0,1.95
2018-04-14,HVNBTC,5.76e-06,6.31e-06,5.14e-06,5.35e-06,1303480.0,7.36
2018-04-13,HVNBTC,5.15e-06,5.9e-06,5.05e-06,5.76e-06,806860.0,4.56
2018-04-12,HVNBTC,6.51e-06,6.73e-06,4.7e-06,5.15e-06,2073210.0,11.26
2018-04-11,HVNBTC,5.94e-06,7.12e-06,5.93e-06,6.51e-06,784390.0,5.15
2018-04-10,HVNBTC,5.46e-06,6.3e-06,5.2e-06,5.94e-06,1236780.0,6.95
2018-04-09,HVNBTC,5.28e-06,5.86e-06,5.16e-06,5.46e-06,655110.0,3.68
2018-04-08,HVNBTC,5.28e-06,5.75e-06,5.16e-06,5.28e-06,351770.0,1.89
2018-04-07,HVNBTC,5.6e-06,5.92e-06,5.09e-06,5.28e-06,552130.0,3.02
2018-04-06,HVNBTC,5.65e-06,5.78e-06,5.4e-06,5.6e-06,358130.0,1.97
2018-04-05,HVNBTC,5.69e-06,5.97e-06,5.45e-06,5.65e-06,388860.0,2.25
2018-04-04,HVNBTC,6.01e-06,6.19e-06,5.0e-06,5.69e-06,1453280.0,8.2
2018-04-03,HVNBTC,5.37e-06,6.16e-06,5.36e-06,6.01e-06,291090.0,1.71
2018-04-02,HVNBTC,5.98e-06,5.99e-06,4.94e-06,5.37e-06,865300.0,4.78
2018-04-01,HVNBTC,6.32e-06,6.32e-06,5.95e-06,5.98e-06,71750.0,0.4359
2018-03-31,HVNBTC,6.28e-06,6.34e-06,6.0e-06,6.32e-06,126220.0,0.7766
2018-03-30,HVNBTC,6.71e-06,6.99e-06,5.51e-06,6.28e-06,1485210.0,9.0
2018-03-29,HVNBTC,7.48e-06,7.58e-06,6.47e-06,6.71e-06,1023980.0,7.36
2018-03-28,HVNBTC,7.67e-06,7.84e-06,7.18e-06,7.48e-06,483560.0,3.54
2018-03-27,HVNBTC,7.81e-06,8.16e-06,7.4e-06,7.67e-06,166480.0,1.28
2018-03-26,HVNBTC,8.43e-06,8.8e-06,7.3e-06,7.81e-06,480290.0,3.87
2018-03-25,HVNBTC,7.31e-06,8.88e-06,7.07e-06,8.43e-06,1776530.0,14.44
2018-03-24,HVNBTC,7.24e-06,8.52e-06,7.24e-06,7.31e-06,451070.0,3.41
2018-03-23,HVNBTC,8.48e-06,8.64e-06,6.4e-06,7.24e-06,3584800.0,26.73
2018-03-22,HVNBTC,8.78e-06,9.22e-06,7.2e-06,8.48e-06,1379410.0,11.35
2018-03-21,HVNBTC,9.25e-06,9.32e-06,8.63e-06,8.78e-06,2514910.0,22.75
2018-03-20,HVNBTC,8.0e-06,9.44e-06,8.0e-06,9.25e-06,9791340.0,87.25
2018-03-19,HVNBTC,8.07e-06,8.65e-06,7.83e-06,8.0e-06,248480.0,2.0
2018-03-18,HVNBTC,8.63e-06,8.71e-06,7.63e-06,8.07e-06,426320.0,3.39
2018-03-17,HVNBTC,8.7e-06,9.16e-06,8.23e-06,8.63e-06,159110.0,1.4
2018-03-16,HVNBTC,8.97e-06,9.47e-06,7.62e-06,8.7e-06,658590.0,5.71
2018-03-15,HVNBTC,9.2e-06,9.95e-06,8.86e-06,8.97e-06,840650.0,7.64
2018-03-14,HVNBTC,9.23e-06,9.98e-06,9.0e-06,9.2e-06,494380.0,4.56
2018-03-13,HVNBTC,9.42e-06,9.5e-06,8.92e-06,9.23e-06,526770.0,4.85
2018-03-12,HVNBTC,9.49e-06,1.05e-05,9.25e-06,9.42e-06,679950.0,6.58
2018-03-11,HVNBTC,9.07e-06,9.5e-06,8.93e-06,9.49e-06,438300.0,4.07
