Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-08-04 04-AM,ETHEUR,200.54,200.55,198.44,199.04,14.49,2891.47
2019-08-04 03-AM,ETHEUR,201.57,201.92,199.4,200.54,15.61,3136.26
2019-08-04 02-AM,ETHEUR,202.17,202.43,201.18,201.57,13.15,2656.6
2019-08-04 01-AM,ETHEUR,202.2,202.42,202,202.17,13.32,2692.88
2019-08-04 12-AM,ETHEUR,201.97,202.41,201.44,202.2,13.81,2791.51
2019-08-03 11-PM,ETHEUR,202.11,202.26,201.24,201.97,12.24,2468.43
2019-08-03 10-PM,ETHEUR,201.63,202.26,201.08,202.11,13.63,2750.46
2019-08-03 09-PM,ETHEUR,201.13,202.33,201.13,201.63,13.21,2663.92
2019-08-03 08-PM,ETHEUR,201.56,202.33,201.13,201.13,13.9,2802.89
2019-08-03 07-PM,ETHEUR,201.86,202.33,201.2,201.56,12.84,2592.48
2019-08-03 06-PM,ETHEUR,201.04,202.49,201.04,201.86,12.81,2583.49
2019-08-03 05-PM,ETHEUR,201.78,201.93,200.84,201.04,12.82,2583.17
2019-08-03 04-PM,ETHEUR,199.74,201.78,199.74,201.78,12.94,2600.2
2019-08-03 03-PM,ETHEUR,202.58,202.64,199.44,199.74,13.25,2676.89
2019-08-03 02-PM,ETHEUR,202.14,202.91,201.95,202.58,13.11,2656.13
2019-08-03 01-PM,ETHEUR,202.15,203.06,201.88,202.14,15.72,3180.0
2019-08-03 12-PM,ETHEUR,202.18,203.04,201.81,202.15,13.19,2670.35
2019-08-03 11-AM,ETHEUR,202.87,202.89,201.8,202.18,13.24,2677.72
2019-08-03 10-AM,ETHEUR,202.92,202.92,201.79,202.87,13.18,2664.98
2019-08-03 09-AM,ETHEUR,201.87,202.92,201.08,202.92,14.18,2866.96
2019-08-03 08-AM,ETHEUR,202.39,202.86,201.79,201.87,13.05,2641.06
2019-08-03 07-AM,ETHEUR,202.24,202.87,201.85,202.39,13.23,2676.33
2019-08-03 06-AM,ETHEUR,202.08,202.73,201.65,202.24,13.15,2660.21
