Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume PLN
2019-06-30 09-AM,BTCPLN,44278,44698.9,44278,44360,1.46,64771.54
2019-06-30 08-AM,BTCPLN,44650,44986.5,43803,44278,1.244,54972.04
2019-06-30 07-AM,BTCPLN,45000.29,45000.29,44300,44650,4.378,196154.25
2019-06-30 06-AM,BTCPLN,45000,45000.29,45000,45000.29,0.02409,1084.2
2019-06-30 05-AM,BTCPLN,45129.3,45129.3,45000,45000,0.2279,10254.12
2019-06-30 04-AM,BTCPLN,45190.99,45190.99,45000.1,45129.3,0.09312,4202.59
2019-06-30 03-AM,BTCPLN,45190.99,45190.99,45190.99,45190.99,0.0,0.0
2019-06-30 02-AM,BTCPLN,45190.99,45190.99,45190.99,45190.99,0.0,0.0
2019-06-30 01-AM,BTCPLN,45244.9,45244.9,45190.99,45190.99,0.1005,4544.1
2019-06-30 12-AM,BTCPLN,45244.9,45244.9,45244.9,45244.9,0.0,0.0
2019-06-29 11-PM,BTCPLN,44715.1,45244.9,44715.1,45244.9,0.04249,1905.0
2019-06-29 10-PM,BTCPLN,44200,45316.68,44200,44715.1,0.3528,15757.12
2019-06-29 09-PM,BTCPLN,45297,46500,44200,44200,5.581,253442.42
2019-06-29 08-PM,BTCPLN,44880,45297,43828.9,45297,1.087,48991.37
2019-06-29 07-PM,BTCPLN,44880,44880,44880,44880,0.0,0.0
2019-06-29 06-PM,BTCPLN,44770.3,44880,44400.1,44880,0.04982,2224.2
2019-06-29 05-PM,BTCPLN,44200,44770.3,44200,44770.3,0.2696,11975.62
2019-06-29 04-PM,BTCPLN,44299.4,44300,43600,44200,0.1517,6679.29
2019-06-29 03-PM,BTCPLN,44450.5,45000,43300,44299.4,1.112,49021.92
2019-06-29 02-PM,BTCPLN,44699.9,44699.9,44012,44450.5,0.798,35169.45
2019-06-29 01-PM,BTCPLN,44800,45299,44501,44699.9,0.6102,27414.63
2019-06-29 12-PM,BTCPLN,44580,44900,44000,44800,0.7482,33402.2
2019-06-29 11-AM,BTCPLN,44001,44590,44000.3,44580,2.022,89328.15
2019-06-29 10-AM,BTCPLN,43799.9,44460,43303.1,44001,1.27,55476.82
2019-06-29 09-AM,BTCPLN,44215,44215,43799.9,43799.9,0.0857,3754.97
2019-06-29 08-AM,BTCPLN,44202,45000,44202,44215,0.1435,6379.97
2019-06-29 07-AM,BTCPLN,45600,45749.25,43838,44202,0.3259,14453.51
2019-06-29 06-AM,BTCPLN,43999.9,45935.99,42801.1,45600,3.578,161517.41
2019-06-29 05-AM,BTCPLN,42964.09,45400,42800,43999.9,6.679,290692.86
2019-06-29 04-AM,BTCPLN,43163.01,43163.01,42800,42964.09,2.729,117009.93
2019-06-29 03-AM,BTCPLN,43901,43901,43163.01,43163.01,0.3906,16885.56
2019-06-29 02-AM,BTCPLN,45921.6,45921.6,43901,43901,0.2711,12061.66
2019-06-29 01-AM,BTCPLN,45325,45921.8,45325,45921.6,1.327,60920.78
2019-06-29 12-AM,BTCPLN,45947.58,45947.58,45325,45325,2.232,101331.65
2019-06-28 11-PM,BTCPLN,45495,46000,45150,45947.58,3.399,155519.23
2019-06-28 10-PM,BTCPLN,43902.38,45650,43902.38,45495,8.411,375859.79
2019-06-28 09-PM,BTCPLN,46001.5,47180,43900.01,43902.38,13.56,618006.69
2019-06-28 08-PM,BTCPLN,46404.74,47400,46000,46001.5,3.189,148300.55
2019-06-28 07-PM,BTCPLN,44521.23,47251,44521.23,46404.74,8.052,370046.04
2019-06-28 06-PM,BTCPLN,44702,44999,44521.23,44521.23,0.1594,7149.47
2019-06-28 05-PM,BTCPLN,44700.6,45000,44252,44702,0.623,27952.9
2019-06-28 04-PM,BTCPLN,45000,45000,44240.6,44700.6,1.019,45518.18
2019-06-28 03-PM,BTCPLN,43998.9,45000,43998.9,45000,3.012,135127.6
2019-06-28 02-PM,BTCPLN,44909,44909,43657.6,43998.9,1.81,80029.22
2019-06-28 01-PM,BTCPLN,44200,44909,42763.64,44909,7.767,340651.35
2019-06-28 12-PM,BTCPLN,45000,45167.8,43550.43,44200,2.431,108690.64
2019-06-28 11-AM,BTCPLN,44700,45000,44700,45000,3.527,158061.65
2019-06-28 10-AM,BTCPLN,44935.48,45355,43830.1,44700,2.682,120225.0
2019-06-28 09-AM,BTCPLN,44000,44935.48,44000,44935.48,5.796,257519.79
2019-06-28 08-AM,BTCPLN,42560,44000,42513.46,44000,1.181,51348.66
2019-06-28 07-AM,BTCPLN,42205,43493.9,42205,42560,1.708,73446.8
2019-06-28 06-AM,BTCPLN,41128.22,42980,41128.22,42205,2.474,103758.28
2019-06-28 05-AM,BTCPLN,40004.56,41128.22,40004.56,41128.22,0.8148,33313.1
2019-06-28 04-AM,BTCPLN,41486.59,41724,40000.52,40004.56,2.67,108853.25
2019-06-28 03-AM,BTCPLN,42334,42334,41486.59,41486.59,0.2005,8318.06
2019-06-28 02-AM,BTCPLN,42334,42334,42334,42334,0.6983,29561.05
2019-06-28 01-AM,BTCPLN,42350,42350,41452.41,42334,0.2634,11104.67
2019-06-28 12-AM,BTCPLN,42350,42350,42350,42350,0.0,0.0
2019-06-27 11-PM,BTCPLN,42005.55,42960,40560.06,42350,2.869,120488.72
2019-06-27 10-PM,BTCPLN,40350,42005.55,40350,42005.55,0.9631,39289.87
2019-06-27 09-PM,BTCPLN,39990,40350,39471.86,40350,2.214,88473.57
2019-06-27 08-PM,BTCPLN,40500.41,40500.41,39000,39990,2.799,111074.03
2019-06-27 07-PM,BTCPLN,41505,42005.55,39500,40500.41,3.11,125844.23
2019-06-27 06-PM,BTCPLN,39596.04,42800,39520.1,41505,13.22,546394.77
2019-06-27 05-PM,BTCPLN,41050,41690,38360.07,39596.04,20.69,826364.91
2019-06-27 04-PM,BTCPLN,44124,44125,40202,41050,9.219,386209.79
2019-06-27 03-PM,BTCPLN,44888,44888,43366.12,44124,0.8616,37870.15
2019-06-27 02-PM,BTCPLN,43700,44888,42950,44888,3.839,169721.07
2019-06-27 01-PM,BTCPLN,43711,44222,43025,43700,2.928,127774.7
2019-06-27 12-PM,BTCPLN,44800,45790,43711,43711,2.304,103229.55
2019-06-27 11-AM,BTCPLN,44000.1,44800,43600,44800,18.48,813386.37
2019-06-27 10-AM,BTCPLN,42897.9,44000.1,42201.44,44000.1,3.493,152573.03
2019-06-27 09-AM,BTCPLN,43000,43000,41100,42897.9,11.46,477651.99
2019-06-27 08-AM,BTCPLN,45568,45569,42096.83,43000,6.367,277228.19
2019-06-27 07-AM,BTCPLN,45000,46375.6,45000,45568,1.223,56082.04
2019-06-27 06-AM,BTCPLN,47512.11,47512.11,45000,45000,4.32,197747.61
2019-06-27 05-AM,BTCPLN,47600,47800,46359.8,47512.11,0.3239,15333.31
2019-06-27 04-AM,BTCPLN,47359.6,47600,46677.52,47600,0.6672,31583.6
2019-06-27 03-AM,BTCPLN,44319.7,47825.6,44319.7,47359.6,0.1209,5746.21
2019-06-27 02-AM,BTCPLN,45988.12,45988.12,44319.7,44319.7,0.05642,2500.44
2019-06-27 01-AM,BTCPLN,45146.04,46687.74,43196,45988.12,0.355,16204.56
2019-06-27 12-AM,BTCPLN,45651.24,48100,44031.28,45146.04,1.92,88011.57
2019-06-26 11-PM,BTCPLN,44117.81,45651.24,44117.81,45651.24,2.763,124419.26
2019-06-26 10-PM,BTCPLN,44404,45690,43000,44117.81,4.185,187534.31
2019-06-26 09-PM,BTCPLN,46000,46799.62,40051.57,44404,16.97,733436.56
