Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ZAR
2019-07-03 10-AM,BTCZAR,171999,172000,171999,172000,35.22,6057620.67
2019-07-03 09-AM,BTCZAR,168632,172000,166500,171999,67.61,11353014.78
2019-07-03 08-AM,BTCZAR,174005,174005,168631,168632,50.0,8595746.41
2019-07-03 07-AM,BTCZAR,176000,176000,174005,174005,46.98,8249796.75
2019-07-03 06-AM,BTCZAR,176600,176601,174000,176000,35.3,6199804.17
2019-07-03 05-AM,BTCZAR,173000,176879,171998,176600,51.0,8903800.21
2019-07-03 04-AM,BTCZAR,173830,174350,173000,173000,30.06,5218765.34
2019-07-03 03-AM,BTCZAR,170000,174368,168728,173830,25.27,4358210.76
2019-07-03 02-AM,BTCZAR,172000,172218,170000,170000,10.69,1834410.73
2019-07-03 01-AM,BTCZAR,168450,172218,168449,172000,14.67,2504768.3
2019-07-03 12-AM,BTCZAR,164000,168450,164000,168450,11.99,1998452.25
2019-07-02 11-PM,BTCZAR,164074,164074,162406,164000,6.698,1092019.92
2019-07-02 10-PM,BTCZAR,162943,165500,162942,164074,6.495,1066574.84
2019-07-02 09-PM,BTCZAR,163610,163700,162942,162943,17.04,2777549.27
2019-07-02 08-PM,BTCZAR,162923,165500,162922,163610,20.48,3369856.32
2019-07-02 07-PM,BTCZAR,161472,164998,161472,162923,35.62,5808466.99
2019-07-02 06-PM,BTCZAR,163893,164000,161000,161472,26.71,4333183.67
2019-07-02 05-PM,BTCZAR,158541,163893,158499,163893,38.17,6140352.59
2019-07-02 04-PM,BTCZAR,159000,160000,158003,158541,23.81,3787340.31
2019-07-02 03-PM,BTCZAR,158108,160000,155650,159000,29.59,4668189.55
2019-07-02 02-PM,BTCZAR,151515,159214,151515,158108,82.88,12812530.12
2019-07-02 01-PM,BTCZAR,153532,154322,151515,151515,35.23,5385919.52
2019-07-02 12-PM,BTCZAR,152000,154495,152000,153532,58.12,8931097.26
2019-07-02 11-AM,BTCZAR,152119,154450,149000,152000,75.3,11365810.61
2019-07-02 10-AM,BTCZAR,154110,154982,152000,152119,33.51,5120700.4
2019-07-02 09-AM,BTCZAR,156841,156888,153100,154110,57.08,8864981.86
2019-07-02 08-AM,BTCZAR,151140,156899,150000,156841,129.86,19886773.26
2019-07-02 07-AM,BTCZAR,150353,151143,150010,151140,37.14,5600917.43
2019-07-02 06-AM,BTCZAR,151001,152200,150000,150353,64.86,9789430.85
2019-07-02 05-AM,BTCZAR,152387,152658,151000,151001,42.54,6438565.48
2019-07-02 04-AM,BTCZAR,159010,159011,152000,152387,46.09,7044740.99
2019-07-02 03-AM,BTCZAR,157829,161364,156616,159010,6.249,993685.97
2019-07-02 02-AM,BTCZAR,157086,158835,156548,157829,2.892,457004.57
2019-07-02 01-AM,BTCZAR,158256,158656,156401,157086,7.226,1137762.51
2019-07-02 12-AM,BTCZAR,161590,162032,157282,158256,5.466,878462.39
2019-07-01 11-PM,BTCZAR,158321,161590,158260,161590,8.705,1395826.82
2019-07-01 10-PM,BTCZAR,160000,160000,157366,158321,6.474,1028374.88
2019-07-01 09-PM,BTCZAR,158547,160000,157366,160000,17.76,2809482.01
2019-07-01 08-PM,BTCZAR,153500,158547,153499,158547,30.51,4743361.2
2019-07-01 07-PM,BTCZAR,157937,157938,151827,153500,40.14,6200256.67
2019-07-01 06-PM,BTCZAR,157999,158100,156899,157937,20.13,3170183.83
2019-07-01 05-PM,BTCZAR,159150,159500,156000,157999,44.34,7018572.55
2019-07-01 04-PM,BTCZAR,158756,160400,158002,159150,33.5,5327369.81
2019-07-01 03-PM,BTCZAR,157234,159749,152005,158756,102.68,15925687.8
2019-07-01 02-PM,BTCZAR,162799,162799,156189,157234,93.61,15048805.71
2019-07-01 01-PM,BTCZAR,162998,165002,162500,162799,32.71,5366596.32
2019-07-01 12-PM,BTCZAR,168492,168493,162250,162998,77.43,12735472.08
2019-07-01 11-AM,BTCZAR,168000,168999,168000,168492,56.79,9546521.8
2019-07-01 10-AM,BTCZAR,170851,170851,168000,168000,61.2,10316590.01
2019-07-01 09-AM,BTCZAR,172000,172000,170190,170851,43.26,7376104.06
