Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume AUD
2019-07-03,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-07-02,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-07-01,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-30,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-29,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-28,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-27,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-26,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-25,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-24,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-23,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-22,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-21,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-20,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-19,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-18,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-17,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-16,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-15,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-14,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-13,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-12,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-11,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-10,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-09,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-08,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-07,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
2019-06-06,BTCAUD,5248.11,5248.11,5248.11,5248.11,0.0,0.0
