Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume INR
2019-07-03,XRPINR,54,54,54,54,0.0,0.0
2019-07-02,XRPINR,54,54,54,54,0.0,0.0
2019-07-01,XRPINR,54,54,54,54,0.0,0.0
2019-06-30,XRPINR,54,54,54,54,0.0,0.0
2019-06-29,XRPINR,54,54,54,54,0.0,0.0
2019-06-28,XRPINR,54,54,54,54,0.0,0.0
2019-06-27,XRPINR,54,54,54,54,0.0,0.0
2019-06-26,XRPINR,54,54,54,54,0.0,0.0
2019-06-25,XRPINR,54,54,54,54,0.0,0.0
2019-06-24,XRPINR,54,54,54,54,0.0,0.0
2019-06-23,XRPINR,54,54,54,54,0.0,0.0
2019-06-22,XRPINR,54,54,54,54,0.0,0.0
2019-06-21,XRPINR,54,54,54,54,0.0,0.0
2019-06-20,XRPINR,54,54,54,54,0.0,0.0
2019-06-19,XRPINR,54,54,54,54,0.0,0.0
2019-06-18,XRPINR,54,54,54,54,0.0,0.0
2019-06-17,XRPINR,54,54,54,54,0.0,0.0
2019-06-16,XRPINR,54,54,54,54,0.0,0.0
2019-06-15,XRPINR,54,54,54,54,0.0,0.0
2019-06-14,XRPINR,54,54,54,54,0.0,0.0
2019-06-13,XRPINR,54,54,54,54,0.0,0.0
2019-06-12,XRPINR,54,54,54,54,0.0,0.0
2019-06-11,XRPINR,54,54,54,54,0.0,0.0
2019-06-10,XRPINR,54,54,54,54,0.0,0.0
2019-06-09,XRPINR,54,54,54,54,0.0,0.0
2019-06-08,XRPINR,54,54,54,54,0.0,0.0
2019-06-07,XRPINR,54,54,54,54,0.0,0.0
2019-06-06,XRPINR,54,54,54,54,0.0,0.0
2019-06-05,XRPINR,54,54,54,54,0.0,0.0
2019-06-04,XRPINR,54,54,54,54,0.0,0.0
2019-06-03,XRPINR,54,54,54,54,0.0,0.0
2019-06-02,XRPINR,54,54,54,54,0.0,0.0
2019-06-01,XRPINR,54,54,54,54,0.0,0.0
2019-05-31,XRPINR,54,54,54,54,0.0,0.0
2019-05-30,XRPINR,54,54,54,54,0.0,0.0
2019-05-29,XRPINR,54,54,54,54,0.0,0.0
2019-05-28,XRPINR,54,54,54,54,0.0,0.0
2019-05-27,XRPINR,54,54,54,54,0.0,0.0
2019-05-26,XRPINR,54,54,54,54,0.0,0.0
2019-05-25,XRPINR,54,54,54,54,0.0,0.0
2019-05-24,XRPINR,54,54,54,54,0.0,0.0
2019-05-23,XRPINR,54,54,54,54,0.0,0.0
2019-05-22,XRPINR,54,54,54,54,0.0,0.0
2019-05-21,XRPINR,54,54,54,54,0.0,0.0
2019-05-20,XRPINR,54,54,54,54,0.0,0.0
2019-05-19,XRPINR,54,54,54,54,0.0,0.0
2019-05-18,XRPINR,54,54,54,54,0.0,0.0
2019-05-17,XRPINR,54,54,54,54,0.0,0.0
2019-05-16,XRPINR,54,54,54,54,0.0,0.0
2019-05-15,XRPINR,54,54,54,54,0.0,0.0
2019-05-14,XRPINR,54,54,54,54,0.0,0.0
2019-05-13,XRPINR,54,54,54,54,0.0,0.0
2019-05-12,XRPINR,54,54,54,54,0.0,0.0
2019-05-11,XRPINR,54,54,54,54,0.0,0.0
2019-05-10,XRPINR,54,54,54,54,0.0,0.0
2019-05-09,XRPINR,54,54,54,54,0.0,0.0
2019-05-08,XRPINR,54,54,54,54,0.0,0.0
2019-05-07,XRPINR,54,54,54,54,0.0,0.0
2019-05-06,XRPINR,54,54,54,54,0.0,0.0
2019-05-05,XRPINR,54,54,54,54,0.0,0.0
2019-05-04,XRPINR,54,54,54,54,0.0,0.0
2019-05-03,XRPINR,54,54,54,54,0.0,0.0
2019-05-02,XRPINR,54,54,54,54,0.0,0.0
2019-05-01,XRPINR,54,54,54,54,0.0,0.0
2019-04-30,XRPINR,54,54,54,54,0.0,0.0
