Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
2019-08-04 08-AM,BTCMXN,205496.99,205500,204515.83,204625.98,0.3,61374.16
2019-08-04 07-AM,BTCMXN,205499.93,205500,204307.74,205496.99,1.747,357638.43
2019-08-04 06-AM,BTCMXN,204828.71,205499.93,203350.07,205499.93,0.9524,194459.27
2019-08-04 05-AM,BTCMXN,204199.93,205878.02,202500.01,204828.71,8.75,1785532.41
2019-08-04 04-AM,BTCMXN,206507.05,207697.39,203500.01,204199.93,13.03,2666158.0
2019-08-04 03-AM,BTCMXN,208200,209439.99,206200,206507.05,4.596,953063.35
2019-08-04 02-AM,BTCMXN,209511.39,209644.99,208101.48,208200,1.981,414134.92
2019-08-04 01-AM,BTCMXN,208307.33,209599.99,208126.5,209511.39,2.643,551766.68
2019-08-04 12-AM,BTCMXN,208590.1,209499.99,207508.09,208307.33,2.171,452259.79
2019-08-03 11-PM,BTCMXN,208760,208763.99,207367.01,208590.1,1.882,390874.41
2019-08-03 10-PM,BTCMXN,209379.75,209379.75,207451.63,208760,3.249,675875.81
2019-08-03 09-PM,BTCMXN,208535.11,209500,207752.63,209379.75,4.9,1023840.22
2019-08-03 08-PM,BTCMXN,208016.56,209499.94,208000.05,208535.11,2.018,421489.53
2019-08-03 07-PM,BTCMXN,208764.94,209500,207751.02,208016.56,9.853,2061214.23
2019-08-03 06-PM,BTCMXN,208115.77,209500,208050.08,208764.94,6.106,1276383.98
2019-08-03 05-PM,BTCMXN,207749.31,209347.07,207740.07,208115.77,4.201,875498.55
2019-08-03 04-PM,BTCMXN,207643.91,209239.93,206200.01,207749.31,3.379,703139.9
2019-08-03 03-PM,BTCMXN,208329.88,208369,206500,207643.91,3.509,728616.21
2019-08-03 02-PM,BTCMXN,208045.54,209000,208029.94,208329.88,1.421,295949.27
2019-08-03 01-PM,BTCMXN,206722.21,209000,206722.21,208045.54,1.343,279765.91
2019-08-03 12-PM,BTCMXN,207101.7,208583.66,206000.86,206722.21,2.183,451103.24
2019-08-03 11-AM,BTCMXN,208799.94,208799.94,207007.67,207101.7,1.914,397667.66
2019-08-03 10-AM,BTCMXN,208000,208799.94,207000.28,208799.94,0.6614,136990.25
2019-08-03 09-AM,BTCMXN,208796.99,208796.99,207000.01,208000,0.3548,73633.82
2019-08-03 08-AM,BTCMXN,208999.93,209347.4,207322.23,208796.99,1.348,279930.46
2019-08-03 07-AM,BTCMXN,207911.05,209476.05,207008.65,208999.93,8.485,1770589.34
2019-08-03 06-AM,BTCMXN,207966.79,208750.05,207000,207911.05,2.433,505221.76
2019-08-03 05-AM,BTCMXN,208150,209000,206240.01,207966.79,4.554,944232.52
2019-08-03 04-AM,BTCMXN,208199.94,208200,207551.01,208150,5.327,1107791.35
2019-08-03 03-AM,BTCMXN,207874.71,208486.99,207870.01,208199.94,7.409,1541725.41
2019-08-03 02-AM,BTCMXN,206749.76,209200.79,205000.01,207874.71,11.5,2386019.3
2019-08-03 01-AM,BTCMXN,203611.29,206799.99,203602.01,206749.76,11.26,2309606.57
2019-08-03 12-AM,BTCMXN,203999,204654.41,203243.1,203611.29,4.605,938898.72
2019-08-02 11-PM,BTCMXN,204436.91,204962.37,202245.35,203999,5.12,1042909.7
2019-08-02 10-PM,BTCMXN,200801,204436.91,200000.01,204436.91,36.3,7383624.98
2019-08-02 09-PM,BTCMXN,199800.48,201997.31,199500,200801,13.08,2618962.97
2019-08-02 08-PM,BTCMXN,201008.79,202049.01,199500,199800.48,4.052,814098.55
2019-08-02 07-PM,BTCMXN,201800,202597.28,200730.25,201008.79,6.318,1273628.78
2019-08-02 06-PM,BTCMXN,202676.55,203000,201200,201800,11.34,2292164.31
2019-08-02 05-PM,BTCMXN,201054,202957.88,200500,202676.55,34.57,6948687.08
2019-08-02 04-PM,BTCMXN,205500.01,207000,201000,201054,20.21,4111280.74
2019-08-02 03-PM,BTCMXN,205000,205700,204281.74,205500.01,6.032,1237020.82
2019-08-02 02-PM,BTCMXN,204000,205000,203000,205000,7.402,1509319.91
2019-08-02 01-PM,BTCMXN,204050.49,205000,203980,204000,6.119,1250848.68
2019-08-02 12-PM,BTCMXN,203500.74,204750,202571.06,204050.49,4.218,858861.25
2019-08-02 11-AM,BTCMXN,204000,204749.94,202578.89,203500.74,6.405,1306904.43
2019-08-02 10-AM,BTCMXN,202060.32,204000,202060.32,204000,0.9209,187507.32
2019-08-02 09-AM,BTCMXN,201800,203489.93,201629.87,202060.32,1.501,304631.88
2019-08-02 08-AM,BTCMXN,203236.68,203536.75,201600.7,201800,0.9141,185160.52
2019-08-02 07-AM,BTCMXN,202000.01,203500,202000.01,203236.68,0.683,138697.55
2019-08-02 06-AM,BTCMXN,201499.93,203566.39,200183.46,202000.01,6.387,1288361.7
2019-08-02 05-AM,BTCMXN,201102,201500,199800,201499.93,6.257,1256821.97
2019-08-02 04-AM,BTCMXN,201000,201110,199589.58,201102,6.391,1278226.15
2019-08-02 03-AM,BTCMXN,200501.02,201500.48,200300.09,201000,3.774,758326.02
2019-08-02 02-AM,BTCMXN,200178.63,201000,200129.23,200501.02,3.87,776255.94
2019-08-02 01-AM,BTCMXN,201799.85,202599.99,200090.01,200178.63,11.75,2365719.45
2019-08-02 12-AM,BTCMXN,200511.06,201915.17,200000.01,201799.85,7.704,1547112.08
2019-08-01 11-PM,BTCMXN,200900.09,202001.01,200391.63,200511.06,4.486,901796.31
2019-08-01 10-PM,BTCMXN,201000,202677.27,200255.67,200900.09,8.292,1670256.63
2019-08-01 09-PM,BTCMXN,202308.37,202494.37,199589.01,201000,14.87,2989047.53
2019-08-01 08-PM,BTCMXN,198883.75,204161.55,198284.7,202308.37,34.25,6926912.79
2019-08-01 07-PM,BTCMXN,197569.99,199100,196450,198883.75,14.17,2809473.01
2019-08-01 06-PM,BTCMXN,194900,197605,194124.26,197569.99,21.48,4212237.41
2019-08-01 05-PM,BTCMXN,193999.53,194900,192666,194900,10.5,2035911.06
2019-08-01 04-PM,BTCMXN,193499.93,194498.99,192501,193999.53,6.827,1322076.85
2019-08-01 03-PM,BTCMXN,193000,193500,191300.08,193499.93,9.518,1835465.86
2019-08-01 02-PM,BTCMXN,194099.93,194099.93,191250.74,193000,10.86,2101139.7
2019-08-01 01-PM,BTCMXN,192995.39,194142.2,192995.39,194099.93,2.582,499763.74
2019-08-01 12-PM,BTCMXN,192000,192999.94,192000,192995.39,0.8437,162481.13
2019-08-01 11-AM,BTCMXN,190676.28,192000,190676.28,192000,0.4577,87711.55
2019-08-01 10-AM,BTCMXN,190916.39,191951.55,190412.01,190676.28,0.6424,122526.6
2019-08-01 09-AM,BTCMXN,191189.43,191829.68,190901,190916.39,0.3215,61623.43
2019-08-01 08-AM,BTCMXN,191099.97,192000,190971.55,191189.43,0.02628,5029.0
2019-08-01 07-AM,BTCMXN,191599.77,192000,190901.14,191099.97,0.403,77126.28
2019-08-01 06-AM,BTCMXN,191756.48,191988.64,190101.01,191599.77,4.547,869571.87
2019-08-01 05-AM,BTCMXN,191160.47,192981.9,191104.71,191756.48,1.569,300564.9
2019-08-01 04-AM,BTCMXN,193470.24,193548.98,191000.31,191160.47,19.52,3738914.09
2019-08-01 03-AM,BTCMXN,193801,193801,191670.01,193470.24,7.133,1378060.9
2019-08-01 02-AM,BTCMXN,193797.28,193801,191670.52,193801,2.68,517767.2
2019-08-01 01-AM,BTCMXN,193996.99,193996.99,191001.62,193797.28,5.578,1076194.25
2019-08-01 12-AM,BTCMXN,193189.9,194427.33,193020.1,193996.99,5.842,1132167.42
2019-07-31 11-PM,BTCMXN,191817.01,193189.9,191749.24,193189.9,3.03,583840.59
2019-07-31 10-PM,BTCMXN,194394.4,194422.74,190787.12,191817.01,14.21,2732723.28
2019-07-31 09-PM,BTCMXN,193499.94,194423.03,192245.77,194394.4,6.601,1278573.79
2019-07-31 08-PM,BTCMXN,193345.76,194430,192103.46,193499.94,10.23,1979517.08
2019-07-31 07-PM,BTCMXN,191149,193789.99,191149,193345.76,12.5,2408322.79
2019-07-31 06-PM,BTCMXN,191867.37,192661.7,190101.11,191149,13.18,2520331.12
2019-07-31 05-PM,BTCMXN,191562.45,192040.94,189794.39,191867.37,10.6,2023511.83
2019-07-31 04-PM,BTCMXN,192661.02,193000,190800,191562.45,14.27,2740407.18
2019-07-31 03-PM,BTCMXN,189732.87,192777,189650,192661.02,7.663,1470258.03
2019-07-31 02-PM,BTCMXN,190000,191499.85,189500.1,189732.87,26.72,5098390.38
2019-07-31 01-PM,BTCMXN,186800,190000,186701,190000,8.906,1683162.45
2019-07-31 12-PM,BTCMXN,185501.34,188400,185501.34,186800,3.214,601367.7
2019-07-31 11-AM,BTCMXN,185930,186926.75,184701.62,185501.34,1.728,321621.06
2019-07-31 10-AM,BTCMXN,185930,186949.94,185930,185930,0.08543,15952.88
2019-07-31 09-AM,BTCMXN,185919.12,186897.86,185919.12,185930,0.04843,9008.77
2019-07-31 08-AM,BTCMXN,186871.73,187069.42,185909.94,185919.12,0.2137,39905.3
2019-07-31 07-AM,BTCMXN,187101.02,187101.02,185909.94,186871.73,1.106,205738.32
2019-07-31 06-AM,BTCMXN,185400,187110.03,184676.91,187101.02,3.675,684168.3
2019-07-31 05-AM,BTCMXN,185379.99,186100,184503.16,185400,8.217,1521341.83
2019-07-31 04-AM,BTCMXN,185500.26,185869.53,184281.65,185379.99,1.227,226967.85
2019-07-31 03-AM,BTCMXN,185200,185886.3,184270,185500.26,2.247,415751.82
2019-07-31 02-AM,BTCMXN,186426.94,186426.94,184204.8,185200,1.435,265637.8
2019-07-31 01-AM,BTCMXN,185900,186429.94,184062.43,186426.94,7.049,1305242.25
2019-07-31 12-AM,BTCMXN,184099,185998.32,182714.18,185900,6.572,1213392.22
2019-07-30 11-PM,BTCMXN,183999.91,184099.88,182715.68,184099,3.258,598672.2
2019-07-30 10-PM,BTCMXN,183003.01,184238.2,182604.57,183999.91,5.953,1092331.8
2019-07-30 09-PM,BTCMXN,183100,184335.89,182500,183003.01,5.211,955155.64
2019-07-30 08-PM,BTCMXN,184324.56,184549.94,182500.02,183100,5.766,1058162.26
2019-07-30 07-PM,BTCMXN,184560,185496.85,182500,184324.56,5.25,967294.84
2019-07-30 06-PM,BTCMXN,183820.3,185599.98,183820,184560,8.405,1553690.33
2019-07-30 05-PM,BTCMXN,184801.71,184999.94,183320,183820.3,8.47,1562051.78
2019-07-30 04-PM,BTCMXN,185920,186908.13,184800.93,184801.71,11.37,2109503.31
2019-07-30 03-PM,BTCMXN,182924.13,187350.66,182900.14,185920,16.87,3126305.44
2019-07-30 02-PM,BTCMXN,182692.94,184005.98,182508.99,182924.13,7.602,1395643.15
2019-07-30 01-PM,BTCMXN,182977.11,183889.99,182160.15,182692.94,4.754,872098.59
2019-07-30 12-PM,BTCMXN,182000,182985.57,181505.01,182977.11,0.7398,134746.98
2019-07-30 11-AM,BTCMXN,181999.93,182000,180512.14,182000,3.127,569149.7
2019-07-30 10-AM,BTCMXN,182000,182000,180502.89,181999.93,0.01022,1851.92
2019-07-30 09-AM,BTCMXN,180780.18,182000,180339.4,182000,3.809,692915.5
2019-07-30 08-AM,BTCMXN,181898.93,181898.94,180206.99,180780.18,0.03111,5648.12
2019-07-30 07-AM,BTCMXN,181896,181898.93,180005.49,181898.93,0.1222,22062.62
2019-07-30 06-AM,BTCMXN,181631.29,181899,180602.6,181896,0.7032,127333.21
2019-07-30 05-AM,BTCMXN,180136.54,181898.99,179800.01,181631.29,3.62,654451.15
2019-07-30 04-AM,BTCMXN,179588.16,181884.71,179581.6,180136.54,3.88,702206.5
2019-07-30 03-AM,BTCMXN,180001.01,182355.35,179500.01,179588.16,5.298,957748.43
2019-07-30 02-AM,BTCMXN,181800,182417.64,180000,180001.01,4.407,798473.28
2019-07-30 01-AM,BTCMXN,183356.15,183356.15,181527.47,181800,2.87,523786.79
2019-07-30 12-AM,BTCMXN,181600,183394.99,181527.38,183356.15,6.293,1146688.7
2019-07-29 11-PM,BTCMXN,181803.95,183299.99,181207.81,181600,11.18,2038318.93
2019-07-29 10-PM,BTCMXN,181652.05,182811.46,181220.01,181803.95,5.145,936468.0
2019-07-29 09-PM,BTCMXN,181996.24,183699.93,181500.01,181652.05,5.869,1071967.78
2019-07-29 08-PM,BTCMXN,181632.5,183699.99,181200.91,181996.24,10.21,1859816.29
