Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZRC,Volume BTC
2019-07-03,ZRCBTC,0.0002805,0.0002805,0.0002805,0.0002805,0.0,0.0
2019-07-02,ZRCBTC,0.0002622,0.00034,0.0002622,0.0002805,374.71,0.1086
2019-07-01,ZRCBTC,0.0002622,0.0002622,0.0002622,0.0002622,0.0,0.0
2019-06-30,ZRCBTC,0.0001908,0.0002622,0.0001908,0.0002622,147.75,0.03855
2019-06-29,ZRCBTC,0.0002209,0.0002209,0.0001908,0.0001908,1.822,0.0003477
2019-06-28,ZRCBTC,0.0002209,0.0002209,0.0002209,0.0002209,0.0,0.0
2019-06-27,ZRCBTC,0.0002209,0.0002209,0.0002209,0.0002209,0.0,0.0
2019-06-26,ZRCBTC,0.0002609,0.0002609,0.0002209,0.0002209,12.25,0.002706
2019-06-25,ZRCBTC,0.0002609,0.0002609,0.0002609,0.0002609,0.0,0.0
2019-06-24,ZRCBTC,0.0002147,0.0002609,0.0002147,0.0002609,24.59,0.006171
2019-06-23,ZRCBTC,0.0002164,0.0002164,0.0002147,0.0002147,80.76,0.01734
2019-06-22,ZRCBTC,0.00027,0.00027,0.0002164,0.0002164,4.4,0.0009552
2019-06-21,ZRCBTC,0.00021,0.00027,0.00021,0.00027,17876.0,4.827
2019-06-20,ZRCBTC,0.00021,0.00021,0.00021,0.00021,0.0,0.0
2019-06-19,ZRCBTC,0.00021,0.00021,0.00021,0.00021,0.0,0.0
2019-06-18,ZRCBTC,0.0002415,0.0002415,0.00021,0.00021,278.92,0.05859
2019-06-17,ZRCBTC,0.0002415,0.0002415,0.0002415,0.0002415,0.0,0.0
2019-06-16,ZRCBTC,0.00026,0.00026,0.0002409,0.0002415,22.59,0.005452
2019-06-15,ZRCBTC,0.00023,0.00026,0.00023,0.00026,10000.0,2.6
2019-06-14,ZRCBTC,0.00023,0.00023,0.00023,0.00023,0.0,0.0
2019-06-13,ZRCBTC,0.00025,0.00025,0.0002296,0.00023,311.36,0.07162
2019-06-12,ZRCBTC,0.00025,0.000253,0.00025,0.00025,3660.34,0.9152
2019-06-11,ZRCBTC,0.0002522,0.0002522,0.00025,0.00025,150.0,0.0375
2019-06-10,ZRCBTC,0.00025,0.0002522,0.00025,0.0002522,17.3,0.004362
2019-06-09,ZRCBTC,0.00025,0.00025,0.00025,0.00025,100.0,0.025
2019-06-08,ZRCBTC,0.00025,0.00025,0.00025,0.00025,0.0,0.0
2019-06-07,ZRCBTC,0.00025,0.00025,0.00025,0.00025,33.37,0.008342
2019-06-06,ZRCBTC,0.0002522,0.0002522,0.00025,0.00025,35.28,0.008819
2019-06-05,ZRCBTC,0.0002522,0.0002522,0.0002522,0.0002522,40.34,0.01017
