Created on 08-11-2019,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1565481600.0,2019-08-11 00:00:00,EOSAUD,6.2118,6.2118,6.2118,6.2118,0.0
1565478000.0,2019-08-10 23:00:00,EOSAUD,6.2118,6.2118,6.2118,6.2118,0.0
1565474400.0,2019-08-10 22:00:00,EOSAUD,6.2118,6.2118,6.2118,6.2118,0.0
1565470800.0,2019-08-10 21:00:00,EOSAUD,5.3606,6.6537,5.2225,6.2118,304.5988
1565467200.0,2019-08-10 20:00:00,EOSAUD,5.4801,6.8028,5.1253,6.2491,293.1471
1565463600.0,2019-08-10 19:00:00,EOSAUD,5.6889,6.8306,5.4203,5.4801,269.3427
1565460000.0,2019-08-10 18:00:00,EOSAUD,5.8631,6.3964,5.4624,5.6889,237.297
1565456400.0,2019-08-10 17:00:00,EOSAUD,5.545,6.8328,5.1238,5.8631,348.1098
1565452800.0,2019-08-10 16:00:00,EOSAUD,5.7002,6.8447,5.2069,5.6591,322.1004
1565449200.0,2019-08-10 15:00:00,EOSAUD,5.4664,6.8359,5.1236,6.7738,308.024
1565445600.0,2019-08-10 14:00:00,EOSAUD,5.386,6.8415,5.1045,5.4664,254.9811
1565442000.0,2019-08-10 13:00:00,EOSAUD,5.1448,6.8433,5.1046,5.386,348.2818
1565438400.0,2019-08-10 12:00:00,EOSAUD,6.5602,6.7864,5.1448,5.1448,279.9116
1565434800.0,2019-08-10 11:00:00,EOSAUD,6.2086,6.3547,5.2493,5.4976,296.0307
1565431200.0,2019-08-10 10:00:00,EOSAUD,5.9115,6.7519,5.8339,5.9206,339.1504
1565427600.0,2019-08-10 09:00:00,EOSAUD,5.8962,5.9288,5.8351,5.9115,291.442
1565424000.0,2019-08-10 08:00:00,EOSAUD,5.8504,5.9252,5.8292,5.8962,240.6128
1565420400.0,2019-08-10 07:00:00,EOSAUD,5.8472,5.9004,5.8097,5.846,214.8284
1565416800.0,2019-08-10 06:00:00,EOSAUD,5.8514,5.9152,5.8175,5.8472,261.0867
1565413200.0,2019-08-10 05:00:00,EOSAUD,5.9392,5.9392,5.8164,5.8514,281.6272
1565409600.0,2019-08-10 04:00:00,EOSAUD,5.8594,5.9457,5.8553,5.9392,242.5693
1565406000.0,2019-08-10 03:00:00,EOSAUD,5.8765,5.9303,5.7281,5.9247,177.4342
1565402400.0,2019-08-10 02:00:00,EOSAUD,5.853,6.02,5.8476,5.8765,196.2084
1565398800.0,2019-08-10 01:00:00,EOSAUD,5.9401,5.9666,5.853,5.853,219.1112
1565395200.0,2019-08-10 00:00:00,EOSAUD,5.7402,6.6543,5.7051,5.9401,327.2948
1565391600.0,2019-08-09 23:00:00,EOSAUD,5.6741,5.7655,5.6741,5.7402,198.498
1565388000.0,2019-08-09 22:00:00,EOSAUD,5.7966,6.0321,5.6842,5.7445,237.219
1565384400.0,2019-08-09 21:00:00,EOSAUD,5.7174,5.8026,5.6371,5.7966,241.9261
1565380800.0,2019-08-09 20:00:00,EOSAUD,5.7729,5.7969,5.7174,5.7174,194.3377
1565377200.0,2019-08-09 19:00:00,EOSAUD,5.6729,6.4684,5.6082,5.7729,271.9056
1565373600.0,2019-08-09 18:00:00,EOSAUD,5.677,5.7548,5.633,5.6729,246.9295
1565370000.0,2019-08-09 17:00:00,EOSAUD,5.7863,5.7863,5.6547,5.677,325.9144
1565366400.0,2019-08-09 16:00:00,EOSAUD,5.6681,6.2214,5.6681,5.7863,204.3216
1565362800.0,2019-08-09 15:00:00,EOSAUD,5.8002,5.8002,5.628,5.6681,201.3805
1565359200.0,2019-08-09 14:00:00,EOSAUD,5.7962,6.5699,5.7136,5.7867,327.5629
1565355600.0,2019-08-09 13:00:00,EOSAUD,5.7407,5.8983,5.7189,5.7962,240.5248
1565352000.0,2019-08-09 12:00:00,EOSAUD,5.7461,5.7733,5.6378,5.7627,294.3564
1565348400.0,2019-08-09 11:00:00,EOSAUD,5.7101,5.7753,5.6999,5.7575,232.2273
1565344800.0,2019-08-09 10:00:00,EOSAUD,5.7186,5.7945,5.6801,5.7101,220.0742
1565341200.0,2019-08-09 09:00:00,EOSAUD,5.9833,6.0488,5.6873,5.7186,898.9737
1565337600.0,2019-08-09 08:00:00,EOSAUD,6.0144,6.0987,5.9666,5.9833,315.5027
1565334000.0,2019-08-09 07:00:00,EOSAUD,6.0605,6.1717,5.9528,5.986,332.9958
1565330400.0,2019-08-09 06:00:00,EOSAUD,6.0267,6.1033,6.0083,6.0083,254.4246
