Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-07-03 10-AM,BTCJPY,1215205,1230560,1212640,1222675,56.03,68576715.16
2019-07-03 09-AM,BTCJPY,1190285,1215205,1180900,1215205,81.63,97557139.12
2019-07-03 08-AM,BTCJPY,1217505,1225005,1190000,1190285,76.43,92409269.46
2019-07-03 07-AM,BTCJPY,1238000,1240005,1215000,1217505,50.94,62606256.72
2019-07-03 06-AM,BTCJPY,1238435,1244000,1225555,1238000,63.97,79066116.91
2019-07-03 05-AM,BTCJPY,1216025,1248100,1214575,1238435,84.71,104761084.21
2019-07-03 04-AM,BTCJPY,1220610,1234000,1213200,1216025,65.99,80657254.64
2019-07-03 03-AM,BTCJPY,1205005,1227000,1200000,1220610,84.26,102252344.53
2019-07-03 02-AM,BTCJPY,1227560,1227560,1205000,1205005,126.27,153471699.04
2019-07-03 01-AM,BTCJPY,1214420,1234020,1212205,1227560,119.75,146316772.21
2019-07-03 12-AM,BTCJPY,1172300,1217975,1172300,1214420,133.81,160430626.69
2019-07-02 11-PM,BTCJPY,1170000,1174005,1158275,1172300,63.5,73959768.22
2019-07-02 10-PM,BTCJPY,1157305,1175470,1155840,1170000,48.8,56973013.24
2019-07-02 09-PM,BTCJPY,1161000,1161980,1147790,1157305,106.5,123154549.06
2019-07-02 08-PM,BTCJPY,1167480,1183000,1161000,1161000,69.42,81604085.73
2019-07-02 07-PM,BTCJPY,1156980,1175340,1153025,1167480,81.37,95057078.08
2019-07-02 06-PM,BTCJPY,1160220,1160935,1144560,1156980,45.95,52900166.97
2019-07-02 05-PM,BTCJPY,1133380,1163450,1133380,1160220,88.01,101236977.61
2019-07-02 04-PM,BTCJPY,1151830,1151830,1123480,1133380,73.15,83201056.87
2019-07-02 03-PM,BTCJPY,1144080,1152000,1127110,1151830,108.09,122959785.48
2019-07-02 02-PM,BTCJPY,1080030,1144080,1078040,1144080,109.67,121824327.57
2019-07-02 01-PM,BTCJPY,1087950,1097540,1069855,1080030,118.85,128607128.45
2019-07-02 12-PM,BTCJPY,1083770,1105005,1076975,1087950,114.99,125946323.76
2019-07-02 11-AM,BTCJPY,1089990,1106845,1050045,1083770,129.66,139321681.21
2019-07-02 10-AM,BTCJPY,1104045,1111385,1086455,1089990,68.78,75462794.26
2019-07-02 09-AM,BTCJPY,1108520,1123220,1097960,1104045,118.89,132161598.38
2019-07-02 08-AM,BTCJPY,1069000,1122220,1065000,1108520,137.63,150654016.64
2019-07-02 07-AM,BTCJPY,1062920,1077255,1062700,1069000,134.03,143653645.7
2019-07-02 06-AM,BTCJPY,1065575,1073000,1056000,1062920,114.48,121995710.54
2019-07-02 05-AM,BTCJPY,1077910,1082000,1051995,1065575,134.55,143603646.86
