Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume EUR
2019-07-03 10-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 09-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 08-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 07-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 06-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 05-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 04-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 03-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 02-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 01-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-03 12-AM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-02 11-PM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-02 10-PM,BCHEUR,358.79,358.79,358.79,358.79,0.0,0.0
2019-07-02 09-PM,BCHEUR,356.36,358.79,353.43,358.79,0.1717,61.46
2019-07-02 08-PM,BCHEUR,356.45,356.45,356.36,356.36,0.2968,105.77
2019-07-02 07-PM,BCHEUR,356.45,356.45,356.45,356.45,0.0,0.0
2019-07-02 06-PM,BCHEUR,348.67,356.45,348.67,356.45,1.71,609.64
2019-07-02 05-PM,BCHEUR,348.67,348.67,348.67,348.67,0.0,0.0
2019-07-02 04-PM,BCHEUR,348.67,348.67,348.67,348.67,0.0,0.0
2019-07-02 03-PM,BCHEUR,348.67,348.67,348.67,348.67,0.0,0.0
2019-07-02 02-PM,BCHEUR,348.67,348.67,348.67,348.67,0.0,0.0
2019-07-02 01-PM,BCHEUR,348.67,348.67,348.67,348.67,0.0,0.0
2019-07-02 12-PM,BCHEUR,348.67,348.67,348.67,348.67,0.0,0.0
2019-07-02 11-AM,BCHEUR,352.52,352.52,345.92,348.67,2.564,889.94
2019-07-02 10-AM,BCHEUR,352.52,352.52,352.52,352.52,0.0,0.0
2019-07-02 09-AM,BCHEUR,352.52,352.52,352.52,352.52,0.0,0.0
2019-07-02 08-AM,BCHEUR,351,352.52,351,352.52,0.5619,198.09
2019-07-02 07-AM,BCHEUR,364.28,364.28,351,351,0.01427,5.01
2019-07-02 06-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-02 05-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-02 04-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-02 03-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-02 02-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-02 01-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-02 12-AM,BCHEUR,364.28,364.28,364.28,364.28,0.0,0.0
2019-07-01 11-PM,BCHEUR,351.29,364.28,351.29,364.28,5.0,1821.4
2019-07-01 10-PM,BCHEUR,351.29,351.29,351.29,351.29,0.0,0.0
2019-07-01 09-PM,BCHEUR,351.29,351.29,351.29,351.29,0.0,0.0
2019-07-01 08-PM,BCHEUR,351.29,351.29,351.29,351.29,0.0,0.0
2019-07-01 07-PM,BCHEUR,350.73,351.66,350.73,351.29,0.6245,219.39
2019-07-01 06-PM,BCHEUR,350.73,350.73,350.73,350.73,0.0,0.0
2019-07-01 05-PM,BCHEUR,350.73,350.73,350.73,350.73,0.0,0.0
2019-07-01 04-PM,BCHEUR,349.36,353.98,349.36,350.73,5.421,1902.39
2019-07-01 03-PM,BCHEUR,349.36,349.36,349.36,349.36,0.0,0.0
2019-07-01 02-PM,BCHEUR,348.78,349.36,348.78,349.36,0.05587,19.52
2019-07-01 01-PM,BCHEUR,348.78,348.78,348.78,348.78,0.0,0.0
2019-07-01 12-PM,BCHEUR,358.98,360.85,348.51,348.78,1.737,612.67
2019-07-01 11-AM,BCHEUR,358.98,358.98,358.98,358.98,0.0,0.0
2019-07-01 10-AM,BCHEUR,361.88,361.88,358.98,358.98,0.2691,96.67
2019-07-01 09-AM,BCHEUR,361.88,361.88,361.88,361.88,0.0,0.0
2019-07-01 08-AM,BCHEUR,359.77,361.88,359.77,361.88,0.2497,90.38
2019-07-01 07-AM,BCHEUR,359.77,359.77,359.77,359.77,0.0,0.0
2019-07-01 06-AM,BCHEUR,349.71,359.77,349.71,359.77,0.51,183.48
2019-07-01 05-AM,BCHEUR,349.71,349.71,349.71,349.71,0.0,0.0
2019-07-01 04-AM,BCHEUR,349.71,349.71,349.71,349.71,0.0,0.0
2019-07-01 03-AM,BCHEUR,349.71,349.71,349.71,349.71,0.0,0.0
2019-07-01 02-AM,BCHEUR,349.71,349.71,349.71,349.71,0.0,0.0
2019-07-01 01-AM,BCHEUR,349.71,349.71,349.71,349.71,0.0,0.0
2019-07-01 12-AM,BCHEUR,349.71,349.71,349.71,349.71,0.0,0.0
2019-06-30 11-PM,BCHEUR,356.98,356.98,349.71,349.71,6.436,2261.76
2019-06-30 10-PM,BCHEUR,356.98,356.98,356.98,356.98,0.0,0.0
2019-06-30 09-PM,BCHEUR,356.98,356.98,356.98,356.98,0.0,0.0
2019-06-30 08-PM,BCHEUR,356.98,356.98,356.98,356.98,0.0,0.0
2019-06-30 07-PM,BCHEUR,356.98,356.98,356.98,356.98,0.0,0.0
2019-06-30 06-PM,BCHEUR,356.98,356.98,356.98,356.98,0.0,0.0
2019-06-30 05-PM,BCHEUR,356.98,356.98,356.98,356.98,0.0,0.0
2019-06-30 04-PM,BCHEUR,362.97,362.97,356.98,356.98,0.06395,22.83
2019-06-30 03-PM,BCHEUR,362.97,362.97,362.97,362.97,0.0,0.0
2019-06-30 02-PM,BCHEUR,373.19,373.19,362.97,362.97,0.6755,245.94
2019-06-30 01-PM,BCHEUR,373.19,373.19,373.19,373.19,0.0,0.0
2019-06-30 12-PM,BCHEUR,373.19,373.19,373.19,373.19,0.0,0.0
2019-06-30 11-AM,BCHEUR,373.19,373.19,373.19,373.19,0.0,0.0
2019-06-30 10-AM,BCHEUR,394,394,373.19,373.19,0.05661,21.13
2019-06-30 09-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 08-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 07-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 06-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 05-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 04-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 03-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 02-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 01-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-30 12-AM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-29 11-PM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-29 10-PM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-29 09-PM,BCHEUR,394,394,394,394,0.0,0.0
2019-06-29 08-PM,BCHEUR,381.2,394,381.2,394,0.1483,58.44
2019-06-29 07-PM,BCHEUR,381.2,381.2,381.2,381.2,0.0,0.0
2019-06-29 06-PM,BCHEUR,381.2,381.2,381.2,381.2,0.0,0.0
2019-06-29 05-PM,BCHEUR,381.2,381.2,381.2,381.2,0.0,0.0
2019-06-29 04-PM,BCHEUR,381.2,381.2,381.2,381.2,0.0,0.0
2019-06-29 03-PM,BCHEUR,381.2,381.2,381.2,381.2,0.0,0.0
2019-06-29 02-PM,BCHEUR,381.2,381.2,381.2,381.2,0.0,0.0
