Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
2018-06-08 11-AM,XVGUSD,0.03779,0.03779,0.03717,0.03717,11000.0,409.2
2018-06-08 10-AM,XVGUSD,0.03783,0.03783,0.03761,0.03779,13000.0,489.72
2018-06-08 09-AM,XVGUSD,0.03821,0.03821,0.03783,0.03783,1000.0,37.83
2018-06-08 08-AM,XVGUSD,0.0377,0.03821,0.03741,0.03821,183000.0,6957.65
2018-06-08 07-AM,XVGUSD,0.03777,0.03777,0.03765,0.0377,11000.0,414.65
2018-06-08 06-AM,XVGUSD,0.03786,0.03798,0.03749,0.03777,49000.0,1851.08
2018-06-08 05-AM,XVGUSD,0.03787,0.03809,0.03766,0.03786,121000.0,4592.88
2018-06-08 04-AM,XVGUSD,0.03759,0.03787,0.03759,0.03787,1000.0,37.87
2018-06-08 03-AM,XVGUSD,0.03759,0.03759,0.03759,0.03759,16000.0,601.47
2018-06-08 02-AM,XVGUSD,0.03823,0.03823,0.03759,0.03759,12000.0,451.03
2018-06-08 01-AM,XVGUSD,0.03823,0.03823,0.03823,0.03823,0.0,0.0
2018-06-08 12-AM,XVGUSD,0.03823,0.03823,0.03823,0.03823,0.0,0.0
2018-06-07 11-PM,XVGUSD,0.03814,0.03823,0.03814,0.03823,1000.0,38.23
2018-06-07 10-PM,XVGUSD,0.03817,0.03836,0.03814,0.03814,7000.0,268.11
2018-06-07 09-PM,XVGUSD,0.03817,0.03817,0.03817,0.03817,0.0,0.0
2018-06-07 08-PM,XVGUSD,0.03882,0.03882,0.03817,0.03817,4000.0,152.67
2018-06-07 07-PM,XVGUSD,0.0387,0.03886,0.03844,0.03882,98000.0,3787.26
2018-06-07 06-PM,XVGUSD,0.03876,0.03876,0.0387,0.0387,1000.0,38.7
2018-06-07 05-PM,XVGUSD,0.03878,0.03878,0.03876,0.03876,1000.0,38.76
2018-06-07 04-PM,XVGUSD,0.03843,0.03878,0.03843,0.03878,2000.0,77.34
2018-06-07 03-PM,XVGUSD,0.0387,0.0387,0.03843,0.03843,1000.0,38.43
2018-06-07 02-PM,XVGUSD,0.03879,0.03879,0.0387,0.0387,2000.0,77.39
2018-06-07 01-PM,XVGUSD,0.03888,0.03888,0.03879,0.03879,19000.0,737.07
2018-06-07 12-PM,XVGUSD,0.03888,0.03888,0.03888,0.03888,0.0,0.0
2018-06-07 11-AM,XVGUSD,0.03878,0.03888,0.03878,0.03888,1000.0,38.88
2018-06-07 10-AM,XVGUSD,0.03866,0.03878,0.03866,0.03878,4000.0,155.12
2018-06-07 09-AM,XVGUSD,0.03895,0.03895,0.03866,0.03866,16000.0,618.79
2018-06-07 08-AM,XVGUSD,0.03895,0.03895,0.03895,0.03895,0.0,0.0
2018-06-07 07-AM,XVGUSD,0.03895,0.03895,0.03895,0.03895,0.0,0.0
2018-06-07 06-AM,XVGUSD,0.03895,0.03895,0.03895,0.03895,0.0,0.0
2018-06-07 05-AM,XVGUSD,0.03893,0.03895,0.03893,0.03895,1000.0,38.95
2018-06-07 04-AM,XVGUSD,0.03941,0.03941,0.03893,0.03893,37000.0,1448.43
2018-06-07 03-AM,XVGUSD,0.03938,0.03941,0.03938,0.03941,1000.0,39.41
2018-06-07 02-AM,XVGUSD,0.03937,0.03938,0.03923,0.03938,6000.0,235.75
2018-06-07 01-AM,XVGUSD,0.03881,0.0396,0.03881,0.03937,89000.0,3517.08
2018-06-07 12-AM,XVGUSD,0.03881,0.03881,0.03881,0.03881,0.0,0.0
2018-06-06 11-PM,XVGUSD,0.039,0.039,0.03881,0.03881,5000.0,194.08
2018-06-06 10-PM,XVGUSD,0.03884,0.03906,0.03884,0.039,26000.0,1014.0
2018-06-06 09-PM,XVGUSD,0.03814,0.03901,0.03814,0.03884,30000.0,1168.0
2018-06-06 08-PM,XVGUSD,0.03828,0.03828,0.03814,0.03814,1000.0,38.14
2018-06-06 07-PM,XVGUSD,0.03792,0.03828,0.03792,0.03828,8000.0,306.25
2018-06-06 06-PM,XVGUSD,0.03818,0.03818,0.03792,0.03792,14000.0,534.26
2018-06-06 05-PM,XVGUSD,0.0381,0.03837,0.03809,0.03818,44000.0,1679.46
2018-06-06 04-PM,XVGUSD,0.0392,0.0392,0.0381,0.0381,122000.0,4718.05
2018-06-06 03-PM,XVGUSD,0.03939,0.03939,0.03905,0.0392,11000.0,429.83
2018-06-06 02-PM,XVGUSD,0.03902,0.0395,0.039,0.03939,35000.0,1381.12
2018-06-06 01-PM,XVGUSD,0.03931,0.03936,0.03902,0.03902,15000.0,587.47
2018-06-06 12-PM,XVGUSD,0.03871,0.03931,0.03871,0.03931,1000.0,39.31
2018-06-06 11-AM,XVGUSD,0.03871,0.03871,0.03871,0.03871,0.0,0.0
2018-06-06 10-AM,XVGUSD,0.03884,0.0389,0.03871,0.03871,9000.0,349.33
2018-06-06 09-AM,XVGUSD,0.039,0.039,0.03884,0.03884,26000.0,1010.92
2018-06-06 08-AM,XVGUSD,0.0393,0.0393,0.039,0.039,4000.0,156.0
2018-06-06 07-AM,XVGUSD,0.03914,0.0393,0.03914,0.0393,22000.0,864.6
2018-06-06 06-AM,XVGUSD,0.039,0.03914,0.039,0.03914,20000.0,782.11
2018-06-06 05-AM,XVGUSD,0.03956,0.03956,0.039,0.039,2000.0,78.03
2018-06-06 04-AM,XVGUSD,0.03944,0.03956,0.03944,0.03956,1000.0,39.56
2018-06-06 03-AM,XVGUSD,0.03933,0.03944,0.03933,0.03944,14000.0,552.08
2018-06-06 02-AM,XVGUSD,0.03915,0.03933,0.0391,0.03933,42000.0,1648.29
2018-06-06 01-AM,XVGUSD,0.0396,0.0396,0.03915,0.03915,28000.0,1101.71
2018-06-06 12-AM,XVGUSD,0.0396,0.0396,0.0396,0.0396,1000.0,39.6
2018-06-05 11-PM,XVGUSD,0.0398,0.0398,0.0396,0.0396,30000.0,1188.06
2018-06-05 10-PM,XVGUSD,0.0396,0.0398,0.0396,0.0398,3000.0,119.41
2018-06-05 09-PM,XVGUSD,0.04012,0.04024,0.0396,0.0396,5000.0,199.28
2018-06-05 08-PM,XVGUSD,0.04043,0.04043,0.03985,0.04012,46000.0,1836.99
2018-06-05 07-PM,XVGUSD,0.04043,0.04043,0.04043,0.04043,0.0,0.0
2018-06-05 06-PM,XVGUSD,0.04022,0.04043,0.04004,0.04043,25000.0,1005.23
2018-06-05 05-PM,XVGUSD,0.03952,0.04022,0.03952,0.04022,18000.0,716.71
2018-06-05 04-PM,XVGUSD,0.03886,0.03952,0.03886,0.03952,47000.0,1857.68
2018-06-05 03-PM,XVGUSD,0.03853,0.03889,0.03833,0.03886,11000.0,426.44
2018-06-05 02-PM,XVGUSD,0.03853,0.03853,0.03853,0.03853,0.0,0.0
2018-06-05 01-PM,XVGUSD,0.03853,0.03853,0.03853,0.03853,0.0,0.0
2018-06-05 12-PM,XVGUSD,0.0383,0.03856,0.03819,0.03853,5000.0,191.73
2018-06-05 11-AM,XVGUSD,0.0385,0.0385,0.0383,0.0383,1000.0,38.3
2018-06-05 10-AM,XVGUSD,0.03903,0.03903,0.03824,0.0385,4000.0,153.75
2018-06-05 09-AM,XVGUSD,0.03903,0.03903,0.03903,0.03903,0.0,0.0
2018-06-05 08-AM,XVGUSD,0.0384,0.03933,0.0384,0.03903,68000.0,2662.14
2018-06-05 07-AM,XVGUSD,0.03879,0.03879,0.0384,0.0384,9000.0,345.63
2018-06-05 06-AM,XVGUSD,0.03832,0.03936,0.03832,0.03879,6000.0,233.35
2018-06-05 05-AM,XVGUSD,0.03799,0.03832,0.03799,0.03832,6000.0,229.76
2018-06-05 04-AM,XVGUSD,0.03809,0.03824,0.03781,0.03799,75000.0,2860.85
2018-06-05 03-AM,XVGUSD,0.0387,0.0387,0.038,0.03809,47000.0,1788.17
2018-06-05 02-AM,XVGUSD,0.03957,0.03957,0.0387,0.0387,50000.0,1936.19
2018-06-05 01-AM,XVGUSD,0.03937,0.03957,0.03937,0.03957,37000.0,1462.82
2018-06-05 12-AM,XVGUSD,0.03937,0.03937,0.03937,0.03937,0.0,0.0
2018-06-04 11-PM,XVGUSD,0.03977,0.03978,0.03937,0.03937,68000.0,2696.43
2018-06-04 10-PM,XVGUSD,0.03977,0.03977,0.03977,0.03977,0.0,0.0
2018-06-04 09-PM,XVGUSD,0.03941,0.03977,0.03941,0.03977,47000.0,1869.05
2018-06-04 08-PM,XVGUSD,0.03941,0.03941,0.03941,0.03941,0.0,0.0
2018-06-04 07-PM,XVGUSD,0.0397,0.0397,0.03941,0.03941,11000.0,436.14
2018-06-04 06-PM,XVGUSD,0.0391,0.0397,0.0391,0.0397,5000.0,198.52
2018-06-04 05-PM,XVGUSD,0.03948,0.03948,0.039,0.0391,11000.0,430.97
2018-06-04 04-PM,XVGUSD,0.03948,0.03948,0.03948,0.03948,0.0,0.0
2018-06-04 03-PM,XVGUSD,0.03925,0.03948,0.03925,0.03948,12000.0,472.91
2018-06-04 02-PM,XVGUSD,0.03955,0.03955,0.039,0.03925,21000.0,822.06
2018-06-04 01-PM,XVGUSD,0.03967,0.03967,0.03936,0.03955,49000.0,1933.91
2018-06-04 12-PM,XVGUSD,0.03943,0.03967,0.03939,0.03967,23000.0,906.29
2018-06-04 11-AM,XVGUSD,0.04035,0.04035,0.03943,0.03943,30000.0,1190.49
2018-06-04 10-AM,XVGUSD,0.04006,0.04035,0.04006,0.04035,2000.0,80.7
2018-06-04 09-AM,XVGUSD,0.04068,0.04068,0.03984,0.04006,31000.0,1238.21
2018-06-04 08-AM,XVGUSD,0.04068,0.04068,0.04068,0.04068,0.0,0.0
2018-06-04 07-AM,XVGUSD,0.04038,0.04068,0.04038,0.04068,31000.0,1259.85
2018-06-04 06-AM,XVGUSD,0.04168,0.04168,0.04012,0.04038,59000.0,2402.42
2018-06-04 05-AM,XVGUSD,0.04168,0.04168,0.04168,0.04168,0.0,0.0
2018-06-04 04-AM,XVGUSD,0.04195,0.04195,0.0415,0.04168,42000.0,1753.45
2018-06-04 03-AM,XVGUSD,0.04279,0.04279,0.04195,0.04195,9000.0,378.0
2018-06-04 02-AM,XVGUSD,0.04279,0.04279,0.04279,0.04279,0.0,0.0
2018-06-04 01-AM,XVGUSD,0.04279,0.04279,0.04279,0.04279,0.0,0.0
2018-06-04 12-AM,XVGUSD,0.04274,0.04279,0.04274,0.04279,10000.0,427.84
2018-06-03 11-PM,XVGUSD,0.04274,0.04274,0.04274,0.04274,0.0,0.0
2018-06-03 10-PM,XVGUSD,0.04202,0.04274,0.04202,0.04274,1000.0,42.74
2018-06-03 09-PM,XVGUSD,0.04228,0.04228,0.04202,0.04202,19000.0,801.09
2018-06-03 08-PM,XVGUSD,0.04209,0.04228,0.04185,0.04228,8000.0,335.94
2018-06-03 07-PM,XVGUSD,0.04218,0.04271,0.042,0.04209,158000.0,6726.33
