Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume GNT,Volume ETH
2019-07-03,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-07-02,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-07-01,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-30,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-29,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-28,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-27,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-26,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-25,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-24,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-23,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-22,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-21,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-20,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-19,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-18,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-17,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-16,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-15,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-14,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-13,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
2019-06-12,GNTETH,0.0005544,0.0005544,0.0005544,0.0005544,0.0,0.0
