Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume SGD
2019-07-03,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-07-02,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-07-01,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-30,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-29,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-28,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-27,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-26,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-25,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-24,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-23,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-22,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-21,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-20,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-19,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-18,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-17,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-16,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-15,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-14,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-13,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-12,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-11,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-10,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-09,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-08,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-07,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-06,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-05,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-04,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-03,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-02,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-06-01,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-31,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-30,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-29,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-28,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-27,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-26,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-25,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-24,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-23,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-22,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-21,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-20,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-19,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-18,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-17,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-16,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-15,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-14,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-13,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-12,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-11,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-10,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-09,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-08,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-07,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-06,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-05,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-04,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
2019-05-03,BCHSGD,202.95,202.95,202.95,202.95,0.0,0.0
