Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-08-19 08-PM,ZECUSD,143.2,143.2,143.2,143.2,0.0,0.0
2018-08-19 07-PM,ZECUSD,145.56,145.56,143.2,143.2,0.02,2.86
2018-08-19 06-PM,ZECUSD,143.16,145.56,143.16,145.56,4.76,685.86
2018-08-19 05-PM,ZECUSD,142.95,145.14,142.95,143.16,0.1036,14.9
2018-08-19 04-PM,ZECUSD,142.95,142.95,142.95,142.95,0.0,0.0
2018-08-19 03-PM,ZECUSD,144.03,144.83,142.95,142.95,0.06398,9.24
2018-08-19 02-PM,ZECUSD,142.51,144.03,142.51,144.03,0.05646,8.13
2018-08-19 01-PM,ZECUSD,146.94,146.94,142.51,142.51,0.02439,3.48
2018-08-19 12-PM,ZECUSD,142.16,146.94,142.16,146.94,0.2676,39.14
2018-08-19 11-AM,ZECUSD,142.16,142.16,142.16,142.16,0.0,0.0
2018-08-19 10-AM,ZECUSD,141.99,142.16,141.99,142.16,0.02801,3.98
2018-08-19 09-AM,ZECUSD,142.95,142.95,141.99,141.99,0.05551,7.89
2018-08-19 08-AM,ZECUSD,141.83,142.95,141.83,142.95,0.08873,12.68
2018-08-19 07-AM,ZECUSD,142,142,141.83,141.83,0.1603,22.74
2018-08-19 06-AM,ZECUSD,142.27,142.27,142,142,0.004225,0.6
2018-08-19 05-AM,ZECUSD,143.27,143.27,142.27,142.27,0.9042,128.64
2018-08-19 04-AM,ZECUSD,144.27,144.27,143.27,143.27,0.02326,3.34
2018-08-19 03-AM,ZECUSD,144.27,144.27,144.27,144.27,0.0,0.0
2018-08-19 02-AM,ZECUSD,145.27,145.27,144.27,144.27,0.01029,1.49
2018-08-19 01-AM,ZECUSD,147.27,147.27,145.27,145.27,0.08029,11.67
2018-08-19 12-AM,ZECUSD,145.89,147.27,144.49,147.27,1.31,190.99
2018-08-18 11-PM,ZECUSD,145.1,145.89,144.46,145.89,2.75,399.24
2018-08-18 10-PM,ZECUSD,145.1,145.1,145.1,145.1,0.0,0.0
