Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume KRW
2019-08-07,XMRKRW,107200,108500,105100,108000,422665.34,45722687400.14
2019-08-06,XMRKRW,111400,113700,104500,107200,452900.5,50538389346.53
2019-08-05,XMRKRW,103400,111500,103400,111400,1068999.91,114949569926.79
2019-08-04,XMRKRW,103800,104500,100600,103400,2422658.27,247887020985.59
2019-08-03,XMRKRW,99700,103900,99150,103800,1629784.1,166623040272.4
2019-08-02,XMRKRW,96900,101500,96550,99700,509564.25,50651037592.17
2019-08-01,XMRKRW,95300,97400,94100,96900,1049884.83,100494186995.08
2019-07-31,XMRKRW,92500,97350,92300,95300,530831.14,50501316827.4
2019-07-30,XMRKRW,92700,94700,91200,92500,1080398.33,100569935852.31
2019-07-29,XMRKRW,93950,95100,92000,92700,1347486.9,125399020392.27
2019-07-28,XMRKRW,93500,97500,91000,93950,1129844.26,106114985787.43
2019-07-27,XMRKRW,94050,96700,91300,93500,675344.69,64683024409.43
2019-07-26,XMRKRW,94900,95300,92250,94050,1058020.49,98902208141.93
2019-07-25,XMRKRW,94900,97800,94250,94900,2069966.13,198451841691.87
2019-07-24,XMRKRW,96400,96400,91500,94900,550021.2,51691900629.88
2019-07-23,XMRKRW,98200,98700,94300,96400,1847653.05,179596651984.36
2019-07-22,XMRKRW,98050,99750,95550,98200,1178183.07,116254564780.53
2019-07-21,XMRKRW,99000,101200,97300,98050,775303.04,77082458727.41
2019-07-20,XMRKRW,96300,101800,96050,99000,2476594.3,245120729650.32
2019-07-19,XMRKRW,98250,99000,94500,96300,3257503.95,313890928416.89
2019-07-18,XMRKRW,91200,91200,87650,90700,1164.7,103127594.58
2019-07-17,XMRKRW,89000,94900,84900,91200,4011850.01,351821058445.74
2019-07-16,XMRKRW,105400,106900,86350,89000,3727461.84,372838000814.78
2019-07-15,XMRKRW,100600,107700,90300,105400,4141796.78,401092402006.64
2019-07-14,XMRKRW,109500,110600,100200,100600,5939223.56,637556945696.53
2019-07-13,XMRKRW,111800,113000,105400,109500,3708952.94,404496085335.46
2019-07-12,XMRKRW,104100,113000,100100,111800,943323.84,101463569644.37
2019-07-11,XMRKRW,112200,112300,103500,104100,843794.52,89094563931.71
2019-07-10,XMRKRW,116600,118100,109800,112200,795616.12,91966123474.0
2019-07-09,XMRKRW,118500,120500,114800,116600,2261761.3,268659285682.01
2019-07-08,XMRKRW,126100,127200,117700,118500,3226798.27,395415800806.02
2019-07-07,XMRKRW,113300,126100,112100,126100,625137.83,74693978295.54
2019-07-06,XMRKRW,107600,117800,107600,113300,1515845.7,169828212600.25
2019-07-05,XMRKRW,105800,111000,104400,107600,325086.53,34748534408.11
2019-07-04,XMRKRW,108600,111500,105600,105800,1964459.58,211597147653.03
2019-07-03,XMRKRW,105600,112000,104000,108600,1283079.65,138003782766.74
2019-07-02,XMRKRW,109200,110000,99500,105600,2366707.74,250150441193.01
2019-07-01,XMRKRW,111100,114800,102600,109200,2947317.43,326855856763.03
2019-06-30,XMRKRW,120700,121600,111000,111100,1807662.55,214498392783.7
2019-06-29,XMRKRW,123300,124700,116000,120700,1891100.25,226072066736.25
2019-06-28,XMRKRW,118200,125600,115500,123300,2352944.77,284532432738.12
2019-06-27,XMRKRW,111000,120000,110800,118200,1262166.01,145949950368.86
2019-06-26,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-25,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-24,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-23,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-22,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-21,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-20,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-19,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-18,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-17,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-16,XMRKRW,111000,111000,111000,111000,0.0,0.0
2019-06-15,XMRKRW,108600,112800,107900,111000,2486212.99,276647852074.43
2019-06-14,XMRKRW,107100,109100,106100,108600,1985051.24,213030828632.95
2019-06-13,XMRKRW,107900,109900,106700,107100,2542014.17,274716661559.07
2019-06-12,XMRKRW,104500,108300,103700,107900,3196185.03,338691468675.65
2019-06-11,XMRKRW,103900,105900,103000,104500,1641413.49,171473613509.09
2019-06-10,XMRKRW,101300,104400,99800,103900,4237976.61,435877631046.69
2019-06-09,XMRKRW,105000,106100,100000,101300,1648073.27,169950373281.66
2019-06-08,XMRKRW,106900,107000,104100,105000,1663070.45,174841342559.68
2019-06-07,XMRKRW,103900,106900,102300,106900,2977991.24,314782474103.72
2019-06-06,XMRKRW,103800,104500,99950,103900,2779082.22,286683640686.47
2019-06-05,XMRKRW,102100,105700,100700,103800,3874680.62,401801926605.8
2019-06-04,XMRKRW,108100,109000,97800,102100,2824058.11,300350300918.44
2019-06-03,XMRKRW,112000,113800,107700,108100,1126910.37,125520744694.46
2019-06-02,XMRKRW,110600,113500,110300,112000,1007564.83,113482200037.67
2019-06-01,XMRKRW,111800,112900,110000,110600,3388406.4,378001643272.75
2019-05-31,XMRKRW,110100,113700,106300,111800,2934461.23,326343627870.16
2019-05-30,XMRKRW,111300,116700,107300,110100,1135621.2,128687100884.41
2019-05-29,XMRKRW,111300,113400,106400,111300,3000557.96,335482261107.66
2019-05-28,XMRKRW,110300,114800,109500,111300,1168482.52,129552275603.15
2019-05-27,XMRKRW,106900,112200,106100,110300,1309424.05,144325712795.43
2019-05-26,XMRKRW,103000,108000,99850,106900,1370450.78,141318791155.02
2019-05-25,XMRKRW,101300,103400,100100,103000,3027739.44,308595030201.92
2019-05-24,XMRKRW,101700,103000,99900,101300,2245953.29,228310718463.28
2019-05-23,XMRKRW,99500,102500,95100,101700,2604330.81,260716100774.57
2019-05-22,XMRKRW,104600,108500,98450,99500,1910633.6,200252686677.54
2019-05-21,XMRKRW,103200,109000,102000,105400,3754268.79,394664840213.87
2019-05-20,XMRKRW,104000,104700,99800,103200,4440300.69,458306884572.6
2019-05-19,XMRKRW,95400,104000,94400,104000,645128.69,65273019839.6
2019-05-18,XMRKRW,97650,100700,95000,95400,2482350.58,239463069314.81
2019-05-17,XMRKRW,102200,103200,86700,97650,2541132.52,246138893992.71
2019-05-16,XMRKRW,107500,114000,99300,102200,3094897.65,327534210349.58
2019-05-15,XMRKRW,96350,108000,94050,107500,2920551.57,289199335006.47
2019-05-14,XMRKRW,89200,97750,88450,96350,3680538.83,345339526224.0
2019-05-13,XMRKRW,84300,92000,84100,89200,2224436.21,194362646075.84
2019-05-12,XMRKRW,87000,91350,80000,84300,2298310.68,195586052675.25
2019-05-11,XMRKRW,79750,88200,77600,87000,1156501.66,93239453115.55
2019-05-10,XMRKRW,76600,80050,76000,79750,2052792.03,158316246908.16
2019-05-09,XMRKRW,78850,79300,75000,76600,3348174.92,261408749258.49
2019-05-08,XMRKRW,76350,78550,75200,78500,3696438.27,284410806184.25
2019-05-07,XMRKRW,77700,80500,77700,78850,986524.68,78005687524.5
2019-05-06,XMRKRW,77450,78500,75800,77700,3347008.42,258604521474.48
2019-05-05,XMRKRW,78400,79250,76100,77450,3189009.82,248079496346.81
2019-05-04,XMRKRW,76850,78550,75300,78400,1649981.77,127135155098.31
