Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2018-06-11,EOSUSD,11.21,11.36,11.09,11.09,35735.66,400871.02
2018-06-09,EOSUSD,13.85,14.49,13.83,14.06,870980.58,12403378.47
2018-06-08,EOSUSD,14.18,14.27,13.52,13.85,1151314.09,15935993.22
2018-06-07,EOSUSD,13.85,14.19,13.66,14.18,1060777.99,14729342.59
2018-06-06,EOSUSD,14.02,14.11,13.37,13.85,1372109.43,18983037.63
2018-06-05,EOSUSD,13.43,14.16,12.88,14.02,1671561.76,22746140.29
2018-06-04,EOSUSD,14.4,14.68,13.26,13.43,1147295.18,15772762.19
2018-06-03,EOSUSD,14.6,15.37,13.92,14.4,1250464.41,18255307.31
2018-06-02,EOSUSD,12.27,15.56,12.15,14.6,1592496.9,22202436.59
2018-06-01,EOSUSD,12.31,12.41,11.96,12.27,1142161.7,13905838.65
2018-05-31,EOSUSD,11.95,12.77,11.9,12.31,1163604.72,14367557.22
2018-05-30,EOSUSD,12.15,12.59,11.76,11.95,873029.86,10573120.24
2018-05-29,EOSUSD,11.58,12.45,10.83,12.15,1426904.31,16853062.11
2018-05-28,EOSUSD,12.5,13,11.42,11.58,625555.41,7605058.67
2018-05-27,EOSUSD,12.34,12.58,12.07,12.5,312661.01,3868062.7
2018-05-26,EOSUSD,12.25,12.83,11.96,12.34,223968.49,2785940.98
2018-05-25,EOSUSD,12.73,12.8,11.74,12.25,559794.84,6808259.09
2018-05-24,EOSUSD,10.7,12.89,10.45,12.73,610109.65,7066343.67
2018-05-23,EOSUSD,12.16,12.4,10.62,10.7,623830.78,7091407.81
2018-05-22,EOSUSD,13.43,13.49,12.09,12.16,510153.51,6538225.75
2018-05-21,EOSUSD,13.91,14.13,13.15,13.43,348572.03,4735826.21
2018-05-20,EOSUSD,13.1,14.16,12.91,13.91,342743.59,4682291.09
2018-05-19,EOSUSD,12.91,13.35,12.47,13.1,339273.24,4380396.38
2018-05-18,EOSUSD,12.29,13.13,11.92,12.91,331844.65,4162384.45
2018-05-17,EOSUSD,12.63,13.9,12.1,12.29,341344.28,4440643.08
2018-05-16,EOSUSD,12.85,13.07,11.91,12.63,305387.2,3764041.24
2018-05-15,EOSUSD,13.81,14.3,12.5,12.85,284083.32,3854753.38
2018-05-14,EOSUSD,14.68,14.78,13.16,13.81,383962.48,5377253.37
2018-05-13,EOSUSD,13.98,15.07,13.49,14.68,343649.22,4917740.61
2018-05-12,EOSUSD,14.88,15.28,12.4,13.98,624045.58,8658928.2
2018-05-11,EOSUSD,17.35,17.69,14.13,14.88,503443.25,7818591.03
2018-05-10,EOSUSD,17.79,18.7,17.34,17.35,285323.82,5137366.64
2018-05-09,EOSUSD,18.05,18.05,17.05,17.79,244406.72,4316885.03
2018-05-08,EOSUSD,17.82,18.83,17.73,18.05,281421.14,5114534.14
2018-05-07,EOSUSD,17.39,18.39,16.74,17.82,417563.78,7369329.01
2018-05-06,EOSUSD,17.77,17.9,16.67,17.39,294799.58,5102470.02
2018-05-05,EOSUSD,17.07,18.65,17.02,17.77,299614.88,5407262.2
2018-05-04,EOSUSD,17.74,18.1,16.36,17.07,338525.93,5823569.39
2018-05-03,EOSUSD,19.16,19.26,16.95,17.74,361501.95,6532139.64
2018-05-02,EOSUSD,18.75,19.43,18.2,19.16,317705.56,5958662.57
2018-05-01,EOSUSD,17.54,19,16.1,18.75,493379.18,8527132.2
2018-04-30,EOSUSD,21.43,21.7,16.65,17.54,506719.15,9494373.32
2018-04-29,EOSUSD,18.82,23.19,18.81,21.43,476514.7,9864607.67
2018-04-28,EOSUSD,16.71,19.51,16.56,18.82,450050.22,8341230.89
2018-04-27,EOSUSD,15.52,17.99,14.96,16.71,343627.15,5667834.62
2018-04-26,EOSUSD,14.59,15.53,13.98,15.52,266899.62,3960257.13
