Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume SGD
2019-07-03 10-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 09-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 08-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 07-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 06-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 05-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 04-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 03-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 02-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 01-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-03 12-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 11-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 10-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 09-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 08-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 07-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 06-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 05-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 04-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 03-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 02-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 01-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 12-PM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 11-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 10-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 09-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 08-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
2019-07-02 07-AM,BTCSGD,5218.43,5218.43,5218.43,5218.43,0.0,0.0
