Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume USD
2018-08-22 11-PM,TRXUSD,0.02032,0.02032,0.02032,0.02032,0.0,0.0
2018-08-22 10-PM,TRXUSD,0.02072,0.02072,0.02032,0.02032,190.41,3.87
2018-08-22 09-PM,TRXUSD,0.02082,0.02082,0.02032,0.02072,609.92,12.45
2018-08-22 08-PM,TRXUSD,0.0214,0.0214,0.02023,0.02082,1916.5,39.21
2018-08-22 07-PM,TRXUSD,0.02052,0.02142,0.02,0.0214,5168.64,104.86
2018-08-22 06-PM,TRXUSD,0.02033,0.02052,0.02033,0.02052,2424.29,49.74
2018-08-22 05-PM,TRXUSD,0.02087,0.02087,0.02033,0.02033,6894.77,142.97
2018-08-22 04-PM,TRXUSD,0.02191,0.022,0.02087,0.02087,20597.57,442.44
2018-08-22 03-PM,TRXUSD,0.0215,0.02191,0.0215,0.02191,123.55,2.7
2018-08-22 02-PM,TRXUSD,0.022,0.022,0.0215,0.0215,4778.37,104.64
2018-08-22 01-PM,TRXUSD,0.0214,0.022,0.0211,0.022,9188.9,198.86
2018-08-22 12-PM,TRXUSD,0.0214,0.0214,0.0214,0.0214,1462.98,31.31
2018-08-22 11-AM,TRXUSD,0.0211,0.02189,0.0211,0.0214,1081.77,23.63
2018-08-22 10-AM,TRXUSD,0.02116,0.02116,0.0211,0.0211,47.39,1.0
2018-08-22 09-AM,TRXUSD,0.02119,0.02119,0.02116,0.02116,2348.71,49.69
2018-08-22 08-AM,TRXUSD,0.02199,0.02199,0.02119,0.02119,22419.23,478.65
2018-08-22 07-AM,TRXUSD,0.02172,0.02199,0.02172,0.02199,4615.82,100.63
2018-08-22 06-AM,TRXUSD,0.02156,0.02182,0.02156,0.02172,2431.89,53.0
2018-08-22 05-AM,TRXUSD,0.022,0.022,0.02156,0.02156,4457.55,97.71
2018-08-22 04-AM,TRXUSD,0.02226,0.0224,0.022,0.022,2594.47,57.95
2018-08-22 03-AM,TRXUSD,0.02226,0.02226,0.02226,0.02226,0.0,0.0
2018-08-22 02-AM,TRXUSD,0.02226,0.02226,0.02226,0.02226,0.0,0.0
2018-08-22 01-AM,TRXUSD,0.02199,0.02226,0.02199,0.02226,4840.15,107.48
2018-08-22 12-AM,TRXUSD,0.0213,0.02199,0.0213,0.02199,79.47,1.75
2018-08-21 11-PM,TRXUSD,0.0218,0.0218,0.0213,0.0213,500.0,10.65
2018-08-21 10-PM,TRXUSD,0.0213,0.0218,0.0213,0.0218,3303.02,70.94
2018-08-21 09-PM,TRXUSD,0.0213,0.02193,0.0213,0.0213,1432.09,30.65
2018-08-21 08-PM,TRXUSD,0.0213,0.0213,0.0213,0.0213,1183.44,25.21
2018-08-21 07-PM,TRXUSD,0.0213,0.022,0.0213,0.0213,2261.4,49.3
2018-08-21 06-PM,TRXUSD,0.02179,0.02243,0.0213,0.0213,10812.65,235.29
2018-08-21 05-PM,TRXUSD,0.02179,0.02249,0.02179,0.02179,2444.71,53.77
2018-08-21 04-PM,TRXUSD,0.0218,0.0218,0.02178,0.02179,1038.09,22.62
2018-08-21 03-PM,TRXUSD,0.0218,0.02263,0.0218,0.0218,1551.2,34.02
2018-08-21 02-PM,TRXUSD,0.02179,0.02273,0.02178,0.0218,15995.23,357.51
2018-08-21 01-PM,TRXUSD,0.02185,0.02185,0.02179,0.02179,617.94,13.47
2018-08-21 12-PM,TRXUSD,0.02262,0.02262,0.02185,0.02185,2135.07,46.74
2018-08-21 11-AM,TRXUSD,0.02133,0.02295,0.02133,0.02262,4414.86,100.1
2018-08-21 10-AM,TRXUSD,0.02272,0.02272,0.02133,0.02133,351.53,7.93
2018-08-21 09-AM,TRXUSD,0.0222,0.02272,0.0222,0.02272,10.0,0.2272
2018-08-21 08-AM,TRXUSD,0.0222,0.0222,0.0222,0.0222,0.0,0.0
2018-08-21 07-AM,TRXUSD,0.02167,0.0222,0.02098,0.0222,7675.88,169.09
2018-08-21 06-AM,TRXUSD,0.02176,0.02176,0.02095,0.02167,1801.6,37.91
2018-08-21 05-AM,TRXUSD,0.02124,0.02176,0.02117,0.02176,1380.06,29.28
2018-08-21 04-AM,TRXUSD,0.02124,0.02124,0.02124,0.02124,0.0,0.0
2018-08-21 03-AM,TRXUSD,0.02102,0.02199,0.02102,0.02124,590.65,12.77
2018-08-21 02-AM,TRXUSD,0.02102,0.02102,0.02102,0.02102,0.0,0.0
2018-08-21 01-AM,TRXUSD,0.02102,0.02102,0.02102,0.02102,0.0,0.0
2018-08-21 12-AM,TRXUSD,0.02102,0.02102,0.02102,0.02102,0.0,0.0
2018-08-20 11-PM,TRXUSD,0.0216,0.0216,0.02101,0.02102,3146.85,66.38
2018-08-20 10-PM,TRXUSD,0.0225,0.0225,0.0215,0.0216,33154.94,724.86
2018-08-20 09-PM,TRXUSD,0.0222,0.0225,0.0222,0.0225,873.74,19.62
2018-08-20 08-PM,TRXUSD,0.02208,0.02316,0.02208,0.0222,8911.95,199.37
2018-08-20 07-PM,TRXUSD,0.02205,0.02255,0.02205,0.02208,1562.75,35.07
2018-08-20 06-PM,TRXUSD,0.02205,0.02205,0.02205,0.02205,0.0,0.0
2018-08-20 05-PM,TRXUSD,0.02205,0.02253,0.02205,0.02205,340.25,7.65
