Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume RUR
2019-07-03,XEMRUR,6.08,6.08,5.513,5.785,986.94,5622.5
2019-07-02,XEMRUR,5.883,6.405,5.228,6.08,9891.18,55669.19
2019-07-01,XEMRUR,5.929,6.4,5.55,5.883,6215.03,36596.37
2019-06-30,XEMRUR,6.301,6.448,5.827,5.929,5631.94,35552.29
2019-06-29,XEMRUR,6.303,6.425,6.128,6.301,6049.61,37355.55
2019-06-28,XEMRUR,5.45,6.45,5.45,6.303,17393.25,107458.35
2019-06-27,XEMRUR,6.093,6.44,5.254,5.45,10512.54,59230.17
2019-06-26,XEMRUR,5.929,7.25,5.75,6.093,24809.18,161809.32
2019-06-25,XEMRUR,5.687,5.95,5.665,5.929,6354.28,37018.0
2019-06-24,XEMRUR,5.714,5.943,5.642,5.687,4634.29,27021.17
2019-06-23,XEMRUR,5.918,5.918,5.645,5.714,5078.83,29951.49
2019-06-22,XEMRUR,5.467,6.084,5.44,5.9,6218.6,35311.17
2019-06-21,XEMRUR,5.404,5.599,5.2,5.467,6644.49,36684.3
2019-06-20,XEMRUR,5.677,6.25,5.2,5.404,9894.09,55322.81
2019-06-19,XEMRUR,5.747,5.747,5.43,5.677,2159.93,11976.25
2019-06-18,XEMRUR,5.692,5.8,5.431,5.747,5085.73,28670.51
2019-06-17,XEMRUR,5.615,5.85,5.31,5.692,4710.54,26475.76
2019-06-16,XEMRUR,5.51,5.85,5.321,5.615,12016.05,65240.61
2019-06-15,XEMRUR,5.41,5.657,5.41,5.51,1223.48,6749.7
2019-06-14,XEMRUR,5.543,5.576,5.31,5.41,857.84,4673.06
2019-06-13,XEMRUR,5.658,5.658,5.31,5.543,3522.16,19629.8
2019-06-12,XEMRUR,5.575,5.725,5.462,5.658,3497.9,19717.73
2019-06-11,XEMRUR,5.511,6.336,5.308,5.575,9427.51,53797.2
2019-06-10,XEMRUR,5.4,5.612,5.4,5.511,1163.8,6469.0
2019-06-09,XEMRUR,5.646,5.646,5.4,5.403,1050.34,5713.38
2019-06-08,XEMRUR,5.79,5.795,5.547,5.646,1364.7,7667.02
2019-06-07,XEMRUR,5.46,6.1,5.21,5.79,11879.54,68133.34
2019-06-06,XEMRUR,5.52,5.52,5.31,5.46,809.34,4341.39
2019-06-05,XEMRUR,5.52,5.52,5.27,5.52,987.06,5366.36
2019-06-04,XEMRUR,6.1,6.1,5.2,5.52,5746.98,31628.59
2019-06-03,XEMRUR,6.1,6.29,5.65,6.1,10482.61,61500.27
2019-06-02,XEMRUR,6.34,6.34,6.1,6.1,5992.54,36913.67
2019-06-01,XEMRUR,6.09,6.34,6.01,6.34,10034.93,62746.82
2019-05-31,XEMRUR,5.8,6.59,5.6,6.09,8796.28,51574.26
2019-05-30,XEMRUR,6,6.25,5.66,5.8,10719.09,65105.03
2019-05-29,XEMRUR,5.7,6.02,5.61,6,8818.52,52655.35
