Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QAS,Volume HUSD
2019-06-27 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
