Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-05-04,ZECUSD,309.31,309.31,293.15,296.8,8313.09,2503325.69
2018-05-03,ZECUSD,293.16,313.85,291.61,309.31,8169.35,2462685.65
2018-05-02,ZECUSD,290.76,295.15,285.55,293.16,6792.35,1966632.47
2018-05-01,ZECUSD,284.09,291.47,270.53,290.76,7439.84,2087487.45
2018-04-30,ZECUSD,293.45,299.98,282.7,284.09,8294.9,2399382.68
2018-04-29,ZECUSD,295.57,303.49,284,293.45,4038.85,1181259.86
2018-04-28,ZECUSD,284.02,298.28,283.66,295.57,6246.67,1812900.31
2018-04-27,ZECUSD,304.58,304.81,280.65,284.02,7753.76,2288033.8
2018-04-26,ZECUSD,287.93,304.88,276.86,304.58,8504.63,2458435.69
2018-04-25,ZECUSD,318.82,319.13,268.89,287.93,8984.44,2592672.66
2018-04-24,ZECUSD,306.35,331.5,304.01,318.82,7684.93,2425732.88
2018-04-23,ZECUSD,278.45,306.41,275.63,306.35,7919.94,2290665.6
2018-04-22,ZECUSD,275.16,287.5,269.16,278.45,7465.19,2086276.53
2018-04-21,ZECUSD,287.13,288.3,258.53,275.16,7277.63,1988318.99
2018-04-20,ZECUSD,271.19,290.31,260.1,287.13,9148.33,2502139.07
2018-04-19,ZECUSD,252.76,271.85,247.14,271.19,8372.0,2158057.13
2018-04-18,ZECUSD,227.95,254.75,227.64,252.76,8963.14,2161094.12
2018-04-17,ZECUSD,231,234.36,227.06,227.95,7999.9,1845195.63
2018-04-16,ZECUSD,237.48,240.39,223.99,231,8588.17,1975959.26
2018-04-15,ZECUSD,227.78,240.99,227.64,237.48,8000.82,1878365.23
2018-04-14,ZECUSD,234.88,246.37,224.07,227.78,10004.93,2333227.01
2018-04-13,ZECUSD,224.07,249.77,217.06,234.88,10493.16,2413113.68
2018-04-12,ZECUSD,189.3,224.43,186.93,224.07,10337.36,2073110.53
2018-04-11,ZECUSD,186.33,189.3,184.77,189.3,10892.95,2031796.79
2018-04-10,ZECUSD,183.81,186.52,181.99,186.33,5802.04,1071300.01
2018-04-09,ZECUSD,188.63,193.86,180.11,183.81,10041.33,1884494.84
2018-04-08,ZECUSD,186.6,189.93,185.13,188.63,10265.48,1924805.88
2018-04-07,ZECUSD,181.19,190.72,180.19,186.6,10343.6,1926329.43
2018-04-06,ZECUSD,188.82,190.15,178.1,181.19,10906.06,1999374.46
2018-04-05,ZECUSD,189.86,193.48,184.33,188.82,10115.28,1910257.28
2018-04-04,ZECUSD,211.21,211.33,188.19,189.86,12266.09,2409799.5
2018-04-03,ZECUSD,199.43,214.41,198.27,211.21,10191.07,2112423.35
