Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume ETH
2019-08-07,NEOETH,0.0503,0.0503,0.05019,0.05019,43.77,2.197
2019-08-06,NEOETH,0.0516,0.05195,0.05,0.0503,1521.06,77.13
2019-08-05,NEOETH,0.0535,0.0538,0.0516,0.0516,811.86,43.0
2019-08-04,NEOETH,0.05406,0.0549,0.05406,0.0549,8.221,0.4502
2019-08-03,NEOETH,0.05356,0.0547,0.0531,0.05406,508.93,27.42
2019-08-02,NEOETH,0.0536,0.0536,0.0536,0.0536,0.0,0.0
2019-08-01,NEOETH,0.05386,0.05386,0.0536,0.0536,6.2,0.3323
2019-07-31,NEOETH,0.0534,0.0563,0.05333,0.05386,2259.2,122.7
2019-07-30,NEOETH,0.0532,0.0532,0.0532,0.0532,0.0,0.0
2019-07-29,NEOETH,0.0532,0.0532,0.0532,0.0532,0.0,0.0
2019-07-28,NEOETH,0.05474,0.05491,0.0532,0.0532,1127.36,61.17
2019-07-27,NEOETH,0.05479,0.0555,0.05479,0.05529,43.38,2.401
2019-07-26,NEOETH,0.0543,0.05515,0.0542,0.05479,244.11,13.31
2019-07-25,NEOETH,0.05431,0.05431,0.0539,0.0539,5.551,0.2993
2019-07-24,NEOETH,0.05273,0.056,0.05229,0.05431,771.82,41.79
2019-07-23,NEOETH,0.05552,0.05552,0.05347,0.05347,444.05,24.37
2019-07-22,NEOETH,0.05741,0.05799,0.0548,0.05552,1322.02,74.75
2019-07-21,NEOETH,0.05839,0.05908,0.0567,0.05741,611.69,35.41
2019-07-20,NEOETH,0.05906,0.0594,0.05752,0.05839,913.4,53.67
2019-07-19,NEOETH,0.05809,0.0591,0.05592,0.05906,1145.04,66.34
2019-07-18,NEOETH,0.051,0.05144,0.05099,0.05099,28.33,1.457
2019-07-17,NEOETH,0.0515,0.052,0.0496,0.051,2108.69,107.12
2019-07-16,NEOETH,0.05379,0.0539,0.05139,0.0515,3291.7,173.35
2019-07-15,NEOETH,0.05306,0.056,0.0519,0.05379,1262.51,67.57
2019-07-14,NEOETH,0.05288,0.055,0.05145,0.05306,4206.49,220.85
2019-07-13,NEOETH,0.05605,0.05605,0.05144,0.05288,3265.14,173.31
2019-07-12,NEOETH,0.05422,0.0562,0.0537,0.05605,1807.74,100.12
2019-07-11,NEOETH,0.0561,0.0566,0.0537,0.05422,1487.77,82.95
2019-07-10,NEOETH,0.056,0.0564,0.05458,0.0561,5303.77,296.15
2019-07-09,NEOETH,0.05592,0.057,0.0554,0.056,1704.94,95.93
2019-07-08,NEOETH,0.0564,0.05721,0.0552,0.05592,1399.83,78.96
2019-07-07,NEOETH,0.05869,0.05869,0.0552,0.0564,1517.8,85.35
2019-07-06,NEOETH,0.05879,0.05935,0.05819,0.05869,271.91,15.95
2019-07-05,NEOETH,0.061,0.061,0.0585,0.05879,3928.95,232.43
2019-07-04,NEOETH,0.05897,0.061,0.05897,0.061,1126.78,67.67
2019-07-03,NEOETH,0.0615,0.0615,0.05897,0.05897,1010.84,60.37
2019-07-02,NEOETH,0.05757,0.063,0.05753,0.0615,5766.45,348.8
2019-07-01,NEOETH,0.05727,0.05792,0.0552,0.05757,3105.37,176.18
2019-06-30,NEOETH,0.0573,0.0587,0.05705,0.05727,2618.22,151.46
2019-06-29,NEOETH,0.0582,0.0615,0.0573,0.0573,3363.55,196.05
2019-06-28,NEOETH,0.0578,0.06063,0.05775,0.0582,1532.78,90.24
2019-06-27,NEOETH,0.0572,0.0601,0.0554,0.0578,7020.19,401.71
2019-06-26,NEOETH,0.06175,0.0657,0.0518,0.0572,18467.61,1067.96
2019-06-25,NEOETH,0.05749,0.06342,0.056,0.06175,4321.73,257.79
2019-06-24,NEOETH,0.05464,0.0598,0.05434,0.05749,4844.74,278.6
2019-06-23,NEOETH,0.0564,0.05941,0.054,0.05464,5796.45,330.72
2019-06-22,NEOETH,0.04768,0.0609,0.0464,0.0564,14872.24,822.18
2019-06-21,NEOETH,0.04979,0.04979,0.04714,0.04768,2668.67,128.24
2019-06-20,NEOETH,0.05113,0.05113,0.0489,0.04979,837.96,41.93
2019-06-19,NEOETH,0.05156,0.05222,0.05092,0.05113,1440.44,74.27
2019-06-18,NEOETH,0.05177,0.052,0.0503,0.05156,2208.36,113.04
2019-06-17,NEOETH,0.05223,0.0545,0.0513,0.05177,2136.13,112.94
2019-06-16,NEOETH,0.05218,0.05276,0.05118,0.05223,2590.82,134.79
2019-06-15,NEOETH,0.05125,0.05399,0.05125,0.05218,3868.21,203.79
2019-06-14,NEOETH,0.05124,0.0514,0.0491,0.05125,2356.47,118.53
2019-06-13,NEOETH,0.04956,0.0526,0.049,0.05124,1187.11,59.4
2019-06-12,NEOETH,0.05038,0.05128,0.04931,0.04956,3037.29,153.25
2019-06-11,NEOETH,0.0499,0.0508,0.04909,0.05038,2059.99,102.78
2019-06-10,NEOETH,0.04947,0.053,0.04947,0.0499,1485.9,76.12
2019-06-09,NEOETH,0.04908,0.0498,0.0487,0.04947,1554.11,76.6
2019-06-08,NEOETH,0.04925,0.05007,0.0484,0.04908,1422.53,69.6
2019-06-07,NEOETH,0.0468,0.05384,0.0466,0.04925,2212.89,107.54
2019-06-06,NEOETH,0.04715,0.04783,0.04664,0.0468,2122.15,100.34
2019-06-05,NEOETH,0.04726,0.0481,0.047,0.04715,1031.54,48.8
2019-06-04,NEOETH,0.05,0.05003,0.04699,0.04726,2853.76,138.3
2019-06-03,NEOETH,0.0524,0.0524,0.04985,0.05,2406.04,121.82
2019-06-02,NEOETH,0.05204,0.0524,0.0513,0.0524,817.37,42.32
2019-06-01,NEOETH,0.05093,0.0534,0.05002,0.05204,4094.18,211.69
2019-05-31,NEOETH,0.0494,0.051,0.04912,0.05093,2006.01,100.02
2019-05-30,NEOETH,0.05055,0.05233,0.0488,0.0494,6984.09,351.53
2019-05-29,NEOETH,0.04641,0.05319,0.04519,0.05055,7043.14,351.92
2019-05-28,NEOETH,0.04566,0.0468,0.04461,0.04641,3241.28,147.47
2019-05-27,NEOETH,0.04479,0.046,0.0447,0.04566,5635.17,254.93
2019-05-26,NEOETH,0.04556,0.048,0.04433,0.04479,2684.33,121.49
2019-05-25,NEOETH,0.0461,0.04618,0.0453,0.04556,1350.22,62.08
2019-05-24,NEOETH,0.04635,0.0469,0.04581,0.0461,1794.53,83.37
2019-05-23,NEOETH,0.0457,0.0471,0.0457,0.04635,1348.88,62.83
2019-05-22,NEOETH,0.0474,0.04754,0.04559,0.0457,4477.22,208.01
2019-05-21,NEOETH,0.04812,0.0492,0.047,0.0474,2909.86,140.01
2019-05-20,NEOETH,0.04508,0.0501,0.0447,0.04812,9007.29,416.74
2019-05-19,NEOETH,0.04602,0.0463,0.04447,0.04508,4458.91,201.72
2019-05-18,NEOETH,0.04611,0.047,0.0452,0.04602,2870.45,132.83
2019-05-17,NEOETH,0.04578,0.0475,0.0448,0.04611,4773.84,221.13
2019-05-16,NEOETH,0.0521,0.05253,0.0456,0.04578,10419.6,501.06
2019-05-15,NEOETH,0.051,0.05425,0.04925,0.0521,8903.09,458.38
2019-05-14,NEOETH,0.04942,0.0535,0.0489,0.051,11387.66,581.08
2019-05-13,NEOETH,0.04996,0.0514,0.048,0.04942,5196.91,258.21
2019-05-12,NEOETH,0.05079,0.05145,0.04876,0.04996,3342.36,166.39
2019-05-11,NEOETH,0.0506,0.0519,0.0499,0.05079,4755.42,241.82
2019-05-10,NEOETH,0.0501,0.0521,0.0486,0.0506,4041.69,204.46
2019-05-09,NEOETH,0.0527,0.054,0.0501,0.0501,3874.55,199.52
2019-05-08,NEOETH,0.05271,0.053,0.05204,0.0527,2634.34,138.27
2019-05-07,NEOETH,0.05284,0.05284,0.0514,0.05218,387.44,20.16
2019-05-06,NEOETH,0.0567,0.0567,0.05197,0.05284,2330.77,126.82
2019-05-05,NEOETH,0.0577,0.05828,0.0567,0.0567,1171.12,67.46
2019-05-04,NEOETH,0.0594,0.05979,0.0575,0.0577,3603.1,212.06
2019-05-03,NEOETH,0.06069,0.06092,0.05906,0.0594,1361.01,81.3
2019-05-02,NEOETH,0.0605,0.06227,0.06033,0.06069,1598.74,97.94
2019-05-01,NEOETH,0.06011,0.0612,0.0593,0.0605,1235.85,74.18
2019-04-30,NEOETH,0.06116,0.06119,0.0593,0.06011,1099.25,66.06
2019-04-29,NEOETH,0.0589,0.0637,0.0589,0.06116,2259.98,137.81
2019-04-28,NEOETH,0.06038,0.0609,0.0589,0.0589,208.38,12.48
2019-04-27,NEOETH,0.06025,0.06145,0.05929,0.06038,480.36,28.89
2019-04-26,NEOETH,0.06244,0.06244,0.05925,0.06025,490.75,29.63
2019-04-25,NEOETH,0.06,0.0633,0.06,0.06244,3454.85,214.38
2019-04-24,NEOETH,0.0604,0.06116,0.05847,0.06,2542.71,151.86
2019-04-23,NEOETH,0.0631,0.064,0.06039,0.0604,2878.51,176.42
2019-04-22,NEOETH,0.06203,0.0639,0.06181,0.0631,495.62,31.41
2019-04-21,NEOETH,0.06287,0.06287,0.061,0.06203,356.15,22.03
2019-04-20,NEOETH,0.0637,0.06376,0.0626,0.06287,415.49,26.29
2019-04-19,NEOETH,0.06472,0.06505,0.0636,0.0637,1095.9,70.28
2019-04-18,NEOETH,0.06602,0.0669,0.0646,0.06472,1872.2,121.58
2019-04-17,NEOETH,0.0655,0.06701,0.06531,0.06602,737.15,48.64
2019-04-16,NEOETH,0.06669,0.06675,0.0655,0.0655,361.68,23.87
2019-04-15,NEOETH,0.06733,0.06826,0.06606,0.06669,457.13,30.63
2019-04-14,NEOETH,0.0675,0.0686,0.0665,0.06733,314.39,21.19
2019-04-13,NEOETH,0.06847,0.06878,0.0675,0.0675,256.13,17.4
2019-04-12,NEOETH,0.06783,0.0702,0.0666,0.06847,607.87,41.25
2019-04-11,NEOETH,0.06998,0.06998,0.066,0.06783,2836.47,192.63
2019-04-10,NEOETH,0.06928,0.0724,0.06887,0.06998,1912.51,133.26
2019-04-09,NEOETH,0.07067,0.07067,0.0683,0.06928,2207.14,153.73
2019-04-08,NEOETH,0.07375,0.07375,0.06879,0.07067,2941.27,208.11
2019-04-07,NEOETH,0.07912,0.0792,0.0736,0.07375,1472.27,112.48
2019-04-06,NEOETH,0.08164,0.08186,0.07712,0.07912,966.14,77.13
2019-04-05,NEOETH,0.08114,0.08353,0.0783,0.08164,7270.59,577.32
2019-04-04,NEOETH,0.07585,0.08488,0.07516,0.08114,5633.3,456.18
2019-04-03,NEOETH,0.07065,0.0784,0.0697,0.07585,5446.58,409.53
2019-04-02,NEOETH,0.07052,0.0739,0.0695,0.07065,3529.3,253.22
2019-04-01,NEOETH,0.07099,0.07131,0.07015,0.07052,955.31,67.86
2019-03-19,NEOETH,0.06612,0.06612,0.0658,0.0658,64.85,4.28
2019-03-18,NEOETH,0.06577,0.06652,0.0654,0.06612,1120.38,73.89
2019-03-17,NEOETH,0.06689,0.0676,0.0657,0.06577,2773.33,185.0
2019-03-16,NEOETH,0.06775,0.06789,0.0661,0.06689,748.5,50.2
2019-03-15,NEOETH,0.07032,0.07032,0.0672,0.06775,1087.6,74.25
2019-03-14,NEOETH,0.06742,0.07032,0.06631,0.07032,1745.46,120.3
2019-03-13,NEOETH,0.0658,0.06886,0.0658,0.06742,2035.72,138.59
2019-03-12,NEOETH,0.06536,0.0667,0.0644,0.0658,1027.39,67.94
2019-03-11,NEOETH,0.06465,0.0657,0.0642,0.06536,212.06,13.75
2019-03-10,NEOETH,0.0652,0.06582,0.0645,0.06465,2533.31,165.25
2019-03-09,NEOETH,0.0655,0.06602,0.06502,0.0652,1208.94,78.97
2019-03-08,NEOETH,0.0669,0.0672,0.0652,0.0655,1650.28,109.06
2019-03-07,NEOETH,0.06354,0.0669,0.06292,0.0669,1862.42,120.06
2019-03-06,NEOETH,0.06409,0.06434,0.06277,0.06354,3494.73,220.6
2019-03-05,NEOETH,0.06526,0.066,0.06346,0.06409,3974.44,256.63
2019-03-04,NEOETH,0.0658,0.0662,0.0642,0.06526,775.5,50.66
2019-03-03,NEOETH,0.0657,0.06678,0.065,0.0658,581.49,38.31
2019-03-02,NEOETH,0.06619,0.06663,0.0655,0.0657,729.63,48.01
2019-03-01,NEOETH,0.065,0.0676,0.0646,0.06619,407.85,26.8
2019-02-28,NEOETH,0.06691,0.06691,0.06691,0.06691,0.0,0.0
2019-02-27,NEOETH,0.0661,0.0684,0.06497,0.06691,1452.32,96.84
2019-02-26,NEOETH,0.06688,0.06711,0.06538,0.0661,579.45,38.36
2019-02-25,NEOETH,0.06663,0.06798,0.0643,0.06688,1804.82,119.81
2019-02-24,NEOETH,0.06389,0.0685,0.0602,0.06663,11386.56,732.51
2019-02-23,NEOETH,0.0588,0.065,0.0579,0.06389,5800.66,359.15
2019-02-22,NEOETH,0.0587,0.05983,0.05865,0.0588,395.65,23.4
2019-02-21,NEOETH,0.0611,0.062,0.0587,0.0587,1533.62,93.65
2019-02-20,NEOETH,0.06182,0.0628,0.0607,0.0611,5373.38,330.71
2019-02-19,NEOETH,0.06009,0.0627,0.05919,0.06182,2255.59,137.24
2019-02-18,NEOETH,0.0627,0.0627,0.0594,0.06009,1995.97,121.37
2019-02-17,NEOETH,0.064,0.0701,0.06168,0.0627,2432.6,159.61
2019-02-16,NEOETH,0.06681,0.0679,0.0637,0.064,1088.06,72.21
2019-02-15,NEOETH,0.0655,0.0686,0.0646,0.06681,1401.1,91.93
2019-02-14,NEOETH,0.0674,0.0674,0.06407,0.0655,3949.07,256.84
2019-02-13,NEOETH,0.06686,0.06805,0.06666,0.0674,2307.34,154.94
2019-02-12,NEOETH,0.06759,0.0698,0.06613,0.06686,4180.41,281.96
2019-02-11,NEOETH,0.0633,0.0683,0.0633,0.06759,1142.49,76.6
2019-02-10,NEOETH,0.06414,0.0681,0.0633,0.0633,2882.99,189.23
2019-02-09,NEOETH,0.06305,0.0646,0.0628,0.06414,645.99,41.11
2019-02-08,NEOETH,0.06628,0.06652,0.0627,0.06305,2474.69,159.68
2019-02-07,NEOETH,0.0652,0.0663,0.065,0.06628,1118.47,73.99
2019-02-06,NEOETH,0.0652,0.06665,0.065,0.0652,1281.0,84.55
