Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-06-09 02-PM,XMRUSD,157.52,157.97,157.21,157.5,600.9,94779.29
2018-06-09 01-PM,XMRUSD,157.8,157.96,156.88,157.52,1097.56,172741.08
2018-06-09 12-PM,XMRUSD,159.62,159.85,157.78,157.8,1381.71,219009.38
2018-06-09 11-AM,XMRUSD,159.92,160.01,159.26,159.62,1074.19,171580.08
2018-06-09 10-AM,XMRUSD,158.49,159.92,158.42,159.92,1328.11,211648.72
2018-06-09 09-AM,XMRUSD,158.67,158.78,158.4,158.49,448.69,71160.01
2018-06-09 08-AM,XMRUSD,159.05,159.13,158.55,158.67,418.63,66494.37
2018-06-09 07-AM,XMRUSD,159.37,159.6,159,159.05,1069.65,170305.67
2018-06-09 06-AM,XMRUSD,159.34,159.74,159.06,159.37,557.02,88773.78
2018-06-09 05-AM,XMRUSD,159.59,159.72,159.12,159.34,243.6,38834.26
2018-06-09 04-AM,XMRUSD,159.09,159.73,158.92,159.59,500.39,79736.33
2018-06-09 03-AM,XMRUSD,159.91,159.98,158.74,159.09,1705.72,271487.1
2018-06-09 02-AM,XMRUSD,159.44,159.98,159.21,159.91,1943.29,310227.37
2018-06-09 01-AM,XMRUSD,159.18,159.58,159.02,159.44,362.62,57724.89
2018-06-09 12-AM,XMRUSD,158.25,159.25,158.16,159.18,528.58,83939.66
2018-06-08 11-PM,XMRUSD,159.13,159.19,158.24,158.25,394.31,62632.24
2018-06-08 10-PM,XMRUSD,158.07,159.16,158.06,159.13,1495.08,237562.8
2018-06-08 09-PM,XMRUSD,158.7,158.7,158.04,158.07,358.53,56779.75
2018-06-08 08-PM,XMRUSD,159.26,159.61,158.49,158.7,579.37,91991.8
2018-06-08 07-PM,XMRUSD,159.21,159.62,158.91,159.26,275.3,43864.93
2018-06-08 06-PM,XMRUSD,159.27,159.72,159.13,159.21,111.37,17753.62
2018-06-08 05-PM,XMRUSD,159.98,160.1,158.67,159.27,428.79,68278.28
2018-06-08 04-PM,XMRUSD,160.2,161,159.89,159.98,1708.26,273971.61
2018-06-08 03-PM,XMRUSD,158.64,160.2,157.29,160.2,1161.55,183752.45
2018-06-08 02-PM,XMRUSD,158.09,158.74,157.2,158.64,1406.22,222030.6
2018-06-08 01-PM,XMRUSD,158.47,158.72,157.81,158.09,803.0,127074.08
2018-06-08 12-PM,XMRUSD,158.46,158.85,157.87,158.47,1166.78,184695.96
2018-06-08 11-AM,XMRUSD,158.82,158.82,157.51,158.46,1284.33,202846.63
2018-06-08 10-AM,XMRUSD,160.61,160.61,158.82,158.82,1239.89,197809.71
2018-06-08 09-AM,XMRUSD,160.89,161.16,160.49,160.61,195.04,31354.43
2018-06-08 08-AM,XMRUSD,162.19,162.19,160.59,160.89,1500.27,241911.7
2018-06-08 07-AM,XMRUSD,163.12,163.22,162.19,162.19,590.45,95974.68
2018-06-08 06-AM,XMRUSD,162.64,163.4,162.64,163.12,1053.61,171733.83
2018-06-08 05-AM,XMRUSD,163.19,163.28,162.03,162.64,208.23,33849.39
2018-06-08 04-AM,XMRUSD,163.94,163.97,162.51,163.19,1260.27,205607.92
2018-06-08 03-AM,XMRUSD,164.68,164.68,163.22,163.94,598.64,98109.88
2018-06-08 02-AM,XMRUSD,164.97,165,163.92,164.68,1027.18,169272.18
2018-06-08 01-AM,XMRUSD,165.04,165.16,164.26,164.97,588.1,96801.91
2018-06-08 12-AM,XMRUSD,164.23,165.33,164.04,165.04,1145.84,189168.71
2018-06-07 11-PM,XMRUSD,163.64,164.52,163.63,164.23,628.93,103196.35
2018-06-07 10-PM,XMRUSD,164.13,164.28,163.02,163.64,643.87,105323.66
2018-06-07 09-PM,XMRUSD,164.65,165.1,163.92,164.13,609.75,100185.04
2018-06-07 08-PM,XMRUSD,167.37,167.99,164.37,164.65,2991.03,498975.93
2018-06-07 07-PM,XMRUSD,167.66,167.74,166,167.37,1321.62,220560.57
