Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PAY,Volume ETH
2019-08-07 03-AM,PAYETH,0.0005824,0.0005824,0.0005824,0.0005824,0.0,0.0
2019-08-07 02-AM,PAYETH,0.0005824,0.0005824,0.0005824,0.0005824,0.0,0.0
2019-08-07 01-AM,PAYETH,0.0005824,0.0005824,0.0005824,0.0005824,0.0,0.0
2019-08-07 12-AM,PAYETH,0.0005824,0.0005824,0.0005824,0.0005824,0.0,0.0
2019-08-06 11-PM,PAYETH,0.000575,0.0005824,0.000575,0.0005824,104.71,0.06099
2019-08-06 10-PM,PAYETH,0.0005808,0.0005808,0.000575,0.000575,231.75,0.1333
2019-08-06 09-PM,PAYETH,0.0006022,0.0006022,0.0005808,0.0005808,8744.58,5.156
2019-08-06 08-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 07-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 06-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 05-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 04-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 03-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 02-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 01-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 12-PM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.0,0.0
2019-08-06 11-AM,PAYETH,0.0006022,0.0006022,0.0006022,0.0006022,0.005405,3.25e-06
2019-08-06 10-AM,PAYETH,0.0006216,0.0006216,0.0006019,0.0006022,1233.39,0.7426
2019-08-06 09-AM,PAYETH,0.0006216,0.0006216,0.0006216,0.0006216,0.0,0.0
2019-08-06 08-AM,PAYETH,0.0006216,0.0006216,0.0006216,0.0006216,0.0,0.0
2019-08-06 07-AM,PAYETH,0.0006216,0.0006216,0.0006216,0.0006216,0.0,0.0
2019-08-06 06-AM,PAYETH,0.0006216,0.0006216,0.0006216,0.0006216,0.0,0.0
2019-08-06 05-AM,PAYETH,0.0006371,0.0006371,0.0006216,0.0006216,78.54,0.04882
2019-08-06 04-AM,PAYETH,0.0006371,0.0006371,0.0006371,0.0006371,0.0,0.0
2019-08-06 03-AM,PAYETH,0.0006371,0.0006371,0.0006371,0.0006371,0.0,0.0
2019-08-06 02-AM,PAYETH,0.0006371,0.0006371,0.0006371,0.0006371,0.0,0.0
2019-08-06 01-AM,PAYETH,0.0006,0.0006423,0.0006,0.0006371,1273.67,0.8088
2019-08-06 12-AM,PAYETH,0.000595,0.0006,0.000595,0.0006,852.57,0.5115
2019-08-05 11-PM,PAYETH,0.000595,0.000595,0.000595,0.000595,0.0,0.0
2019-08-05 10-PM,PAYETH,0.0006,0.0006,0.000595,0.000595,717.51,0.4269
2019-08-05 09-PM,PAYETH,0.0006,0.0006,0.0006,0.0006,835.49,0.5013
2019-08-05 08-PM,PAYETH,0.0006,0.0006,0.0006,0.0006,0.0,0.0
2019-08-05 07-PM,PAYETH,0.0006,0.0006,0.0006,0.0006,0.0,0.0
2019-08-05 06-PM,PAYETH,0.0006026,0.0006026,0.0006,0.0006,1123.18,0.6739
2019-08-05 05-PM,PAYETH,0.0006026,0.0006026,0.0006026,0.0006026,0.0,0.0
2019-08-05 04-PM,PAYETH,0.0006026,0.0006026,0.0006026,0.0006026,0.0,0.0
2019-08-05 03-PM,PAYETH,0.0006026,0.0006026,0.0006026,0.0006026,0.0,0.0
2019-08-05 02-PM,PAYETH,0.0006026,0.0006026,0.0006026,0.0006026,0.0,0.0
2019-08-05 01-PM,PAYETH,0.0006026,0.0006026,0.0006026,0.0006026,0.0,0.0
2019-08-05 12-PM,PAYETH,0.0006123,0.0006123,0.0006006,0.0006026,1852.64,1.117
2019-08-05 11-AM,PAYETH,0.0006123,0.0006123,0.0006123,0.0006123,0.0,0.0
2019-08-05 10-AM,PAYETH,0.0006225,0.0006225,0.0006123,0.0006123,109.22,0.06687
2019-08-05 09-AM,PAYETH,0.000654,0.000654,0.0006225,0.0006225,577.78,0.3598
2019-08-05 08-AM,PAYETH,0.000654,0.000654,0.000654,0.000654,0.0,0.0
2019-08-05 07-AM,PAYETH,0.0007216,0.0007216,0.000654,0.000654,0.009751,6.38e-06
2019-08-05 06-AM,PAYETH,0.0006653,0.0007216,0.0006538,0.0007216,979.56,0.65
2019-08-05 05-AM,PAYETH,0.0006653,0.0006653,0.0006653,0.0006653,0.0,0.0
2019-08-05 04-AM,PAYETH,0.0006653,0.0006653,0.0006653,0.0006653,0.0,0.0
2019-08-05 03-AM,PAYETH,0.0006653,0.0006653,0.0006653,0.0006653,0.0,0.0
2019-08-05 02-AM,PAYETH,0.0006823,0.0006823,0.0006653,0.0006653,60.0,0.03992
2019-08-05 01-AM,PAYETH,0.0006941,0.0006941,0.0006819,0.0006823,657.81,0.4487
2019-08-05 12-AM,PAYETH,0.0006941,0.0006941,0.0006941,0.0006941,0.0,0.0
2019-08-04 11-PM,PAYETH,0.0006941,0.0006941,0.0006941,0.0006941,0.0,0.0
2019-08-04 10-PM,PAYETH,0.0006941,0.0006941,0.0006941,0.0006941,0.0,0.0
2019-08-04 09-PM,PAYETH,0.0007123,0.0007123,0.000694,0.0006941,650.98,0.4518
2019-08-04 08-PM,PAYETH,0.0007123,0.0007123,0.0007123,0.0007123,0.0,0.0
