Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
2019-08-07,BTCKRW,13787000,14043000,13545000,13874000,2153.52,29653557479.77
2019-08-06,BTCKRW,14192000,14551000,13414000,13787000,13517.21,189105050357.94
2019-08-05,BTCKRW,12969000,14239000,12953000,14192000,10876.52,149258524883.12
2019-08-04,BTCKRW,12791000,13050000,12460000,12969000,5532.17,70577766017.44
2019-08-03,BTCKRW,12586000,12888000,12542000,12791000,4096.37,52284924977.75
2019-08-02,BTCKRW,12300000,12775000,12216000,12586000,5596.96,69883064533.06
2019-08-01,BTCKRW,11962000,12412000,11678000,12300000,5381.08,64543155900.94
2019-07-31,BTCKRW,11343000,11969000,11320000,11962000,6001.0,70121443807.48
2019-07-30,BTCKRW,11287000,11500000,11141000,11343000,3216.18,36311654620.23
2019-07-29,BTCKRW,11330000,11550000,11150000,11287000,3655.36,41413081503.92
2019-07-28,BTCKRW,11307000,11450000,11000000,11330000,3524.92,39745755513.29
2019-07-27,BTCKRW,11668000,12019000,11145000,11307000,6305.65,72665263488.84
2019-07-26,BTCKRW,11740000,11740000,11450000,11668000,3152.7,36497199943.09
2019-07-25,BTCKRW,11610000,12107000,11565000,11740000,4814.45,57231686021.47
2019-07-24,BTCKRW,11793000,11816000,11340000,11610000,7029.99,81134041909.29
2019-07-23,BTCKRW,12325000,12326000,11760000,11793000,5720.54,68773758985.65
2019-07-22,BTCKRW,12582000,12684000,12094000,12325000,4817.57,59804198761.26
2019-07-21,BTCKRW,12778000,12840000,12295000,12582000,5352.94,67319446727.81
2019-07-20,BTCKRW,12534000,13109000,12401000,12778000,7473.4,94989981526.52
2019-07-19,BTCKRW,12660000,12800000,12200000,12534000,9452.06,117900959874.3
2019-07-18,BTCKRW,11643000,11757000,11415000,11676000,961.59,11094261180.74
2019-07-17,BTCKRW,11420000,12000000,10870000,11643000,19200.76,219783226878.91
