Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-08-04 07-AM,ETHMXN,4180.63,4234.7,4176.57,4234.7,1.313,5495.2
2019-08-04 06-AM,ETHMXN,4183.23,4183.23,4176.63,4180.63,0.5117,2138.36
2019-08-04 05-AM,ETHMXN,4175,4233.37,4164.07,4183.23,27.31,115199.77
2019-08-04 04-AM,ETHMXN,4274.02,4274.02,4175,4175,20.88,87890.28
2019-08-04 03-AM,ETHMXN,4280,4287.15,4250,4274.02,18.72,79668.34
2019-08-04 02-AM,ETHMXN,4313.98,4313.98,4270,4280,2.104,9050.19
2019-08-04 01-AM,ETHMXN,4265.14,4313.98,4255.02,4313.98,11.05,47316.92
2019-08-04 12-AM,ETHMXN,4255.06,4290,4255.06,4265.14,3.861,16465.73
2019-08-03 11-PM,ETHMXN,4255.02,4290,4255.02,4255.06,2.487,10602.88
2019-08-03 10-PM,ETHMXN,4300,4300,4255.02,4255.02,2.634,11228.62
2019-08-03 09-PM,ETHMXN,4310.8,4310.8,4255,4300,11.02,47246.94
2019-08-03 08-PM,ETHMXN,4313.12,4314.37,4250.51,4310.8,3.96,16972.7
2019-08-03 07-PM,ETHMXN,4298.75,4314.4,4240.01,4313.12,228.37,981067.2
2019-08-03 06-PM,ETHMXN,4238.01,4300.96,4238.01,4298.75,2.07,8877.38
2019-08-03 05-PM,ETHMXN,4299.68,4299.68,4230.15,4238.01,22.64,96920.51
2019-08-03 04-PM,ETHMXN,4225,4299.68,4225,4299.68,16.26,68924.35
2019-08-03 03-PM,ETHMXN,4294.98,4318.45,4225,4225,6.933,29456.38
2019-08-03 02-PM,ETHMXN,4295,4295,4233.63,4294.98,0.7048,2998.59
2019-08-03 01-PM,ETHMXN,4239.35,4319.48,4239.35,4295,5.304,22609.96
2019-08-03 12-PM,ETHMXN,4319.58,4319.58,4232.87,4239.35,2.887,12241.0
2019-08-03 11-AM,ETHMXN,4265.42,4319.97,4225.09,4319.58,2.604,11096.81
2019-08-03 10-AM,ETHMXN,4265.14,4265.42,4265.14,4265.42,0.0118,50.33
2019-08-03 09-AM,ETHMXN,4270.68,4270.68,4265.14,4265.14,0.2965,1264.53
2019-08-03 08-AM,ETHMXN,4262.18,4317.57,4262.18,4270.68,3.016,12974.93
2019-08-03 07-AM,ETHMXN,4314.7,4314.7,4248.76,4262.18,1.036,4417.07
2019-08-03 06-AM,ETHMXN,4316.91,4316.91,4225.13,4314.7,7.339,31347.76
2019-08-03 05-AM,ETHMXN,4246.76,4317.56,4244.06,4316.91,8.217,35405.9
2019-08-03 04-AM,ETHMXN,4293.87,4296.91,4215.03,4246.76,10.4,44416.07
2019-08-03 03-AM,ETHMXN,4250.39,4306.72,4213.7,4293.87,6.172,26325.21
2019-08-03 02-AM,ETHMXN,4215.27,4311.17,4168.85,4250.39,68.68,291863.68
2019-08-03 01-AM,ETHMXN,4156.05,4270.86,4156.05,4215.27,27.33,116244.27
2019-08-03 12-AM,ETHMXN,4159.85,4220,4151.79,4156.05,4.318,18042.17
2019-08-02 11-PM,ETHMXN,4217.76,4245.94,4150.18,4159.85,9.163,38556.7
2019-08-02 10-PM,ETHMXN,4183.96,4218,4129.26,4217.76,4.026,16836.21
2019-08-02 09-PM,ETHMXN,4172.51,4189.12,4100.02,4183.96,31.34,129360.97
2019-08-02 08-PM,ETHMXN,4215.15,4216.58,4133.3,4172.51,2.531,10572.12
2019-08-02 07-PM,ETHMXN,4174.09,4217.99,4141.99,4215.15,20.71,86344.39
2019-08-02 06-PM,ETHMXN,4201,4216.98,4154.72,4174.09,17.25,72067.64
2019-08-02 05-PM,ETHMXN,4189.99,4224.75,4151.05,4201,16.28,67993.22
2019-08-02 04-PM,ETHMXN,4249,4270,4161.99,4189.99,26.03,109584.61
2019-08-02 03-PM,ETHMXN,4274.58,4274.91,4225.84,4249,13.12,55740.02
2019-08-02 02-PM,ETHMXN,4272.73,4278.84,4212.92,4274.58,10.61,44971.24
2019-08-02 01-PM,ETHMXN,4284.89,4284.89,4224.01,4272.73,15.85,67133.76
2019-08-02 12-PM,ETHMXN,4225.49,4284.9,4225.49,4284.89,3.96,16827.79
2019-08-02 11-AM,ETHMXN,4224,4278.48,4224,4225.49,3.481,14880.56
2019-08-02 10-AM,ETHMXN,4224,4224,4224,4224,0.0,0.0
2019-08-02 09-AM,ETHMXN,4222.26,4285.15,4222.26,4224,1.507,6427.08
2019-08-02 08-AM,ETHMXN,4260,4283.38,4222.26,4222.26,1.362,5827.8
2019-08-02 07-AM,ETHMXN,4250,4286.59,4210.55,4260,3.21,13687.92
2019-08-02 06-AM,ETHMXN,4141.88,4250,4141.88,4250,9.465,39890.38
2019-08-02 05-AM,ETHMXN,4188.4,4188.8,4140.05,4141.88,0.1959,816.39
2019-08-02 04-AM,ETHMXN,4187.6,4189.93,4130.01,4188.4,9.356,38753.41
2019-08-02 03-AM,ETHMXN,4151,4189.94,4130.02,4187.6,2.767,11503.52
2019-08-02 02-AM,ETHMXN,4152.04,4189.84,4151,4151,17.97,74950.95
2019-08-02 01-AM,ETHMXN,4190,4190,4150.05,4152.04,4.1,17051.74
2019-08-02 12-AM,ETHMXN,4190,4190,4150.03,4190,7.815,32480.56
2019-08-01 11-PM,ETHMXN,4218.49,4218.49,4150.01,4190,7.203,30046.01
2019-08-01 10-PM,ETHMXN,4164,4223,4160,4218.49,6.938,29001.3
2019-08-01 09-PM,ETHMXN,4166.6,4234.17,4160.01,4164,36.68,153362.47
2019-08-01 08-PM,ETHMXN,4140,4230,4120.48,4166.6,39.91,166503.72
2019-08-01 07-PM,ETHMXN,4137,4160,4088.9,4140,66.9,275408.7
2019-08-01 06-PM,ETHMXN,4108.79,4145,4104.61,4137,25.77,106549.32
2019-08-01 05-PM,ETHMXN,4100,4134.83,4060.05,4108.79,21.91,89835.47
2019-08-01 04-PM,ETHMXN,4118,4137.33,4059.77,4100,18.02,74195.95
2019-08-01 03-PM,ETHMXN,4105,4118,4059.63,4118,7.313,30062.28
2019-08-01 02-PM,ETHMXN,4140.83,4140.83,4080.02,4105,4.42,18178.28
2019-08-01 01-PM,ETHMXN,4144.14,4144.14,4052.34,4140.83,3.896,15929.92
2019-08-01 12-PM,ETHMXN,4130.3,4144.72,4081.6,4144.14,27.27,111711.22
2019-08-01 11-AM,ETHMXN,4059.89,4139.38,4059.89,4130.3,0.2905,1200.0
2019-08-01 10-AM,ETHMXN,4063.77,4064.79,4059.89,4059.89,2.06,8369.45
2019-08-01 09-AM,ETHMXN,4124.29,4124.29,4063.77,4063.77,0.49,1991.25
2019-08-01 08-AM,ETHMXN,4128.82,4128.82,4124.29,4124.29,0.4851,2000.85
2019-08-01 07-AM,ETHMXN,4052.79,4136.29,4052.46,4128.82,1.805,7450.52
2019-08-01 06-AM,ETHMXN,4068.24,4135.87,4052.53,4052.79,145.82,591964.78
2019-08-01 05-AM,ETHMXN,4125,4147.1,4050.79,4068.24,137.25,565938.34
