Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume AST,Volume ETH
2019-07-03,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-07-02,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-07-01,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-30,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-29,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-28,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-27,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-26,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-25,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-24,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-23,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-22,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-21,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-20,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-19,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-18,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-17,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-16,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-15,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-14,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-13,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-12,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-11,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-10,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-09,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-08,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-07,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-06,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-05,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-04,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-03,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-02,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-06-01,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-31,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-30,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-29,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-28,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-27,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-26,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-25,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-24,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-23,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-22,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-21,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-20,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-19,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-18,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-17,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-16,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
2019-05-15,ASTETH,0.0002523,0.0002523,0.0002523,0.0002523,0.0,0.0
