Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2019-06-30 09-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 08-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 07-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 06-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 05-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 04-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 03-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 02-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 01-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-30 12-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 11-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 10-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 09-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 08-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 07-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 06-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 05-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 04-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 03-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 02-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 01-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 12-PM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 11-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 10-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 09-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 08-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 07-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 06-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 05-AM,LSKUSD,1.83,1.83,1.83,1.83,0.0,0.0
2019-06-29 04-AM,LSKUSD,1.98,1.98,1.83,1.83,3.716,6.8
2019-06-29 03-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-29 02-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-29 01-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-29 12-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 11-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 10-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 09-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
