Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DIM,Volume USD
2018-06-08 10-AM,DIMUSD,0.007,0.007,0.007,0.007,0.0,0.0
2018-06-08 09-AM,DIMUSD,0.007,0.007,0.0067,0.007,68.0,0.4727
2018-06-08 08-AM,DIMUSD,0.007,0.007,0.0067,0.007,1856.0,12.83
2018-06-08 07-AM,DIMUSD,0.0069,0.007,0.0069,0.007,26650.0,184.9
2018-06-08 06-AM,DIMUSD,0.0071,0.0071,0.0069,0.0069,24.0,0.1656
2018-06-08 05-AM,DIMUSD,0.0067,0.0071,0.0067,0.0071,224642.0,1546.04
2018-06-08 04-AM,DIMUSD,0.0064,0.0067,0.0062,0.0067,21661.0,140.3
2018-06-08 03-AM,DIMUSD,0.0065,0.0065,0.0064,0.0064,14105.0,91.39
2018-06-08 02-AM,DIMUSD,0.0067,0.0067,0.0065,0.0065,15130.0,98.39
2018-06-08 01-AM,DIMUSD,0.0067,0.0067,0.0067,0.0067,7424.0,49.74
2018-06-08 12-AM,DIMUSD,0.0064,0.0067,0.0063,0.0067,80899.0,532.04
2018-06-07 11-PM,DIMUSD,0.0069,0.0071,0.0058,0.0064,883714.0,5525.94
2018-06-07 10-PM,DIMUSD,0.0069,0.0069,0.0069,0.0069,3780.0,26.08
2018-06-07 09-PM,DIMUSD,0.0069,0.007,0.0069,0.0069,49.0,0.3405
2018-06-07 08-PM,DIMUSD,0.0069,0.0069,0.0068,0.0069,38.0,0.26
2018-06-07 07-PM,DIMUSD,0.0069,0.0069,0.0067,0.0069,41014.0,275.51
2018-06-07 06-PM,DIMUSD,0.0071,0.0071,0.0069,0.0069,17554.0,121.12
2018-06-07 05-PM,DIMUSD,0.0069,0.0071,0.0067,0.0071,146948.0,998.6
2018-06-07 04-PM,DIMUSD,0.0069,0.0071,0.0069,0.0069,15836.0,109.28
2018-06-07 03-PM,DIMUSD,0.007,0.0072,0.0069,0.0069,32788.0,226.29
2018-06-07 02-PM,DIMUSD,0.0072,0.0072,0.007,0.007,33950.0,237.65
2018-06-07 01-PM,DIMUSD,0.0072,0.0073,0.0069,0.0072,209045.0,1469.41
2018-06-07 12-PM,DIMUSD,0.007,0.0072,0.007,0.0072,1.0,0.0072
2018-06-07 11-AM,DIMUSD,0.0073,0.0073,0.007,0.007,51004.0,362.18
2018-06-07 10-AM,DIMUSD,0.0071,0.0073,0.0071,0.0073,12.0,0.0874
2018-06-07 09-AM,DIMUSD,0.0074,0.0074,0.0071,0.0071,1507.0,11.0
2018-06-07 08-AM,DIMUSD,0.0071,0.0074,0.0067,0.0074,534153.0,3727.97
2018-06-07 07-AM,DIMUSD,0.0071,0.0071,0.0071,0.0071,58343.0,414.24
2018-06-07 06-AM,DIMUSD,0.0071,0.0071,0.0071,0.0071,0.0,0.0
2018-06-07 05-AM,DIMUSD,0.0073,0.0073,0.0071,0.0071,12826.0,91.06
2018-06-07 04-AM,DIMUSD,0.0073,0.0073,0.0073,0.0073,0.0,0.0
2018-06-07 03-AM,DIMUSD,0.0073,0.0073,0.0071,0.0073,313.0,2.28
2018-06-07 02-AM,DIMUSD,0.0071,0.0073,0.0071,0.0073,63860.0,464.56
2018-06-07 01-AM,DIMUSD,0.007,0.0071,0.007,0.0071,24909.0,176.85
2018-06-07 12-AM,DIMUSD,0.0072,0.0072,0.007,0.007,23000.0,161.0
2018-06-06 11-PM,DIMUSD,0.0071,0.0072,0.0071,0.0072,132871.0,956.49
2018-06-06 10-PM,DIMUSD,0.0071,0.0071,0.0071,0.0071,155.0,1.1
2018-06-06 09-PM,DIMUSD,0.0072,0.0072,0.007,0.0071,3726.0,26.43
2018-06-06 08-PM,DIMUSD,0.0072,0.0072,0.0071,0.0072,13616.0,97.74
2018-06-06 07-PM,DIMUSD,0.0071,0.0072,0.0071,0.0072,5774.0,41.0
2018-06-06 06-PM,DIMUSD,0.0072,0.0072,0.0069,0.0071,279624.0,1944.35
2018-06-06 05-PM,DIMUSD,0.007,0.0072,0.007,0.0072,1354.0,9.62
2018-06-06 04-PM,DIMUSD,0.0071,0.0071,0.007,0.007,1.0,0.007
2018-06-06 03-PM,DIMUSD,0.007,0.0071,0.0069,0.0071,207674.0,1434.68
2018-06-06 02-PM,DIMUSD,0.0072,0.0073,0.007,0.007,217773.0,1528.59
2018-06-06 01-PM,DIMUSD,0.0072,0.0074,0.0071,0.0072,108064.0,773.22
2018-06-06 12-PM,DIMUSD,0.0074,0.0074,0.0072,0.0072,11671.0,85.5
2018-06-06 11-AM,DIMUSD,0.0072,0.0074,0.0071,0.0074,108278.0,784.9
2018-06-06 10-AM,DIMUSD,0.0072,0.0072,0.007,0.0072,222020.0,1567.65
