Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume AUD
2019-06-30 10-AM,ETHAUD,440.74,441.32,427.97,433.41,96.98,42014.56
2019-06-30 09-AM,ETHAUD,440.62,443.67,436.03,440.74,84.42,37203.22
2019-06-30 08-AM,ETHAUD,437,442.88,437,440.62,119.03,52367.85
2019-06-30 07-AM,ETHAUD,449.16,449.16,437,437,129.13,57119.64
2019-06-30 06-AM,ETHAUD,450.74,451.04,447.01,449.16,55.21,24852.07
2019-06-30 05-AM,ETHAUD,452.37,452.37,445.11,450.74,80.76,36104.81
2019-06-30 04-AM,ETHAUD,454.22,454.22,450,452.37,11.11,5010.03
2019-06-30 03-AM,ETHAUD,451.36,454.22,449.57,454.22,23.43,10601.34
2019-06-30 02-AM,ETHAUD,453.61,454.45,451.29,451.36,40.87,18487.97
2019-06-30 01-AM,ETHAUD,457.85,457.85,450.66,453.61,63.18,28594.74
2019-06-30 12-AM,ETHAUD,451.35,457.85,450,457.85,86.55,39375.18
2019-06-29 11-PM,ETHAUD,445.9,458.52,445.9,451.35,492.32,221960.01
2019-06-29 10-PM,ETHAUD,442.15,446.33,442.15,445.9,118.89,52727.96
2019-06-29 09-PM,ETHAUD,447.2,447.2,442.15,442.15,16.63,7389.94
2019-06-29 08-PM,ETHAUD,440.34,447.41,440.34,447.2,31.86,14165.57
2019-06-29 07-PM,ETHAUD,447,447,440.13,440.34,2.037,899.4
2019-06-29 06-PM,ETHAUD,446.26,447,442.11,447,10.57,4716.62
2019-06-29 05-PM,ETHAUD,434.16,446.4,434.16,446.26,67.44,29913.88
2019-06-29 04-PM,ETHAUD,436.62,437.31,428.72,434.16,38.62,16643.75
2019-06-29 03-PM,ETHAUD,438,438,435.1,436.62,10.07,4391.02
2019-06-29 02-PM,ETHAUD,436.3,438,434.28,438,45.02,19610.58
2019-06-29 01-PM,ETHAUD,439.14,441.56,434.96,436.3,31.97,13997.16
2019-06-29 12-PM,ETHAUD,439.37,440.21,438.14,439.14,101.34,44522.61
2019-06-29 11-AM,ETHAUD,434.75,440.38,434.75,439.37,21.8,9547.06
2019-06-29 10-AM,ETHAUD,427,434.75,427,434.75,63.23,27210.99
2019-06-29 09-AM,ETHAUD,429.22,433.28,427,427,142.61,61508.89
2019-06-29 08-AM,ETHAUD,432.63,432.86,427.05,429.22,75.71,32579.36
2019-06-29 07-AM,ETHAUD,434,434,431,432.63,30.16,13052.94
2019-06-29 06-AM,ETHAUD,428.08,434,427.25,434,13.45,5804.46
2019-06-29 05-AM,ETHAUD,429.04,432.1,428,428.08,94.64,40640.15
2019-06-29 04-AM,ETHAUD,423.18,429.04,421.16,429.04,158.43,67113.27
2019-06-29 03-AM,ETHAUD,428,429.08,423.18,423.18,94.55,40321.26
2019-06-29 02-AM,ETHAUD,437.81,437.81,424.99,428,278.04,119156.6
2019-06-29 01-AM,ETHAUD,441.29,443.34,437.81,437.81,43.18,19030.76
2019-06-29 12-AM,ETHAUD,445.19,445.25,439.52,441.29,124.9,55210.98
2019-06-28 11-PM,ETHAUD,443.91,446.98,442.61,445.19,88.25,39266.28
2019-06-28 10-PM,ETHAUD,442.09,446.99,437.59,443.91,330.5,146260.14
2019-06-28 09-PM,ETHAUD,435,442.78,435,442.09,194.03,85609.75
2019-06-28 08-PM,ETHAUD,444.25,445.07,435,435,53.65,23654.9
2019-06-28 07-PM,ETHAUD,437.45,445.33,437.45,444.25,38.33,17026.61
2019-06-28 06-PM,ETHAUD,437.8,439.07,437.45,437.45,6.878,3010.32
2019-06-28 05-PM,ETHAUD,437.28,437.92,433,437.8,43.48,18900.67
2019-06-28 04-PM,ETHAUD,436.95,437.6,434.5,437.28,35.8,15565.64
2019-06-28 03-PM,ETHAUD,435,440.42,435,436.95,46.24,20268.49
2019-06-28 02-PM,ETHAUD,433.7,438.82,433.7,435,20.45,8911.84
2019-06-28 01-PM,ETHAUD,431.56,436.22,430,433.7,128.61,55509.18
2019-06-28 12-PM,ETHAUD,442.46,442.46,430.7,431.56,52.45,22814.49
2019-06-28 11-AM,ETHAUD,440.06,442.46,438.98,442.46,150.04,66137.85
2019-06-28 10-AM,ETHAUD,443.75,445.22,438,440.06,52.04,22990.82
2019-06-28 09-AM,ETHAUD,437.23,444.85,436.32,443.75,167.54,73795.41
2019-06-28 08-AM,ETHAUD,423.44,438.63,423.44,437.23,59.72,25829.7
2019-06-28 07-AM,ETHAUD,432.18,433.2,423.39,423.44,58.57,25153.24
2019-06-28 06-AM,ETHAUD,421,433.02,421,432.18,30.62,13049.34
2019-06-28 05-AM,ETHAUD,422.67,422.67,418.8,421,61.15,25666.64
2019-06-28 04-AM,ETHAUD,420.54,423.84,418.58,422.67,157.92,66452.02
2019-06-28 03-AM,ETHAUD,420.32,421.59,417.12,420.54,97.01,40750.75
2019-06-28 02-AM,ETHAUD,425.43,429.8,420.32,420.32,242.76,103116.38
2019-06-28 01-AM,ETHAUD,429.86,433.02,425,425.43,154.47,66186.74
2019-06-28 12-AM,ETHAUD,416.1,433.91,413,429.86,376.48,161642.99
2019-06-27 11-PM,ETHAUD,419.9,423.16,411.91,416.1,163.94,68597.33
2019-06-27 10-PM,ETHAUD,413.01,421.17,412.2,419.9,127.58,53268.38
2019-06-27 09-PM,ETHAUD,409.34,417.82,400,413.01,359.23,147254.2
2019-06-27 08-PM,ETHAUD,411.08,412.8,389.08,409.34,508.15,202293.37
2019-06-27 07-PM,ETHAUD,415.6,419,406.8,411.08,280.69,114638.51
2019-06-27 06-PM,ETHAUD,415.7,424.81,412.39,415.6,171.71,71643.67
2019-06-27 05-PM,ETHAUD,422.88,422.88,402.55,415.7,352.82,144042.4
2019-06-27 04-PM,ETHAUD,435.55,441.02,417.35,422.88,485.23,206790.42
2019-06-27 03-PM,ETHAUD,442.12,443.74,435.55,435.55,47.08,20701.42
2019-06-27 02-PM,ETHAUD,435.78,444.35,427.3,442.12,334.77,146065.27
2019-06-27 01-PM,ETHAUD,436.58,440.14,433.78,435.78,137.19,59788.5
2019-06-27 12-PM,ETHAUD,448,448.68,436.43,436.58,241.49,106521.61
2019-06-27 11-AM,ETHAUD,436.06,451.13,436.06,448,233.8,104323.61
2019-06-27 10-AM,ETHAUD,437.1,447.32,435.01,436.06,269.96,119717.35
2019-06-27 09-AM,ETHAUD,446.7,447.49,425.81,437.1,1099.87,477257.76
2019-06-27 08-AM,ETHAUD,459.36,461.58,443.24,446.7,542.16,244866.62
2019-06-27 07-AM,ETHAUD,460.54,462.17,456.07,459.36,305.7,140854.67
2019-06-27 06-AM,ETHAUD,476.6,477.02,458.09,460.54,435.72,201965.83
2019-06-27 05-AM,ETHAUD,481.41,481.41,474.15,476.6,64.21,30574.97
2019-06-27 04-AM,ETHAUD,480.57,484.92,479.71,481.41,191.11,91999.37
2019-06-27 03-AM,ETHAUD,480.3,482.34,477.2,480.57,77.77,37316.27
2019-06-27 02-AM,ETHAUD,474.51,481.06,470.55,480.3,112.66,53609.18
2019-06-27 01-AM,ETHAUD,488,490.53,465.29,474.51,298.49,142030.61
2019-06-27 12-AM,ETHAUD,481.69,494.83,478.96,488,368.23,180154.9
2019-06-26 11-PM,ETHAUD,465.13,485.62,465.13,481.69,352.68,168772.63
2019-06-26 10-PM,ETHAUD,463,474.02,463,465.13,174.48,81602.78
2019-06-26 09-PM,ETHAUD,479.99,479.99,450,463,725.95,334789.03
2019-06-26 08-PM,ETHAUD,500.09,517.96,477,479.99,903.75,442159.87
2019-06-26 07-PM,ETHAUD,501.53,501.53,496.06,500.09,60.86,30356.53
2019-06-26 06-PM,ETHAUD,498.69,504.78,495.23,501.53,357.08,179047.19
2019-06-26 05-PM,ETHAUD,502.39,502.39,495.16,498.69,70.21,34952.82
2019-06-26 04-PM,ETHAUD,495.24,503.99,492.53,502.39,355.82,177614.89
