Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume CAD
2019-04-27,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-26,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-25,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-24,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-23,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-22,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-21,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-20,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-19,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-18,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-17,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-16,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-15,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-13,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-12,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-11,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-10,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-09,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-08,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-07,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-06,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-05,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-04,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-03,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-02,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-01,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-31,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-30,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-29,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-28,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-27,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-26,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-25,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-24,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-23,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-22,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-21,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-20,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-19,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-18,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-17,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-16,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-15,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-14,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-13,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-12,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-11,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-10,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-09,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-08,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-07,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-06,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-05,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-04,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-03,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-02,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-03-01,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-28,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-27,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-26,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-25,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-24,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-23,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-22,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-21,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-20,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-19,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-18,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-17,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-16,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-15,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-14,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-13,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-12,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-11,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-10,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-09,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-08,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-07,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-06,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-05,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-04,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-03,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-02,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-02-01,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-01-31,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-01-30,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-01-29,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-01-28,ETHCAD,174.59,175.98,162.05,163.29,672.62,112392.53
2019-01-27,ETHCAD,176.01,179,171.32,174.59,427.81,74499.39
2019-01-26,ETHCAD,177.97,183.18,176.01,176.01,565.77,100691.0
