Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PIV,Volume XLTC
2019-07-03,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-30,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-29,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-28,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-27,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-26,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-25,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-24,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-23,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-22,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-21,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-20,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-19,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-18,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-17,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-16,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-15,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-14,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-13,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-06-12,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
