Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-06-30 08-AM,BTCILS,41300,41300,40006.28,40006.28,1.16,47212.67
2019-06-30 07-AM,BTCILS,41700,41700,41300,41300,0.8395,34748.85
2019-06-30 06-AM,BTCILS,41700,41700,41700,41700,0.0,0.0
2019-06-30 05-AM,BTCILS,41700,41700,41000,41700,0.6859,28257.87
2019-06-30 04-AM,BTCILS,41700,41700,41000.16,41700,0.259,10697.6
2019-06-30 03-AM,BTCILS,41700,41700,41700,41700,0.0,0.0
2019-06-30 02-AM,BTCILS,41600,41700,41600,41700,0.8655,36087.78
2019-06-30 01-AM,BTCILS,41600,41600,41600,41600,0.0,0.0
2019-06-30 12-AM,BTCILS,41600,41600,41600,41600,0.0,0.0
2019-06-29 11-PM,BTCILS,41600,41600,41600,41600,0.0,0.0
2019-06-29 10-PM,BTCILS,41600,41600,41600,41600,0.0,0.0
2019-06-29 09-PM,BTCILS,41600,41600,41600,41600,0.0,0.0
2019-06-29 08-PM,BTCILS,40479.92,41600,40479.92,41600,0.06256,2602.34
2019-06-29 07-PM,BTCILS,41599,41599,40479.92,40479.92,0.03102,1269.12
2019-06-29 06-PM,BTCILS,41600,41600,40654.58,41599,0.02739,1122.28
2019-06-29 05-PM,BTCILS,41000,41699,40076.25,41600,0.2625,10709.59
2019-06-29 04-PM,BTCILS,41651,41651,41000,41000,0.003561,146.0
2019-06-29 03-PM,BTCILS,41000,41651,41000,41651,0.02401,1000.0
2019-06-29 02-PM,BTCILS,41000,41000,41000,41000,0.0,0.0
2019-06-29 01-PM,BTCILS,41000,41000,41000,41000,0.0,0.0
2019-06-29 12-PM,BTCILS,40999.25,41000,40999.25,41000,2.889,118448.95
2019-06-29 11-AM,BTCILS,40999.24,40999.25,40999.24,40999.25,0.07275,2982.5
2019-06-29 10-AM,BTCILS,40936.12,40999.24,40936.12,40999.24,0.004676,191.72
2019-06-29 09-AM,BTCILS,39807.82,40936.12,39600,40936.12,0.7108,28457.09
2019-06-29 08-AM,BTCILS,39807.82,39807.82,39807.82,39807.82,0.0,0.0
2019-06-29 07-AM,BTCILS,39151.38,39807.82,39151.38,39807.82,0.001381,54.97
2019-06-29 06-AM,BTCILS,40992.86,40999.25,39151.38,39151.38,0.784,31393.26
2019-06-29 05-AM,BTCILS,41000,41000,40992.86,40992.86,0.02439,999.83
2019-06-29 04-AM,BTCILS,41000,41000,41000,41000,0.0,0.0
2019-06-29 03-AM,BTCILS,41100,41100,41000,41000,0.007244,297.0
2019-06-29 02-AM,BTCILS,42000,42000,41100,41100,0.0145,596.1
2019-06-29 01-AM,BTCILS,42000,42000,42000,42000,0.0,0.0
2019-06-29 12-AM,BTCILS,42000,42000,42000,42000,0.09107,3824.88
2019-06-28 11-PM,BTCILS,42000,42000,42000,42000,0.08,3360.0
2019-06-28 10-PM,BTCILS,42000,42000,42000,42000,0.0,0.0
2019-06-28 09-PM,BTCILS,41200.16,42000,41200.16,42000,0.1283,5390.6
2019-06-28 08-PM,BTCILS,42399,42800,41200,41200.16,1.974,82584.33
2019-06-28 07-PM,BTCILS,41931.21,42399,41931.21,42399,0.491,20777.16
2019-06-28 06-PM,BTCILS,41944.16,41944.16,41931.21,41931.21,0.01,419.47
2019-06-28 05-PM,BTCILS,41159,41944.16,41159,41944.16,0.04744,1980.2
2019-06-28 04-PM,BTCILS,41497.14,41497.14,41159,41159,0.01212,499.33
2019-06-28 03-PM,BTCILS,41497.14,41497.14,41497.14,41497.14,0.0,0.0
2019-06-28 02-PM,BTCILS,41207.18,41497.14,39750.81,41497.14,0.5117,20455.84
2019-06-28 01-PM,BTCILS,41050,41207.18,39666,41207.18,1.512,61340.05
2019-06-28 12-PM,BTCILS,42799.84,42799.84,41050,41050,2.293,94754.01
2019-06-28 11-AM,BTCILS,41050,42799.84,41050,42799.84,0.8988,38254.2
2019-06-28 10-AM,BTCILS,41858.95,42000,41050,41050,0.7269,30160.91
