Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUR
2018-08-22 11-PM,LTCRUR,3845.53,3845.53,3845.53,3845.53,0.0,0.0
2018-08-22 10-PM,LTCRUR,3800.1,3851.1,3800.1,3845.53,1.08,4150.91
2018-08-22 09-PM,LTCRUR,3838.03,3851.1,3791.31,3800.1,1.92,7352.77
2018-08-22 08-PM,LTCRUR,3792.42,3838.03,3791.43,3838.03,5.94,22775.8
2018-08-22 07-PM,LTCRUR,3825.91,3874.26,3760.1,3792.42,14.67,55940.02
2018-08-22 06-PM,LTCRUR,3852.12,3852.12,3815,3825.91,13.1,50173.99
2018-08-22 05-PM,LTCRUR,3832.38,3874.26,3829.58,3852.12,6.28,24203.92
2018-08-22 04-PM,LTCRUR,3903.28,3903.28,3832.38,3832.38,9.77,37702.4
2018-08-22 03-PM,LTCRUR,3929.01,3930,3834,3903.28,18.21,71235.06
2018-08-22 02-PM,LTCRUR,3900,3930,3897.07,3929.01,4.62,18063.66
2018-08-22 01-PM,LTCRUR,3888,3900,3851,3900,19.52,75367.8
2018-08-22 12-PM,LTCRUR,3874,3888,3854.91,3888,43.26,167574.38
2018-08-22 11-AM,LTCRUR,3874,3874,3826.5,3874,12.78,49389.76
2018-08-22 10-AM,LTCRUR,3874,3874,3833.98,3874,14.81,57348.22
2018-08-22 09-AM,LTCRUR,3896.52,3896.52,3824.08,3874,11.45,44247.75
2018-08-22 08-AM,LTCRUR,3898,3898,3820.63,3896.52,6.75,26174.36
2018-08-22 07-AM,LTCRUR,3820,3900,3820,3898,9.89,38257.14
2018-08-22 06-AM,LTCRUR,3863.84,3904.11,3815,3820,2.79,10690.38
2018-08-22 05-AM,LTCRUR,3801.1,3909,3801.1,3863.84,6.0,22934.52
2018-08-22 04-AM,LTCRUR,3902.5,3911.81,3800,3801.1,4.06,15626.93
2018-08-22 03-AM,LTCRUR,3885.01,3911.81,3832.64,3902.5,7.78,29904.55
2018-08-22 02-AM,LTCRUR,3907.77,3907.77,3885.01,3885.01,5.35,20909.17
2018-08-22 01-AM,LTCRUR,3812.26,3911.81,3809,3907.77,18.3,71230.14
2018-08-22 12-AM,LTCRUR,3878,3878,3812.26,3812.26,0.4641,1769.26
2018-08-21 11-PM,LTCRUR,3844.28,3878,3844.28,3878,4.44,17217.08
2018-08-21 10-PM,LTCRUR,3868,3871,3792.83,3844.28,2.22,8559.98
2018-08-21 09-PM,LTCRUR,3867.23,3868,3795.01,3868,0.8428,3251.26
2018-08-21 08-PM,LTCRUR,3790,3868,3790,3867.23,0.996,3850.83
2018-08-21 07-PM,LTCRUR,3849.36,3868,3790,3790,22.52,85986.77
2018-08-21 06-PM,LTCRUR,3820,3849.36,3776,3849.36,18.83,72149.32
2018-08-21 05-PM,LTCRUR,3767,3820,3767,3820,6.37,24335.52
2018-08-21 04-PM,LTCRUR,3750.36,3786.38,3750.35,3767,8.4,31765.95
2018-08-21 03-PM,LTCRUR,3786.38,3786.38,3750.36,3750.36,3.45,12994.3
2018-08-21 02-PM,LTCRUR,3807.71,3820,3786.38,3786.38,3.89,14829.37
2018-08-21 01-PM,LTCRUR,3850,3850,3807.71,3807.71,9.17,35159.08
2018-08-21 12-PM,LTCRUR,3826.64,3853.22,3701,3850,16.26,61456.66
2018-08-21 11-AM,LTCRUR,3805,3856,3792,3826.64,17.67,67308.87
2018-08-21 10-AM,LTCRUR,3790,3850,3790,3805,12.19,46401.29
2018-08-21 09-AM,LTCRUR,3827,3850,3785.55,3790,11.31,43419.82
2018-08-21 08-AM,LTCRUR,3820,3828.44,3781,3827,2.84,10818.38
