Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-06-30 03-PM,BTCEUR,9906.64,9906.64,9817.63,9883.35,0.01552,153.37
2019-06-30 02-PM,BTCEUR,9700,9924.52,9548.42,9906.64,2.36,22916.69
2019-06-30 01-PM,BTCEUR,10142.34,10142.34,9700,9700,1.442,14387.85
2019-06-30 12-PM,BTCEUR,10133.07,10341.08,10133.07,10142.34,0.5643,5811.35
2019-06-30 11-AM,BTCEUR,10201,10201,10133.07,10133.07,0.1702,1728.1
2019-06-30 10-AM,BTCEUR,10362.99,10494.97,10201,10201,1.132,11607.74
2019-06-30 09-AM,BTCEUR,10430,10478.99,10340,10362.99,0.3413,3547.58
2019-06-30 08-AM,BTCEUR,10330,10497.47,10330,10430,0.497,5183.5
2019-06-30 07-AM,BTCEUR,10556.98,10556.98,10330,10330,1.055,11064.13
2019-06-30 06-AM,BTCEUR,10634.23,10726.82,10556.98,10556.98,0.1551,1653.36
2019-06-30 05-AM,BTCEUR,10590.24,10656.21,10590.24,10634.23,0.02607,277.17
2019-06-30 04-AM,BTCEUR,10611.93,10650,10574.91,10590.24,0.0401,425.9
2019-06-30 03-AM,BTCEUR,10611.93,10611.93,10611.93,10611.93,0.0,0.0
2019-06-30 02-AM,BTCEUR,10643.87,10643.87,10564.3,10611.93,0.002747,29.09
2019-06-30 01-AM,BTCEUR,10643.87,10643.87,10643.87,10643.87,0.0,0.0
2019-06-30 12-AM,BTCEUR,10480.37,10643.87,10480.37,10643.87,0.08703,913.95
2019-06-29 11-PM,BTCEUR,10593.77,10593.77,10480.37,10480.37,0.07285,763.54
2019-06-29 10-PM,BTCEUR,10593.77,10593.77,10593.77,10593.77,0.0,0.0
2019-06-29 09-PM,BTCEUR,10726.52,10765,10593.77,10593.77,0.3577,3799.35
2019-06-29 08-PM,BTCEUR,10477.55,10743.22,10460,10726.52,0.1006,1057.72
2019-06-29 07-PM,BTCEUR,10497.49,10497.49,10477.55,10477.55,0.001932,20.24
2019-06-29 06-PM,BTCEUR,10391.54,10497.49,10391.54,10497.49,0.01933,202.95
2019-06-29 05-PM,BTCEUR,10482,10562.33,10384.95,10391.54,0.2908,3024.82
2019-06-29 04-PM,BTCEUR,10465.84,10482,10340,10482,0.1162,1215.81
2019-06-29 03-PM,BTCEUR,10517.27,10546.72,10461.46,10465.84,0.05593,586.1
2019-06-29 02-PM,BTCEUR,10595.52,10595.52,10461.88,10517.27,0.01765,185.78
2019-06-29 01-PM,BTCEUR,10650,10650,10586.43,10595.52,0.3521,3731.41
2019-06-29 12-PM,BTCEUR,10550,10650,10550,10650,0.7911,8362.27
2019-06-29 11-AM,BTCEUR,10323,10562.51,10323,10550,0.03792,394.38
2019-06-29 10-AM,BTCEUR,10271.48,10323,10271.48,10323,0.06228,640.07
2019-06-29 09-AM,BTCEUR,10595.96,10595.96,10271.48,10271.48,1.529,15800.39
2019-06-29 08-AM,BTCEUR,10574.85,10834.99,10353.74,10595.96,0.02263,238.09
2019-06-29 07-AM,BTCEUR,10486.12,10574.85,10486.12,10574.85,0.02644,278.51
2019-06-29 06-AM,BTCEUR,10200,10486.12,10200,10486.12,0.009548,100.12
2019-06-29 05-AM,BTCEUR,10200,10200,10200,10200,0.0,0.0
2019-06-29 04-AM,BTCEUR,10300,10300,10200,10200,1.975,20345.8
