Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume GBP
2019-07-03,BTCGBP,8600,9191,8600,9022,136.82,1224200.14
2019-07-02,BTCGBP,8422,8678,7651,8600,559.95,4557765.15
2019-07-01,BTCGBP,8440,8819,7900,8422,402.89,3374858.34
2019-06-30,BTCGBP,9399,9570,8440,8440,177.32,1590818.51
2019-06-29,BTCGBP,9780,9780,8961,9399,240.93,2252506.26
2019-06-28,BTCGBP,8769,9794,8500,9780,520.82,4832310.94
2019-06-27,BTCGBP,10168,10500,8128,8769,1027.82,9575868.96
2019-06-26,BTCGBP,9252,10919,9151,10168,1062.92,10651486.42
2019-06-25,BTCGBP,8657,9283,8643,9252,740.14,6567446.13
2019-06-24,BTCGBP,8484,8708,8300,8657,438.21,3748430.84
2019-06-23,BTCGBP,8432,8815,8221,8484,195.05,1648777.69
2019-06-22,BTCGBP,8005,8800,7900,8432,567.49,4792362.44
2019-06-21,BTCGBP,7508,8005,7508,8005,511.35,3953745.81
2019-06-20,BTCGBP,7344,7553,7250,7508,389.01,2873618.23
2019-06-19,BTCGBP,7277,7354,7176,7344,334.29,2420810.76
2019-06-18,BTCGBP,7445,7448,7143,7277,203.17,1481710.34
2019-06-17,BTCGBP,7144,7550,7144,7445,295.37,2172641.7
2019-06-16,BTCGBP,7000,7444,7000,7144,229.13,1657562.02
2019-06-15,BTCGBP,6900,7049,6854,7000,124.27,860712.98
2019-06-14,BTCGBP,6494,6900,6470,6900,302.87,2015188.16
2019-06-13,BTCGBP,6439,6563,6384,6494,264.32,1708812.03
2019-06-12,BTCGBP,6224,6480,6206,6439,289.71,1837559.88
2019-06-11,BTCGBP,6300,6330,6080,6224,220.79,1372218.48
2019-06-10,BTCGBP,6023,6372,5929,6300,254.12,1579613.12
2019-06-09,BTCGBP,6244,6256,5939,6023,126.25,771329.52
2019-06-08,BTCGBP,6347,6347,6150,6244,99.22,619094.12
2019-06-07,BTCGBP,6147,6379,6114,6347,371.84,2327486.01
2019-06-06,BTCGBP,6147,6189,5900,6147,389.62,2377885.62
2019-06-05,BTCGBP,6030,6228,5982,6147,392.9,2404586.21
2019-06-04,BTCGBP,6408,6408,5900,6030,579.56,3587908.96
2019-06-03,BTCGBP,6920,6920,6408,6408,390.97,2623705.67
2019-06-02,BTCGBP,6824,6992,6815,6920,246.85,1702231.38
2019-06-01,BTCGBP,6789,6836,6741,6824,38.02,258145.47
2019-05-31,BTCGBP,6596,6812,6475,6789,285.39,1906374.61
2019-05-30,BTCGBP,6868,7210,6355,6596,410.8,2792463.44
2019-05-29,BTCGBP,6916,6942,6673,6868,273.09,1870638.85
2019-05-28,BTCGBP,6983,6983,6782,6916,234.26,1612680.34
2019-05-27,BTCGBP,6900,7046,6842,6983,105.17,731284.32
2019-05-26,BTCGBP,6374,6910,6227,6900,317.28,2090454.7
2019-05-25,BTCGBP,6298,6410,6280,6374,41.82,265563.03
2019-05-24,BTCGBP,6236,6446,6209,6298,227.42,1442140.45
2019-05-23,BTCGBP,6091,6299,5966,6236,188.69,1152737.83
2019-05-22,BTCGBP,6288,6348,6001,6091,274.66,1716206.15
2019-05-21,BTCGBP,6250,6390,6177,6288,289.94,1814060.34
2019-05-20,BTCGBP,6460,6460,5973,6250,509.13,3146885.11
2019-05-19,BTCGBP,5709,6500,5709,6460,272.6,1710022.26
2019-05-18,BTCGBP,5780,5842,5689,5709,268.83,1548163.47
2019-05-17,BTCGBP,6118,6202,5314,5780,574.25,3264459.05
2019-05-16,BTCGBP,6417,6529,6020,6118,437.61,2718898.95
2019-05-15,BTCGBP,6210,6434,6103,6417,425.71,2670873.68
2019-05-14,BTCGBP,6078,6448,5951,6210,527.92,3295852.24
2019-05-13,BTCGBP,5372,6355,5296,6078,573.64,3315877.56
2019-05-12,BTCGBP,5586,5825,5233,5372,370.48,2050844.74
2019-05-11,BTCGBP,4890,5715,4890,5586,290.78,1522716.98
2019-05-10,BTCGBP,4728,4953,4728,4890,250.54,1216390.07
2019-05-09,BTCGBP,4550,4758,4550,4728,178.86,833462.97
2019-05-08,BTCGBP,4424,4600,4346,4550,228.93,1032114.58
2019-05-07,BTCGBP,4349,4515,4349,4507,126.46,564760.0
2019-05-06,BTCGBP,4348,4385,4244,4349,97.39,420371.53
2019-05-05,BTCGBP,4388,4403,4295,4348,163.89,713005.07
2019-05-04,BTCGBP,4312,4418,4218,4388,139.09,604235.44
2019-05-03,BTCGBP,4142,4449,4123,4312,515.25,2220385.51
2019-05-02,BTCGBP,4083,4171,4069,4142,452.51,1862160.26
2019-05-01,BTCGBP,4039,4091,4039,4083,330.64,1343317.36
2019-04-30,BTCGBP,4007,4058,3969,4039,303.64,1217665.68
2019-04-29,BTCGBP,3994,4018,3950,4007,196.72,784936.14
2019-04-28,BTCGBP,4030,4040,3971,3994,33.13,133035.85
2019-04-27,BTCGBP,4001,4045,3981,4030,64.28,257245.32
2019-04-26,BTCGBP,3971,4125,3919,4001,293.45,1175678.19
2019-04-25,BTCGBP,4228,4284,3971,3971,186.28,774720.0
2019-04-24,BTCGBP,4264,4346,4171,4228,295.97,1258847.86
2019-04-23,BTCGBP,4145,4338,4144,4264,242.07,1035538.8
2019-04-22,BTCGBP,4078,4160,4054,4145,101.37,417643.76
2019-04-21,BTCGBP,4101,4101,4019,4078,108.45,440463.0
2019-04-20,BTCGBP,4067,4136,4049,4101,215.37,880273.83
2019-04-19,BTCGBP,4067,4100,4004,4067,173.15,703129.82
2019-04-18,BTCGBP,4014,4089,4014,4067,401.32,1622400.62
2019-04-17,BTCGBP,3989,4039,3981,4014,243.23,974721.51
2019-04-16,BTCGBP,3859,4008,3847,3989,144.12,566144.41
2019-04-15,BTCGBP,3947,3965,3793,3859,261.06,1021788.14
2019-04-14,BTCGBP,3898,3963,3850,3947,97.14,379216.4
2019-04-13,BTCGBP,3884,3914,3870,3898,45.05,175917.61
2019-04-12,BTCGBP,3886,3908,3793,3884,166.54,643862.7
2019-04-11,BTCGBP,4078,4080,3822,3886,124.81,486576.1
