Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DIM,Volume USD
2018-06-11,DIMUSD,0,0.0059,0,0.0059,0.0,0.0
2018-06-09,DIMUSD,0.0063,0.0066,0.0057,0.0061,1826750.0,11058.08
2018-06-08,DIMUSD,0.0064,0.0071,0.006,0.0063,861759.0,5659.66
2018-06-07,DIMUSD,0.0072,0.0074,0.0058,0.0064,2154644.0,14401.74
2018-06-06,DIMUSD,0.0074,0.0075,0.0067,0.0072,2637993.0,18580.25
2018-06-05,DIMUSD,0.0072,0.0074,0.0069,0.0074,2871912.0,20635.77
2018-06-04,DIMUSD,0.0076,0.0078,0.0071,0.0072,2637300.0,19367.07
2018-06-03,DIMUSD,0.0077,0.0079,0.0069,0.0076,3086194.0,22899.01
2018-06-02,DIMUSD,0.0072,0.0085,0.0069,0.0077,7735496.0,60151.05
2018-06-01,DIMUSD,0.0068,0.0076,0.0064,0.0072,7900527.0,55736.72
2018-05-31,DIMUSD,0.0064,0.007,0.006,0.0068,3998029.0,25824.8
2018-05-30,DIMUSD,0.0066,0.0068,0.006,0.0064,2864962.0,18501.9
2018-05-29,DIMUSD,0.0068,0.0069,0.0064,0.0066,2889267.0,19014.49
2018-05-28,DIMUSD,0.0068,0.007,0.0064,0.0068,2919477.0,19401.81
2018-05-27,DIMUSD,0.0067,0.0073,0.0064,0.0068,1237395.0,8163.02
2018-05-26,DIMUSD,0.0065,0.0071,0.0062,0.0067,3627122.0,24756.02
2018-05-25,DIMUSD,0.0063,0.0068,0.006,0.0065,1939616.0,12365.06
2018-05-24,DIMUSD,0.0058,0.0064,0.0056,0.0063,762618.0,4636.83
2018-05-23,DIMUSD,0.0065,0.0071,0.0055,0.0058,2364865.0,14929.58
2018-05-22,DIMUSD,0.0076,0.0084,0.0056,0.0065,6916972.0,49577.05
2018-05-21,DIMUSD,0.0072,0.0084,0.0072,0.0076,3017513.0,23399.41
2018-05-20,DIMUSD,0.0074,0.0076,0.0068,0.0072,1611169.0,11579.15
2018-05-19,DIMUSD,0.0069,0.0077,0.0068,0.0074,1359576.0,9933.53
2018-05-18,DIMUSD,0.0079,0.0086,0.0066,0.0069,3522144.0,26486.29
2018-05-17,DIMUSD,0.0082,0.0086,0.007,0.0079,4201502.0,32402.42
2018-05-16,DIMUSD,0.0075,0.0082,0.0074,0.0082,2448572.0,18869.44
2018-05-15,DIMUSD,0.008,0.0086,0.0074,0.0075,3123609.0,24602.95
2018-05-14,DIMUSD,0.0076,0.0083,0.007,0.008,1366559.0,10532.08
2018-05-13,DIMUSD,0.0075,0.0078,0.0068,0.0076,965619.0,7096.23
2018-05-12,DIMUSD,0.0075,0.0081,0.0069,0.0075,1174074.0,8737.65
2018-05-11,DIMUSD,0.0083,0.0083,0.007,0.0075,1447329.0,10985.38
2018-05-10,DIMUSD,0.0088,0.009,0.0079,0.0083,3550996.0,29566.56
2018-05-09,DIMUSD,0.0088,0.0091,0.0081,0.0088,2293285.0,19593.14
2018-05-08,DIMUSD,0.009,0.01,0.008,0.0088,4672904.0,41513.41
2018-05-07,DIMUSD,0.0092,0.0094,0.0083,0.009,2986313.0,26356.08
2018-05-06,DIMUSD,0.0094,0.0105,0.0088,0.0092,2756677.0,26145.54
2018-05-05,DIMUSD,0.0094,0.0104,0.0081,0.0094,2835629.0,26197.77
2018-05-04,DIMUSD,0.01,0.0101,0.0082,0.0094,3844486.0,34964.71
2018-05-03,DIMUSD,0.011,0.0115,0.0092,0.01,7190902.0,72979.7
2018-05-02,DIMUSD,0.0089,0.0159,0.0086,0.011,21780862.0,257496.33
2018-05-01,DIMUSD,0.0069,0.0102,0.0066,0.0089,11714375.0,93202.66
2018-04-30,DIMUSD,0.0066,0.008,0.0066,0.0069,9659045.0,69783.38
2018-04-29,DIMUSD,0.0065,0.0067,0.0061,0.0066,3080761.0,19616.3
2018-04-28,DIMUSD,0.0061,0.0066,0.0059,0.0065,2439776.0,15116.83
2018-04-27,DIMUSD,0.0061,0.0071,0.0056,0.0061,3880832.0,24233.73
2018-04-26,DIMUSD,0.0064,0.0069,0.0055,0.0061,6585648.0,39648.57
2018-04-25,DIMUSD,0.0083,0.0086,0.0058,0.0064,11084249.0,76178.95
2018-04-24,DIMUSD,0.005,0.0089,0.0046,0.0083,19918992.0,146217.07
2018-04-23,DIMUSD,0.0042,0.0063,0.0041,0.005,8390920.0,42039.79
2018-04-22,DIMUSD,0.0043,0.0044,0.004,0.0042,3505310.0,14830.98
2018-04-21,DIMUSD,0.0044,0.0045,0.0041,0.0043,2715528.0,11640.92
2018-04-20,DIMUSD,0.0041,0.0045,0.0037,0.0044,4587164.0,18645.14
2018-04-19,DIMUSD,0.004,0.0044,0.0038,0.0041,3830791.0,15565.01
2018-04-18,DIMUSD,0.0044,0.0045,0.0038,0.004,5164396.0,21370.37
2018-04-17,DIMUSD,0.0043,0.0046,0.0041,0.0044,2345439.0,10133.01
2018-04-16,DIMUSD,0.0046,0.0046,0.004,0.0043,2063951.0,8843.23
2018-04-15,DIMUSD,0.0042,0.0048,0.004,0.0046,1845120.0,8235.05
