Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume INR
2019-07-03 10-AM,BTCINR,395283,395283,394164,394164,0.0,0.0
2019-07-03 09-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 08-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 07-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 06-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 05-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 04-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 03-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 02-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 01-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-03 12-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 11-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 10-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 09-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 08-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 07-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 06-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 05-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 04-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 03-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 02-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 01-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 12-PM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 11-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 10-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 09-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 08-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 07-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 06-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 05-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 04-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 03-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 02-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-02 01-AM,BTCINR,395283,395283,395283,395283,0.0,0.0
