Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2018-06-11,BTGUSD,36.16,37.06,35.2,36.83,8248.49,300545.65
2018-06-10,BTGUSD,43.35,43.4,35.37,36.16,36398.17,1445208.9
2018-06-09,BTGUSD,43.68,44.07,43.22,43.35,23719.99,1037552.97
2018-06-08,BTGUSD,44.97,45.01,43.27,43.68,25355.01,1115936.55
2018-06-07,BTGUSD,44.97,45.85,44.77,44.97,25627.51,1159405.93
2018-06-06,BTGUSD,45.81,45.86,44.12,44.97,29356.77,1318312.34
2018-06-05,BTGUSD,44.28,46.22,43.6,45.81,23476.47,1057013.48
2018-06-04,BTGUSD,46.92,47.48,43.26,44.28,16460.2,736195.8
2018-06-03,BTGUSD,45.37,47.92,44.89,46.92,12860.24,595616.08
2018-06-02,BTGUSD,43.88,45.81,43.38,45.37,10257.77,460782.26
2018-06-01,BTGUSD,44.43,44.98,42.78,43.88,10570.26,463620.69
2018-05-31,BTGUSD,42.29,45.65,41.35,44.43,16388.96,708816.39
2018-05-30,BTGUSD,43.29,44.96,41.37,42.29,15709.34,668541.03
2018-05-29,BTGUSD,40.44,43.99,40.22,43.29,17781.07,742677.79
2018-05-28,BTGUSD,44.49,44.94,40.39,40.44,19112.93,809639.12
2018-05-27,BTGUSD,44.52,44.6,43.9,44.49,13011.81,575979.28
2018-05-26,BTGUSD,45.42,46.08,44.38,44.52,17233.95,779074.03
2018-05-25,BTGUSD,47.05,47.2,44.46,45.42,13961.85,641245.29
2018-05-24,BTGUSD,45.01,47.49,44.43,47.05,15492.41,713924.34
2018-05-23,BTGUSD,50.4,50.54,44.73,45.01,18162.73,865548.16
2018-05-22,BTGUSD,53.72,53.82,50.34,50.4,13325.13,695124.84
2018-05-21,BTGUSD,56.01,56.04,53.02,53.72,10093.72,549883.37
2018-05-20,BTGUSD,52.94,56.55,52.73,56.01,11007.34,599184.48
2018-05-19,BTGUSD,54.47,54.48,51.8,52.94,14308.25,762436.66
2018-05-18,BTGUSD,53,54.48,51.82,54.47,10637.58,564768.1
2018-05-17,BTGUSD,59.7,59.7,52,53,10675.95,595071.24
2018-05-16,BTGUSD,57.8,59.84,53.7,59.7,9404.95,530554.37
2018-05-15,BTGUSD,58.01,67.99,56.96,57.8,15579.45,943212.44
2018-05-14,BTGUSD,59.41,59.95,55.3,58.01,10425.39,602114.54
2018-05-13,BTGUSD,57.24,59.99,55.3,59.41,8098.5,468900.03
2018-05-12,BTGUSD,56.56,59.4,53.15,57.24,11581.62,651533.97
2018-05-11,BTGUSD,64.28,65.18,54.97,56.56,12476.0,746351.4
2018-05-10,BTGUSD,69.65,70.69,64.22,64.28,7052.72,484212.78
2018-05-09,BTGUSD,71.68,71.68,65.6,69.65,11279.79,775689.71
2018-05-08,BTGUSD,72.95,75.17,69.48,71.68,9743.99,700454.88
2018-05-07,BTGUSD,77.57,77.57,70.84,72.95,9682.76,708470.73
2018-05-06,BTGUSD,80.7,84.62,74.52,77.57,13339.33,1060967.25
2018-05-05,BTGUSD,75.03,82.35,74.76,80.7,13409.01,1051577.38
2018-05-04,BTGUSD,77.12,77.49,73.49,75.03,10903.19,824193.97
2018-05-03,BTGUSD,75.85,77.56,73.3,77.12,12603.45,958346.79
2018-05-02,BTGUSD,71.37,76.52,70.47,75.85,9968.08,736902.85
2018-05-01,BTGUSD,72.84,73.02,68.63,71.37,9305.33,653576.33
