Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USD
2019-08-07,ETCUSD,5.85,5.85,5.85,5.85,0.0,0.0
2019-08-06,ETCUSD,6.178,6.256,5.801,5.85,7920.39,48310.01
2019-08-05,ETCUSD,6.182,6.351,6.123,6.178,4783.17,29807.02
2019-08-04,ETCUSD,5.87,6.15,5.841,6.105,3835.43,23157.21
2019-08-03,ETCUSD,5.879,5.879,5.879,5.879,0.0,0.0
2019-08-02,ETCUSD,5.976,6.03,5.816,5.879,3878.76,23049.95
2019-08-01,ETCUSD,6.015,6.015,6.015,6.015,0.0,0.0
2019-07-31,ETCUSD,5.938,6.067,5.812,6.015,15944.14,95814.67
2019-07-30,ETCUSD,5.905,6,5.822,5.925,1118.77,6610.14
2019-07-29,ETCUSD,5.918,5.918,5.918,5.918,0.0,0.0
2019-07-28,ETCUSD,5.946,6.005,5.55,5.918,4332.3,25283.32
2019-07-27,ETCUSD,6.203,6.239,6.203,6.239,738.43,4604.16
2019-07-26,ETCUSD,6.031,6.22,5.917,6.203,1843.28,11157.62
2019-07-25,ETCUSD,6.024,6.248,6.024,6.248,167.8,1041.84
2019-07-24,ETCUSD,6.017,6.209,5.759,6.024,2025.34,12051.42
2019-07-23,ETCUSD,6.34,6.34,5.952,6.017,3112.94,18901.9
2019-07-22,ETCUSD,6.275,6.469,6.254,6.34,2036.44,12918.97
2019-07-21,ETCUSD,6.146,6.285,6.059,6.275,2174.21,13467.41
2019-07-20,ETCUSD,5.827,6.336,5.827,6.146,6714.44,41204.26
2019-07-19,ETCUSD,6.072,6.072,5.663,5.827,2436.99,14215.62
2019-07-18,ETCUSD,5.695,5.709,5.64,5.709,302.38,1714.39
2019-07-17,ETCUSD,5.337,5.903,5.26,5.695,4506.57,25536.9
2019-07-16,ETCUSD,5.836,6.086,5.088,5.337,29663.32,168860.51
2019-07-15,ETCUSD,5.657,5.85,5.172,5.836,12608.73,69038.68
2019-07-14,ETCUSD,6.555,6.62,5.569,5.657,7588.59,44656.78
2019-07-13,ETCUSD,6.794,6.794,6.4,6.555,4460.84,29381.96
2019-07-12,ETCUSD,6.61,6.838,6.542,6.794,2449.58,16370.41
2019-07-11,ETCUSD,7.258,7.258,6.2,6.61,8299.23,55273.02
2019-07-10,ETCUSD,7.888,7.918,6.958,7.258,6738.47,49871.67
2019-07-09,ETCUSD,7.99,8.128,7.767,7.888,7598.6,60545.05
