Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-06-11,XMRUSD,140.28,141,135.17,137.56,6782.78,933012.27
2018-06-10,XMRUSD,154.65,154.87,133.06,140.28,29018.28,4157984.43
2018-06-09,XMRUSD,158.25,160.01,154.58,154.65,20684.7,3270066.43
2018-06-08,XMRUSD,164.23,165.33,157.2,158.25,20580.41,3304829.1
2018-06-07,XMRUSD,164.25,171,163.02,164.23,24194.08,4044497.29
2018-06-06,XMRUSD,167.13,168.05,161.6,164.25,22100.87,3647802.8
2018-06-05,XMRUSD,160.39,169.69,158,167.13,19975.04,3270942.96
2018-06-04,XMRUSD,169.05,170.72,158.1,160.39,19500.14,3181797.35
2018-06-03,XMRUSD,162.18,177.27,162.1,169.05,13723.87,2330548.13
2018-06-02,XMRUSD,157.82,168.09,156.63,162.18,12963.47,2104446.75
2018-06-01,XMRUSD,155.78,159.04,153.37,157.82,12738.04,1989767.87
2018-05-31,XMRUSD,155.33,159.21,154.6,155.78,15832.41,2483509.56
2018-05-30,XMRUSD,157.92,161.96,153.38,155.33,16676.18,2616212.27
2018-05-29,XMRUSD,149.97,167.87,148.02,157.92,15162.67,2366825.21
2018-05-28,XMRUSD,166.91,169.29,149.67,149.97,17194.21,2741668.8
2018-05-27,XMRUSD,165.39,171,162,166.91,12614.42,2077150.31
2018-05-26,XMRUSD,165.58,169.24,163.37,165.39,13364.35,2220252.11
2018-05-25,XMRUSD,171.7,174.26,163,165.58,14798.91,2474564.79
2018-05-24,XMRUSD,171.18,178.13,162.15,171.7,13005.12,2209506.03
2018-05-23,XMRUSD,176.06,180.3,167.67,171.18,14251.27,2480581.27
2018-05-22,XMRUSD,199.05,199.11,175.96,176.06,12612.8,2365539.49
2018-05-21,XMRUSD,203.4,204.26,194.76,199.05,8871.53,1766670.35
2018-05-20,XMRUSD,197.16,205.07,196.25,203.4,8758.46,1755239.33
2018-05-19,XMRUSD,203.9,204.31,196.5,197.16,7431.9,1479847.84
2018-05-18,XMRUSD,190.92,212.5,186.46,203.9,12266.72,2368721.6
2018-05-17,XMRUSD,198.65,203.73,190.92,190.92,14516.22,2891785.6
2018-05-16,XMRUSD,203.64,204.12,192.49,198.65,13709.39,2708083.36
2018-05-15,XMRUSD,213.38,218,201.29,203.64,12026.58,2534849.77
2018-05-14,XMRUSD,208.58,219.59,197.06,213.38,15953.06,3328998.15
2018-05-13,XMRUSD,202.49,213.35,202.04,208.58,10966.37,2282849.9
2018-05-12,XMRUSD,198.34,206.73,192,202.49,13885.08,2767941.61
2018-05-11,XMRUSD,217.17,217.37,197.37,198.34,16258.02,3357339.49
2018-05-10,XMRUSD,227.04,233.92,217.07,217.17,11819.38,2681980.68
2018-05-09,XMRUSD,223.52,233.49,215.09,227.04,12635.68,2831358.98
2018-05-08,XMRUSD,233.43,234.96,220,223.52,11459.76,2593385.37
2018-05-07,XMRUSD,235.02,236.03,221.34,233.43,11772.9,2680747.94
2018-05-06,XMRUSD,241.77,242.84,230.78,235.02,11697.97,2762918.51
2018-05-05,XMRUSD,241.18,245.51,239.42,241.77,15147.12,3679383.02
2018-05-04,XMRUSD,246.06,248.29,235.68,241.18,13092.23,3177893.28
2018-05-03,XMRUSD,249.71,260.56,241.8,246.06,15218.37,3778962.39
2018-05-02,XMRUSD,239.6,253.93,238.47,249.71,13765.18,3385381.46
2018-05-01,XMRUSD,241.32,242.41,228.48,239.6,11385.48,2682210.57
2018-04-30,XMRUSD,256.36,260.62,239,241.32,16867.11,4196019.74
2018-04-29,XMRUSD,261.65,264.1,243.21,256.36,13529.56,3418430.97
2018-04-28,XMRUSD,252.92,265.56,250.82,261.65,11769.87,3020186.95
2018-04-27,XMRUSD,267.68,268.77,252.09,252.92,10628.38,2769708.93
2018-04-26,XMRUSD,259.37,279.05,251.42,267.68,15606.97,4134596.13
2018-04-25,XMRUSD,293.88,294.21,246.57,259.37,15421.15,4141667.8
2018-04-24,XMRUSD,288.73,300.68,283.77,293.88,14985.41,4402723.23
2018-04-23,XMRUSD,276.34,292.94,275.61,288.73,11324.66,3244216.29
2018-04-22,XMRUSD,261.51,289.39,252.55,276.34,12422.23,3370970.2
2018-04-21,XMRUSD,276.5,276.65,241.96,261.51,12248.08,3193344.43
2018-04-20,XMRUSD,243.9,276.79,242.67,276.5,15457.38,3948152.77
2018-04-19,XMRUSD,233.4,244.03,231.08,243.9,11703.71,2789932.89
2018-04-18,XMRUSD,201.33,239.87,200.33,233.4,15146.85,3410116.13
2018-04-17,XMRUSD,199.75,208.23,198.57,201.33,12597.48,2558056.8
2018-04-16,XMRUSD,205,207.66,193.23,199.75,14314.21,2850505.46
2018-04-15,XMRUSD,195.33,209.62,195.08,205,13180.59,2666293.33
2018-04-14,XMRUSD,194.05,201.84,192.32,195.33,12772.77,2511263.99
2018-04-13,XMRUSD,198.24,207.55,190.25,194.05,13612.46,2698254.37
2018-04-12,XMRUSD,172.94,198.96,170.01,198.24,13596.31,2486763.9
2018-04-11,XMRUSD,170.88,173.33,168.18,172.94,14463.08,2466405.88
2018-04-10,XMRUSD,171.9,172.78,168.78,170.88,13384.17,2283438.72
2018-04-09,XMRUSD,178.03,183.9,168.41,171.9,12126.19,2136905.66
2018-04-08,XMRUSD,175.01,179.26,173,178.03,13200.35,2321886.02
2018-04-07,XMRUSD,166.8,177.79,166.8,175.01,12190.13,2122060.85
2018-04-06,XMRUSD,177.12,180.37,164.25,166.8,12676.0,2183601.9
2018-04-05,XMRUSD,176.54,181.11,170.86,177.12,12459.82,2207269.38
2018-04-04,XMRUSD,194.2,194.48,175.09,176.54,13836.31,2542098.99
2018-04-03,XMRUSD,182.43,195.57,181.83,194.2,12741.11,2419875.25
2018-04-02,XMRUSD,181.55,187.33,179.22,182.43,13569.22,2493635.56
2018-04-01,XMRUSD,185.04,187.91,171.11,181.55,14844.94,2685766.37
2018-03-31,XMRUSD,178.25,186.99,175.56,185.04,12371.56,2259218.16
2018-03-30,XMRUSD,181.89,187.36,171.57,178.25,13237.4,2362306.08
2018-03-29,XMRUSD,202.16,204.29,181.84,181.89,14969.06,2853707.25
2018-03-28,XMRUSD,191.45,204.12,188.88,202.16,11462.87,2253475.72
2018-03-27,XMRUSD,200.05,201.85,187.67,191.45,13578.45,2628361.36
2018-03-26,XMRUSD,216.07,217.25,191.33,200.05,13186.58,2660376.27
2018-03-25,XMRUSD,211.47,218.7,205.62,216.07,11765.1,2480931.09
2018-03-24,XMRUSD,220.4,220.82,211,211.47,11838.76,2573232.79
2018-03-23,XMRUSD,217.1,221.03,203.72,220.4,12198.19,2580298.44
2018-03-22,XMRUSD,222.73,228.24,208.88,217.1,12295.94,2686862.01
2018-03-21,XMRUSD,228.93,243,220.07,222.73,11117.93,2590916.66
2018-03-20,XMRUSD,223.7,239.93,211.35,228.93,11497.36,2559967.99
2018-03-19,XMRUSD,217.29,227.24,208.85,223.7,12856.76,2805751.84
2018-03-18,XMRUSD,203.97,217.71,185.75,217.29,13634.43,2677726.8
2018-03-17,XMRUSD,220.5,222.12,201.31,203.97,12279.47,2602002.16
2018-03-16,XMRUSD,215.96,228.4,207.19,220.5,11617.0,2519886.72
2018-03-15,XMRUSD,224.62,235.89,207.81,215.96,12421.89,2740767.16
2018-03-14,XMRUSD,252.61,256.95,220.83,224.62,13440.42,3226203.75
2018-03-13,XMRUSD,263.35,268.34,249.6,252.61,10110.15,2611231.25
2018-03-12,XMRUSD,283.19,288.93,254.52,263.35,9761.92,2675469.02
2018-03-11,XMRUSD,260.36,289.71,255.38,283.19,10995.99,2976098.52
2018-03-10,XMRUSD,294,303.49,260.17,260.36,9962.75,2836778.73
2018-03-09,XMRUSD,284.44,296.03,256.65,294,13520.83,3695286.97
2018-03-08,XMRUSD,349.82,349.97,283.85,284.44,9275.78,2920537.68
2018-03-07,XMRUSD,350.96,371.01,333.04,349.82,10599.29,3732832.28
2018-03-06,XMRUSD,377.91,377.91,342.86,350.96,9681.06,3479363.53
2018-03-05,XMRUSD,372.69,384.51,359,377.91,8314.58,3099332.53
2018-03-04,XMRUSD,356.57,373,341.68,372.69,9106.66,3244003.86
2018-03-03,XMRUSD,348.9,376.99,346.93,356.57,9890.67,3569554.68
2018-03-02,XMRUSD,316.65,356.5,314.72,348.9,11360.62,3766618.29
2018-03-01,XMRUSD,290.18,318.48,286.69,316.65,9243.69,2780442.1
2018-02-28,XMRUSD,303.23,307.22,288.98,290.18,8936.49,2661259.57
2018-02-27,XMRUSD,293,308.12,286.53,303.23,8621.74,2589661.19
2018-02-26,XMRUSD,282.03,299.86,271.8,293,9963.61,2849633.76
2018-02-25,XMRUSD,275.22,286.19,267.07,282.03,7777.97,2147577.33
2018-02-24,XMRUSD,287.48,295.59,268.5,275.22,8708.69,2440313.32
2018-02-23,XMRUSD,281.64,303.21,267.63,287.48,9625.43,2730107.1
2018-02-22,XMRUSD,323.36,327.99,281.26,281.64,10402.83,3149436.53
2018-02-21,XMRUSD,311.36,338.74,292.81,323.36,11958.18,3760781.82
2018-02-20,XMRUSD,318.02,326.66,310.99,311.36,9689.11,3095579.33
