Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2019-07-02 05-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-02 04-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-02 03-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-02 02-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-02 01-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-02 12-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 11-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 10-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 09-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 08-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 07-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 06-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 05-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 04-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 03-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 02-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 01-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 12-PM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 11-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 10-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 09-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 08-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 07-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 06-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 05-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 04-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 03-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 02-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 01-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
2019-07-01 12-AM,BCHUSD,142.95,142.95,142.95,142.95,0.0,0.0
