Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2018-03-18,DASHBTC,0.04926,0.0494,0.04602,0.04809,52944.22,2541.85
2018-03-17,DASHBTC,0.05155,0.05228,0.0486,0.04926,45088.51,2271.87
2018-03-16,DASHBTC,0.05041,0.05161,0.0498,0.05155,42625.81,2148.9
2018-03-15,DASHBTC,0.05164,0.05244,0.04994,0.05041,34868.41,1773.85
2018-03-14,DASHBTC,0.05308,0.05473,0.05106,0.05164,43528.66,2308.95
2018-03-13,DASHBTC,0.05448,0.05477,0.05251,0.05308,35820.11,1925.1
2018-03-12,DASHBTC,0.05547,0.05608,0.05413,0.05448,36307.13,2005.53
2018-03-11,DASHBTC,0.05502,0.05704,0.05436,0.05547,35892.23,1988.16
2018-03-10,DASHBTC,0.05378,0.05702,0.0535,0.05502,31710.12,1742.26
2018-03-09,DASHBTC,0.05289,0.05421,0.05107,0.05378,43857.87,2296.89
2018-03-08,DASHBTC,0.05151,0.05295,0.05107,0.05289,39886.28,2079.98
2018-03-07,DASHBTC,0.05397,0.05419,0.05126,0.05151,47637.48,2503.14
2018-03-06,DASHBTC,0.05318,0.05433,0.05251,0.05397,39227.54,2087.04
2018-03-05,DASHBTC,0.05401,0.0542,0.05253,0.05318,39664.27,2121.04
2018-03-04,DASHBTC,0.05325,0.05582,0.0531,0.05401,39083.42,2115.04
2018-03-03,DASHBTC,0.05451,0.05456,0.05238,0.05325,35301.12,1888.6
2018-03-02,DASHBTC,0.0566,0.05661,0.05402,0.05451,34895.98,1929.91
2018-03-01,DASHBTC,0.05631,0.05705,0.05538,0.0566,35472.55,1994.98
2018-02-28,DASHBTC,0.05749,0.05758,0.05516,0.05631,38197.01,2158.21
2018-02-27,DASHBTC,0.06021,0.06027,0.057,0.05749,41398.96,2435.76
2018-02-26,DASHBTC,0.0614,0.06196,0.06004,0.06021,30543.2,1863.22
2018-02-25,DASHBTC,0.06095,0.06202,0.06071,0.0614,34066.54,2085.34
2018-02-24,DASHBTC,0.06169,0.06176,0.0599,0.06095,33302.24,2027.43
2018-02-23,DASHBTC,0.06381,0.06386,0.0613,0.06169,28802.84,1792.36
2018-02-22,DASHBTC,0.06285,0.06397,0.05995,0.06381,31802.61,1976.71
2018-02-21,DASHBTC,0.06046,0.0651,0.06045,0.06285,31947.23,2021.96
2018-02-20,DASHBTC,0.06496,0.06508,0.06023,0.06046,36574.15,2285.19
2018-02-19,DASHBTC,0.0657,0.06656,0.06481,0.06496,17953.66,1172.03
2018-02-18,DASHBTC,0.06682,0.06721,0.06497,0.0657,14347.02,947.11
2018-02-17,DASHBTC,0.06819,0.06921,0.06671,0.06682,32859.61,2238.48
2018-02-16,DASHBTC,0.06929,0.07099,0.06811,0.06819,25975.75,1800.1
2018-02-15,DASHBTC,0.07145,0.07246,0.06846,0.06929,34745.49,2431.62
2018-02-14,DASHBTC,0.06906,0.07428,0.06887,0.07145,43054.31,3079.6
2018-02-13,DASHBTC,0.06955,0.07029,0.06863,0.06906,27521.74,1914.38
2018-02-12,DASHBTC,0.07176,0.07251,0.06936,0.06955,26788.56,1901.21
2018-02-11,DASHBTC,0.07416,0.07418,0.0709,0.07176,28261.7,2040.47
2018-02-10,DASHBTC,0.07328,0.07483,0.07298,0.07416,38432.34,2840.26
2018-02-09,DASHBTC,0.07289,0.07465,0.07206,0.07328,27589.64,2019.19
2018-02-08,DASHBTC,0.06838,0.07337,0.0677,0.07289,28325.9,1981.54
2018-02-07,DASHBTC,0.06797,0.07069,0.06618,0.06838,20704.54,1415.35
2018-02-06,DASHBTC,0.06471,0.0693,0.06178,0.06797,22811.33,1489.7
2018-02-05,DASHBTC,0.06628,0.06726,0.06359,0.06471,26519.49,1740.34
2018-02-04,DASHBTC,0.06919,0.07076,0.06574,0.06628,28313.87,1933.01
2018-02-03,DASHBTC,0.06673,0.06931,0.06386,0.06919,21537.12,1454.48
