Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PIV,Volume XLTC
2019-07-03 10-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 09-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 08-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 07-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 06-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 05-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 04-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 03-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 02-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 01-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-03 12-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 11-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 10-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 09-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 08-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 07-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 06-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 05-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 04-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 03-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 02-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 01-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 12-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 11-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 10-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 09-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 08-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 07-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 06-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 05-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 04-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 03-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 02-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 01-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-02 12-AM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 11-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 10-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 09-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 08-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 07-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 06-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 05-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
2019-07-01 04-PM,PIVXLTC,0.0251,0.0251,0.0251,0.0251,0.0,0.0
