Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DCN,Volume LTC
2019-07-01 08-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 07-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 06-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 05-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 04-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 03-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 02-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 01-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-07-01 12-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 11-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 10-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 09-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 08-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 07-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 06-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 05-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 04-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 03-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 02-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 01-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 12-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 11-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 10-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 09-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 08-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 07-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 06-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 05-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 04-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 03-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 02-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 01-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-30 12-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 11-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 10-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 09-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 08-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 07-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 06-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 05-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 04-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 03-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 02-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 01-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
